date	value	lower_ci	upper_ci	incidence	scenario
2021-01-28	298101	274101	323392	NA	Soc. Dist. + Travel Ban
2021-01-29	298312	270679	327615	211	Soc. Dist. + Travel Ban
2021-01-30	298514	267801	331469	202	Soc. Dist. + Travel Ban
2021-01-31	298696	265189	335006	182	Soc. Dist. + Travel Ban
2021-02-01	298860	262611	338054	164	Soc. Dist. + Travel Ban
2021-02-02	299056	260399	341094	196	Soc. Dist. + Travel Ban
2021-02-03	299235	258371	343915	179	Soc. Dist. + Travel Ban
2021-02-04	299418	256526	346586	183	Soc. Dist. + Travel Ban
2021-02-05	299580	254477	349158	162	Soc. Dist. + Travel Ban
2021-02-06	299732	252858	351709	152	Soc. Dist. + Travel Ban
2021-02-07	299879	251274	353807	147	Soc. Dist. + Travel Ban
2021-02-08	300035	249837	356170	156	Soc. Dist. + Travel Ban
2021-02-09	300180	248173	358598	145	Soc. Dist. + Travel Ban
2021-02-10	300322	247008	360671	142	Soc. Dist. + Travel Ban
2021-02-11	300444	245720	362540	122	Soc. Dist. + Travel Ban
2021-02-12	300570	244351	364821	126	Soc. Dist. + Travel Ban
2021-02-13	300721	243380	366526	151	Soc. Dist. + Travel Ban
2021-02-14	300843	241952	368682	122	Soc. Dist. + Travel Ban
2021-02-15	300976	240845	370436	133	Soc. Dist. + Travel Ban
2021-02-16	301092	239570	372154	116	Soc. Dist. + Travel Ban
2021-02-17	301215	238579	373776	123	Soc. Dist. + Travel Ban
2021-02-18	301342	237577	375689	127	Soc. Dist. + Travel Ban
2021-02-19	301435	236416	377287	93	Soc. Dist. + Travel Ban
2021-02-20	301520	235700	379329	85	Soc. Dist. + Travel Ban
2021-02-21	301628	234629	381122	108	Soc. Dist. + Travel Ban
2021-02-22	301740	233192	382370	112	Soc. Dist. + Travel Ban
2021-02-23	301861	232415	384176	121	Soc. Dist. + Travel Ban
2021-02-24	301969	231554	385430	108	Soc. Dist. + Travel Ban
2021-02-25	302060	230470	387233	91	Soc. Dist. + Travel Ban
2021-02-26	302165	229592	388546	105	Soc. Dist. + Travel Ban
2021-02-27	302257	228657	390188	92	Soc. Dist. + Travel Ban
2021-02-28	302357	227607	391595	100	Soc. Dist. + Travel Ban
2021-03-01	302457	226746	392961	100	Soc. Dist. + Travel Ban
2021-03-02	302536	225814	394514	79	Soc. Dist. + Travel Ban
2021-03-03	302586	224950	395745	50	Soc. Dist. + Travel Ban
2021-03-04	302681	223994	397062	95	Soc. Dist. + Travel Ban
2021-03-05	302747	223059	398466	66	Soc. Dist. + Travel Ban
2021-03-06	302826	222338	399784	79	Soc. Dist. + Travel Ban
2021-03-07	302915	221849	401375	89	Soc. Dist. + Travel Ban
2021-03-08	303022	220943	402479	107	Soc. Dist. + Travel Ban
2021-03-09	303087	220140	404075	65	Soc. Dist. + Travel Ban
2021-03-10	303157	219301	405504	70	Soc. Dist. + Travel Ban
2021-03-11	303227	218375	406341	70	Soc. Dist. + Travel Ban
2021-03-12	303301	217667	407950	74	Soc. Dist. + Travel Ban
2021-03-13	303380	216966	409079	79	Soc. Dist. + Travel Ban
2021-03-14	303459	216022	410382	79	Soc. Dist. + Travel Ban
2021-03-15	303543	214969	411729	84	Soc. Dist. + Travel Ban
2021-03-16	303628	214481	412995	85	Soc. Dist. + Travel Ban
2021-03-17	303667	213780	414198	39	Soc. Dist. + Travel Ban
2021-03-18	303753	213447	415290	86	Soc. Dist. + Travel Ban
2021-03-19	303812	212503	416647	59	Soc. Dist. + Travel Ban
2021-03-20	303892	211730	417812	80	Soc. Dist. + Travel Ban
2021-03-21	303951	211033	419139	59	Soc. Dist. + Travel Ban
2021-03-22	304026	210215	420221	75	Soc. Dist. + Travel Ban
2021-03-23	304110	209626	421242	84	Soc. Dist. + Travel Ban
2021-03-24	304185	208971	422524	75	Soc. Dist. + Travel Ban
2021-03-25	304257	208492	424028	72	Soc. Dist. + Travel Ban
2021-03-26	304310	207603	424944	53	Soc. Dist. + Travel Ban
2021-03-27	304375	206873	426176	65	Soc. Dist. + Travel Ban
2021-03-28	304428	206212	427293	53	Soc. Dist. + Travel Ban
2021-03-29	304506	205800	428377	78	Soc. Dist. + Travel Ban
2021-03-30	304569	205004	429442	63	Soc. Dist. + Travel Ban
2021-03-31	304627	204419	430434	58	Soc. Dist. + Travel Ban
2021-04-01	304691	203945	431642	64	Soc. Dist. + Travel Ban
2021-04-02	304762	203231	432587	71	Soc. Dist. + Travel Ban
2021-04-03	304845	202401	433826	83	Soc. Dist. + Travel Ban
2021-04-04	304913	201940	434680	68	Soc. Dist. + Travel Ban
2021-04-05	304953	201002	435339	40	Soc. Dist. + Travel Ban
2021-04-06	305022	200298	436276	69	Soc. Dist. + Travel Ban
2021-04-07	305068	199852	437370	46	Soc. Dist. + Travel Ban
2021-04-08	305128	199293	438376	60	Soc. Dist. + Travel Ban
2021-04-09	305179	198645	439342	51	Soc. Dist. + Travel Ban
2021-04-10	305215	198069	440355	36	Soc. Dist. + Travel Ban
2021-04-11	305272	197630	441557	57	Soc. Dist. + Travel Ban
2021-04-12	305329	197049	442258	57	Soc. Dist. + Travel Ban
2021-04-13	305376	196384	443220	47	Soc. Dist. + Travel Ban
2021-04-14	305430	195865	444384	54	Soc. Dist. + Travel Ban
2021-04-15	305484	195416	445257	54	Soc. Dist. + Travel Ban
2021-04-16	305540	194733	446465	56	Soc. Dist. + Travel Ban
2021-04-17	305602	194165	447035	62	Soc. Dist. + Travel Ban
2021-04-18	305642	193490	448557	40	Soc. Dist. + Travel Ban
2021-04-19	305680	193343	448836	38	Soc. Dist. + Travel Ban
2021-04-20	305753	192361	450172	73	Soc. Dist. + Travel Ban
2021-04-21	305814	191819	450989	61	Soc. Dist. + Travel Ban
2021-04-22	305854	191003	452129	40	Soc. Dist. + Travel Ban
2021-04-23	305910	190787	453004	56	Soc. Dist. + Travel Ban
2021-04-24	305935	190309	453379	25	Soc. Dist. + Travel Ban
2021-04-25	305961	189919	454786	26	Soc. Dist. + Travel Ban
2021-04-26	306031	189303	455763	70	Soc. Dist. + Travel Ban
2021-04-27	306063	188571	456721	32	Soc. Dist. + Travel Ban
2021-04-28	306100	187978	457746	37	Soc. Dist. + Travel Ban
2021-04-29	306155	187709	458789	55	Soc. Dist. + Travel Ban
2021-04-30	306210	187034	459624	55	Soc. Dist. + Travel Ban
2021-05-01	306238	186767	460301	28	Soc. Dist. + Travel Ban
2021-05-02	306290	185796	461069	52	Soc. Dist. + Travel Ban
2021-05-03	306336	185499	462139	46	Soc. Dist. + Travel Ban
2021-05-04	306394	184994	463288	58	Soc. Dist. + Travel Ban
2021-05-05	306434	184568	464336	40	Soc. Dist. + Travel Ban
2021-05-06	306473	183808	464807	39	Soc. Dist. + Travel Ban
2021-05-07	306541	183257	466025	68	Soc. Dist. + Travel Ban
2021-05-08	306590	182803	467284	49	Soc. Dist. + Travel Ban
2021-05-09	306649	181970	468110	59	Soc. Dist. + Travel Ban
2021-05-10	306694	181681	468586	45	Soc. Dist. + Travel Ban
2021-05-11	306759	180945	469776	65	Soc. Dist. + Travel Ban
2021-05-12	306803	180591	470364	44	Soc. Dist. + Travel Ban
2021-05-13	306811	180187	471121	8	Soc. Dist. + Travel Ban
2021-05-14	306833	179582	472506	22	Soc. Dist. + Travel Ban
