date	value	lower_ci	upper_ci	incidence	scenario
2021-01-28	118490	102609	136176	NA	Soc. Dist. + Travel Ban
2021-01-29	118533	100405	138891	43	Soc. Dist. + Travel Ban
2021-01-30	118571	98455	141344	38	Soc. Dist. + Travel Ban
2021-01-31	118616	96702	143703	45	Soc. Dist. + Travel Ban
2021-02-01	118656	95172	145897	40	Soc. Dist. + Travel Ban
2021-02-02	118706	93812	147970	50	Soc. Dist. + Travel Ban
2021-02-03	118754	92458	149782	48	Soc. Dist. + Travel Ban
2021-02-04	118790	91143	151643	36	Soc. Dist. + Travel Ban
2021-02-05	118846	89947	153241	56	Soc. Dist. + Travel Ban
2021-02-06	118904	88766	155257	58	Soc. Dist. + Travel Ban
2021-02-07	118974	87686	156907	70	Soc. Dist. + Travel Ban
2021-02-08	119037	86699	158542	63	Soc. Dist. + Travel Ban
2021-02-09	119095	85549	160065	58	Soc. Dist. + Travel Ban
2021-02-10	119147	84609	161831	52	Soc. Dist. + Travel Ban
2021-02-11	119210	83719	162968	63	Soc. Dist. + Travel Ban
2021-02-12	119255	82718	164755	45	Soc. Dist. + Travel Ban
2021-02-13	119316	81919	166230	61	Soc. Dist. + Travel Ban
2021-02-14	119386	81193	167465	70	Soc. Dist. + Travel Ban
2021-02-15	119459	80358	168924	73	Soc. Dist. + Travel Ban
2021-02-16	119526	79598	170354	67	Soc. Dist. + Travel Ban
2021-02-17	119581	78806	171575	55	Soc. Dist. + Travel Ban
2021-02-18	119653	78034	172940	72	Soc. Dist. + Travel Ban
2021-02-19	119740	77299	174481	87	Soc. Dist. + Travel Ban
2021-02-20	119811	76563	175803	71	Soc. Dist. + Travel Ban
2021-02-21	119901	75814	177218	90	Soc. Dist. + Travel Ban
2021-02-22	119970	75168	178952	69	Soc. Dist. + Travel Ban
2021-02-23	120032	74552	180009	62	Soc. Dist. + Travel Ban
2021-02-24	120115	73789	181288	83	Soc. Dist. + Travel Ban
2021-02-25	120183	73150	182791	68	Soc. Dist. + Travel Ban
2021-02-26	120260	72613	183971	77	Soc. Dist. + Travel Ban
2021-02-27	120340	72057	185393	80	Soc. Dist. + Travel Ban
