date	value	lower_ci	upper_ci	incidence	scenario
2021-01-29	217117	195955	240386	NA	Soc. Dist. + Travel Ban
2021-01-30	217440	193421	244887	323	Soc. Dist. + Travel Ban
2021-01-31	217350	190609	248010	-90	Soc. Dist. + Travel Ban
2021-02-01	217820	186962	251485	470	Soc. Dist. + Travel Ban
2021-02-02	217993	185293	253956	173	Soc. Dist. + Travel Ban
2021-02-03	218246	184601	256073	253	Soc. Dist. + Travel Ban
2021-02-04	218386	182507	260220	140	Soc. Dist. + Travel Ban
2021-02-05	218521	180313	261363	135	Soc. Dist. + Travel Ban
2021-02-06	218559	178823	265724	38	Soc. Dist. + Travel Ban
2021-02-07	218497	176281	265890	-62	Soc. Dist. + Travel Ban
2021-02-08	218619	176616	269290	122	Soc. Dist. + Travel Ban
2021-02-09	218662	174364	270561	43	Soc. Dist. + Travel Ban
2021-02-10	218607	174201	272710	-55	Soc. Dist. + Travel Ban
2021-02-11	218725	171916	275397	118	Soc. Dist. + Travel Ban
2021-02-12	218801	170955	276724	76	Soc. Dist. + Travel Ban
2021-02-13	218783	168028	277784	-18	Soc. Dist. + Travel Ban
2021-02-14	218870	170157	276669	87	Soc. Dist. + Travel Ban
2021-02-15	218967	166203	281566	97	Soc. Dist. + Travel Ban
2021-02-16	219168	166869	283318	201	Soc. Dist. + Travel Ban
2021-02-17	219276	166333	287204	108	Soc. Dist. + Travel Ban
2021-02-18	219551	163479	287847	275	Soc. Dist. + Travel Ban
2021-02-19	219606	162659	290952	55	Soc. Dist. + Travel Ban
2021-02-20	219568	162170	291315	-38	Soc. Dist. + Travel Ban
2021-02-21	219530	162153	291791	-38	Soc. Dist. + Travel Ban
2021-02-22	219476	160327	291679	-54	Soc. Dist. + Travel Ban
2021-02-23	219378	158850	297441	-98	Soc. Dist. + Travel Ban
2021-02-24	219263	156239	298270	-115	Soc. Dist. + Travel Ban
2021-02-25	219395	156458	297809	132	Soc. Dist. + Travel Ban
2021-02-26	219393	155503	300942	-2	Soc. Dist. + Travel Ban
2021-02-27	219660	155456	303877	267	Soc. Dist. + Travel Ban
2021-02-28	219661	154089	304025	1	Soc. Dist. + Travel Ban
2021-03-01	219745	150363	305305	84	Soc. Dist. + Travel Ban
2021-03-02	219580	153659	308232	-165	Soc. Dist. + Travel Ban
2021-03-03	219731	150973	308312	151	Soc. Dist. + Travel Ban
2021-03-04	219672	151049	305864	-59	Soc. Dist. + Travel Ban
2021-03-05	219702	149934	306334	30	Soc. Dist. + Travel Ban
