stat	value
thetaS_last_obs_p_mean	0.9880527
thetaI_last_obs_p_mean	0.0001715514
thetaR_last_obs_p_mean	0.01177571
thetaS_last_obs_p_ci_low	0.9876199
thetaS_last_obs_p_ci_med	0.9880537
thetaS_last_obs_p_ci_up	0.9884833
thetaI_last_obs_p_ci_low	0.000123329
thetaI_last_obs_p_ci_med	0.0001704856
thetaI_last_obs_p_ci_up	0.0002259394
thetaR_last_obs_p_ci_low	0.01134871
thetaR_last_obs_p_ci_med	0.01177517
thetaR_last_obs_p_ci_up	0.0122059
R0_p_mean	0.975707
R0_p_ci_low	0.5134981
R0_p_ci_med	0.8995616
R0_p_ci_up	1.941987
gamma_p_mean	0.0674372
gamma_p_ci_low	0.007270304
gamma_p_ci_med	0.05567281
gamma_p_ci_up	0.1914282
beta_p_mean	0.05979761
beta_p_ci_low	0.008595468
beta_p_ci_med	0.04818549
beta_p_ci_up	0.1731116
incidence_mean	0.001250376
incidence_ci_low	0.0001974468
incidence_ci_median	0.001049261
incidence_ci_up	0.003378098
thetaI_tp1_mean	3.577987e-05
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0004419818
thetaR_tp1_mean	0.01215075
thetaR_tp1_ci_low	0.006350863
thetaR_tp1_ci_med	0.01193698
thetaR_tp1_ci_up	0.01922096
Y_tp1_mean	3.567491e-05
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0004427626
R_tp1_mean	0.01214972
R_tp1_ci_low	0.006320154
R_tp1_ci_med	0.01193108
R_tp1_ci_up	0.01925257
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01215075
thetaR_max_ci_low	0.006350863
thetaR_max_ci_med	0.01193698
thetaR_max_ci_up	0.01922096
cumInf_mean	0.01218653
cumInf_ci_low	0.006367139
cumInf_ci_med	0.01196522
cumInf_ci_up	0.01931106
dthetaI_tp1_date	07/04/21
first_tp_mean	01/06/21
first_tp_ci_low	12/17/20
first_tp_ci_med	01/08/21
first_tp_ci_up	01/31/21
dthetaI_tp2_date	07/04/21
second_tp_mean	01/08/21
second_tp_ci_low	12/17/20
second_tp_ci_med	01/09/21
second_tp_ci_up	02/01/21
end_p_mean	03/31/21
end_p_ci_low	02/13/21
end_p_ci_med	03/16/21
end_p_ci_up	07/04/21
begin_str	12/17/2020
