stat	value
thetaS_last_obs_p_mean	0.9880525
thetaI_last_obs_p_mean	0.0001713218
thetaR_last_obs_p_mean	0.01177621
thetaS_last_obs_p_ci_low	0.9876186
thetaS_last_obs_p_ci_med	0.9880531
thetaS_last_obs_p_ci_up	0.9884842
thetaI_last_obs_p_ci_low	0.0001222757
thetaI_last_obs_p_ci_med	0.0001703082
thetaI_last_obs_p_ci_up	0.0002260589
thetaR_last_obs_p_ci_low	0.01134771
thetaR_last_obs_p_ci_med	0.01177592
thetaR_last_obs_p_ci_up	0.01220612
R0_p_mean	0.9769361
R0_p_ci_low	0.5136341
R0_p_ci_med	0.900194
R0_p_ci_up	1.94228
gamma_p_mean	0.06737734
gamma_p_ci_low	0.007214234
gamma_p_ci_med	0.05567799
gamma_p_ci_up	0.1912674
beta_p_mean	0.05978115
beta_p_ci_low	0.00853642
beta_p_ci_med	0.04821894
beta_p_ci_up	0.1728345
incidence_mean	0.001448408
incidence_ci_low	0.0002063853
incidence_ci_median	0.001159751
incidence_ci_up	0.004122771
thetaI_tp1_mean	7.638679e-05
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0008295102
thetaR_tp1_mean	0.01231639
thetaR_tp1_ci_low	0.006411264
thetaR_tp1_ci_med	0.01207696
thetaR_tp1_ci_up	0.01960239
Y_tp1_mean	7.640149e-05
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0008309551
R_tp1_mean	0.01231675
R_tp1_ci_low	0.006389623
R_tp1_ci_med	0.01207123
R_tp1_ci_up	0.01961927
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01231639
thetaR_max_ci_low	0.006411264
thetaR_max_ci_med	0.01207696
thetaR_max_ci_up	0.01960239
cumInf_mean	0.01239277
cumInf_ci_low	0.006438268
cumInf_ci_med	0.01212639
cumInf_ci_up	0.01986153
dthetaI_tp1_date	07/04/21
first_tp_mean	01/08/21
first_tp_ci_low	12/17/20
first_tp_ci_med	01/08/21
first_tp_ci_up	01/31/21
dthetaI_tp2_date	07/04/21
second_tp_mean	01/10/21
second_tp_ci_low	12/17/20
second_tp_ci_med	01/09/21
second_tp_ci_up	03/04/21
end_p_mean	04/07/21
end_p_ci_low	02/14/21
end_p_ci_med	03/23/21
end_p_ci_up	07/04/21
begin_str	12/17/2020
