stat	value
thetaS_last_obs_p_mean	0.9879445
thetaI_last_obs_p_mean	0.0001712469
thetaR_last_obs_p_mean	0.01188424
thetaS_last_obs_p_ci_low	0.9875077
thetaS_last_obs_p_ci_med	0.9879458
thetaS_last_obs_p_ci_up	0.9883751
thetaI_last_obs_p_ci_low	0.0001224262
thetaI_last_obs_p_ci_med	0.0001702562
thetaI_last_obs_p_ci_up	0.0002254399
thetaR_last_obs_p_ci_low	0.01145681
thetaR_last_obs_p_ci_med	0.01188268
thetaR_last_obs_p_ci_up	0.01231752
R0_p_mean	1.048993
R0_p_ci_low	0.5285904
R0_p_ci_med	0.9512001
R0_p_ci_up	2.153475
gamma_p_mean	0.06320846
gamma_p_ci_low	0.006621522
gamma_p_ci_med	0.04803727
gamma_p_ci_up	0.2004829
beta_p_mean	0.05864973
beta_p_ci_low	0.008136176
beta_p_ci_med	0.04528621
beta_p_ci_up	0.1838126
incidence_mean	0.003677196
incidence_ci_low	0.0001786841
incidence_ci_median	0.001251092
incidence_ci_up	0.0207464
thetaI_tp1_mean	0.0007705187
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.005904789
thetaR_tp1_mean	0.01413595
thetaR_tp1_ci_low	0.00673122
thetaR_tp1_ci_med	0.01277662
thetaR_tp1_ci_up	0.02752658
Y_tp1_mean	0.0007706296
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.005918389
R_tp1_mean	0.01413501
R_tp1_ci_low	0.006707989
R_tp1_ci_med	0.01276995
R_tp1_ci_up	0.02752531
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01413595
thetaR_max_ci_low	0.00673122
thetaR_max_ci_med	0.01277662
thetaR_max_ci_up	0.02752658
cumInf_mean	0.01490647
cumInf_ci_low	0.006768182
cumInf_ci_med	0.0129267
cumInf_ci_up	0.03279367
dthetaI_tp1_date	07/11/21
first_tp_mean	02/04/21
first_tp_ci_low	12/24/20
first_tp_ci_med	01/31/21
first_tp_ci_up	07/11/21
dthetaI_tp2_date	07/11/21
second_tp_mean	02/08/21
second_tp_ci_low	12/26/20
second_tp_ci_med	02/01/21
second_tp_ci_up	07/11/21
end_p_mean	05/05/21
end_p_ci_low	02/23/21
end_p_ci_med	04/23/21
end_p_ci_up	07/11/21
begin_str	12/24/2020
