date	value	lower_ci	upper_ci	incidence	scenario
2021-02-07	10832876	9808365	11930675	NA	No intervention
2021-02-08	10840760	9661990	12107710	7884	No intervention
2021-02-09	10850495	9537793	12275138	9735	No intervention
2021-02-10	10860119	9426244	12433491	9624	No intervention
2021-02-11	10869562	9330752	12569234	9443	No intervention
2021-02-12	10878950	9229283	12706795	9388	No intervention
2021-02-13	10887638	9139141	12834657	8688	No intervention
2021-02-14	10897194	9058127	12959908	9556	No intervention
2021-02-15	10907208	8978772	13084927	10014	No intervention
2021-02-16	10918049	8915548	13196454	10841	No intervention
2021-02-17	10928451	8848433	13314262	10402	No intervention
2021-02-18	10939312	8786780	13438489	10861	No intervention
2021-02-19	10950463	8725794	13544662	11151	No intervention
2021-02-20	10960927	8666904	13650619	10464	No intervention
2021-02-21	10971262	8610678	13765110	10335	No intervention
2021-02-22	10981718	8552929	13876795	10456	No intervention
2021-02-23	10993421	8502651	13973094	11703	No intervention
2021-02-24	11004892	8449414	14076526	11471	No intervention
2021-02-25	11016524	8410366	14183553	11632	No intervention
2021-02-26	11028090	8356203	14292011	11566	No intervention
2021-02-27	11040731	8312179	14393454	12641	No intervention
2021-02-28	11053555	8262031	14483889	12824	No intervention
2021-03-01	11067020	8228417	14597140	13465	No intervention
2021-03-02	11079964	8169094	14720370	12944	No intervention
2021-03-03	11091667	8129407	14820347	11703	No intervention
2021-03-04	11104646	8088888	14928327	12979	No intervention
2021-03-05	11118155	8044241	15030032	13509	No intervention
2021-03-06	11133020	8012559	15139087	14865	No intervention
2021-03-07	11147821	7969106	15250355	14801	No intervention
2021-03-08	11162674	7932008	15373695	14853	No intervention
2021-03-09	11178395	7896844	15497088	15721	No intervention
2021-03-10	11193710	7873589	15611715	15315	No intervention
2021-03-11	11209954	7829027	15730539	16244	No intervention
2021-03-12	11226881	7793050	15850289	16927	No intervention
2021-03-13	11244114	7766598	15977202	17233	No intervention
2021-03-14	11261539	7728907	16092146	17425	No intervention
2021-03-15	11279570	7710630	16228109	18031	No intervention
2021-03-16	11299151	7672418	16354362	19581	No intervention
2021-03-17	11319795	7636490	16488194	20644	No intervention
2021-03-18	11339612	7596642	16613061	19817	No intervention
2021-03-19	11358793	7572063	16752612	19181	No intervention
2021-03-20	11380575	7543027	16889373	21782	No intervention
2021-03-21	11402356	7509745	17057567	21781	No intervention
2021-03-22	11424803	7484459	17210088	22447	No intervention
2021-03-23	11448439	7451346	17350750	23636	No intervention
2021-03-24	11472693	7413012	17517719	24254	No intervention
2021-03-25	11498137	7392047	17713203	25444	No intervention
2021-03-26	11524394	7362005	17876866	26257	No intervention
2021-03-27	11550803	7332891	18033481	26409	No intervention
2021-03-28	11576869	7305727	18220394	26066	No intervention
2021-03-29	11604429	7282591	18410287	27560	No intervention
2021-03-30	11634520	7249882	18587759	30091	No intervention
2021-03-31	11665289	7225156	18780792	30769	No intervention
2021-04-01	11696728	7206194	18981620	31439	No intervention
2021-04-02	11727886	7179118	19214398	31158	No intervention
2021-04-03	11761809	7162465	19416454	33923	No intervention
2021-04-04	11796457	7129209	19636711	34648	No intervention
2021-04-05	11831231	7119994	19841686	34774	No intervention
2021-04-06	11867137	7093229	20081950	35906	No intervention
2021-04-07	11905744	7061989	20343114	38607	No intervention
2021-04-08	11946521	7044399	20619893	40777	No intervention
2021-04-09	11988684	7019074	20880178	42163	No intervention
2021-04-10	12033227	7002965	21147399	44543	No intervention
2021-04-11	12078927	6983643	21480711	45700	No intervention
2021-04-12	12125941	6949142	21767067	47014	No intervention
2021-04-13	12174585	6931045	22076847	48644	No intervention
2021-04-14	12224883	6913823	22399005	50298	No intervention
2021-04-15	12277096	6889351	22740404	52213	No intervention
2021-04-16	12331616	6870451	23082874	54520	No intervention
2021-04-17	12388729	6849263	23479606	57113	No intervention
2021-04-18	12448260	6818034	23857280	59531	No intervention
2021-04-19	12509145	6805222	24205341	60885	No intervention
2021-04-20	12572617	6771326	24641193	63472	No intervention
2021-04-21	12638888	6748947	25109306	66271	No intervention
2021-04-22	12707554	6720710	25536128	68666	No intervention
2021-04-23	12779125	6696739	26017679	71571	No intervention
2021-04-24	12853415	6676553	26503036	74290	No intervention
2021-04-25	12930927	6664911	27034666	77512	No intervention
2021-04-26	13011111	6640202	27602706	80184	No intervention
2021-04-27	13093048	6626727	28146122	81937	No intervention
2021-04-28	13178592	6595117	28687476	85544	No intervention
2021-04-29	13266338	6575507	29317816	87746	No intervention
2021-04-30	13359030	6576750	29931476	92692	No intervention
2021-05-01	13454830	6546773	30611016	95800	No intervention
2021-05-02	13555089	6523758	31258673	100259	No intervention
2021-05-03	13657496	6496157	32101127	102407	No intervention
2021-05-04	13764448	6477191	32790645	106952	No intervention
2021-05-05	13873730	6458847	33604322	109282	No intervention
2021-05-06	13987675	6440209	34471987	113945	No intervention
2021-05-07	14104690	6428951	35344118	117015	No intervention
2021-05-08	14226102	6403341	36166489	121412	No intervention
2021-05-09	14350713	6367449	37195570	124611	No intervention
2021-05-10	14480507	6351080	38102917	129794	No intervention
2021-05-11	14614003	6330576	39152282	133496	No intervention
2021-05-12	14752564	6315047	40256453	138561	No intervention
2021-05-13	14894691	6296919	41302137	142127	No intervention
2021-05-14	15042169	6271474	42463670	147478	No intervention
2021-05-15	15193687	6262431	43697094	151518	No intervention
2021-05-16	15348887	6256362	44941885	155200	No intervention
2021-05-17	15506272	6234722	46170222	157385	No intervention
2021-05-18	15670665	6218278	47519045	164393	No intervention
2021-05-19	15841207	6185386	48827427	170542	No intervention
2021-05-20	16014005	6158266	50305152	172798	No intervention
2021-05-21	16193737	6141949	51783719	179732	No intervention
2021-05-22	16378763	6132112	53426265	185026	No intervention
2021-05-23	16567620	6122320	54975936	188857	No intervention
2021-05-24	16763894	6106768	56625849	196274	No intervention
2021-05-25	16964564	6100366	58356564	200670	No intervention
2021-05-26	17169000	6074511	60083281	204436	No intervention
2021-05-27	17378104	6053044	61981839	209104	No intervention
2021-05-28	17593516	6040857	63775707	215412	No intervention
2021-05-29	17814555	6034481	65682140	221039	No intervention
2021-05-30	18040576	6008915	67759977	226021	No intervention
