stat	value
thetaS_last_obs_p_mean	0.9915459
thetaI_last_obs_p_mean	3.983181e-05
thetaR_last_obs_p_mean	0.008414247
thetaS_last_obs_p_ci_low	0.9911837
thetaS_last_obs_p_ci_med	0.991547
thetaS_last_obs_p_ci_up	0.9919015
thetaI_last_obs_p_ci_low	1.81448e-05
thetaI_last_obs_p_ci_med	3.897784e-05
thetaI_last_obs_p_ci_up	6.627353e-05
thetaR_last_obs_p_ci_low	0.008059632
thetaR_last_obs_p_ci_med	0.008413376
thetaR_last_obs_p_ci_up	0.008775556
R0_p_mean	1.419434
R0_p_ci_low	0.6170099
R0_p_ci_med	1.284165
R0_p_ci_up	2.972956
gamma_p_mean	0.04887653
gamma_p_ci_low	0.006115749
gamma_p_ci_med	0.03363985
gamma_p_ci_up	0.182798
beta_p_mean	0.05935275
beta_p_ci_low	0.008290637
beta_p_ci_med	0.04597364
beta_p_ci_up	0.1906137
incidence_mean	0.001398934
incidence_ci_low	4.119074e-05
incidence_ci_median	0.000255034
incidence_ci_up	0.00603434
thetaI_tp1_mean	0.0004312922
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.002084007
thetaR_tp1_mean	0.009162029
thetaR_tp1_ci_low	0.003926116
thetaR_tp1_ci_med	0.008452863
thetaR_tp1_ci_up	0.0159192
Y_tp1_mean	0.0004313552
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.002086883
R_tp1_mean	0.009162398
R_tp1_ci_low	0.003905366
R_tp1_ci_med	0.008452415
R_tp1_ci_up	0.01595866
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.009162029
thetaR_max_ci_low	0.003926116
thetaR_max_ci_med	0.008452863
thetaR_max_ci_up	0.0159192
cumInf_mean	0.009593321
cumInf_ci_low	0.003935983
cumInf_ci_med	0.008493393
cumInf_ci_up	0.01691158
dthetaI_tp1_date	07/17/21
first_tp_mean	01/22/21
first_tp_ci_low	12/30/20
first_tp_ci_med	01/13/21
first_tp_ci_up	07/14/21
dthetaI_tp2_date	07/17/21
second_tp_mean	01/24/21
second_tp_ci_low	01/01/21
second_tp_ci_med	01/15/21
second_tp_ci_up	07/15/21
end_p_mean	03/27/21
end_p_ci_low	02/17/21
end_p_ci_med	03/07/21
end_p_ci_up	07/17/21
begin_str	12/30/2020
