stat	value
thetaS_last_obs_p_mean	0.9620776
thetaI_last_obs_p_mean	6.473422e-05
thetaR_last_obs_p_mean	0.0378577
thetaS_last_obs_p_ci_low	0.9613203
thetaS_last_obs_p_ci_med	0.9620776
thetaS_last_obs_p_ci_up	0.9628306
thetaI_last_obs_p_ci_low	3.601224e-05
thetaI_last_obs_p_ci_med	6.387787e-05
thetaI_last_obs_p_ci_up	9.804844e-05
thetaR_last_obs_p_ci_low	0.03710435
thetaR_last_obs_p_ci_med	0.03785752
thetaR_last_obs_p_ci_up	0.03861384
R0_p_mean	1.24296
R0_p_ci_low	0.5599499
R0_p_ci_med	1.11285
R0_p_ci_up	2.627815
gamma_p_mean	0.05619946
gamma_p_ci_low	0.005988327
gamma_p_ci_med	0.03653724
gamma_p_ci_up	0.2225066
beta_p_mean	0.0591133
beta_p_ci_low	0.007769583
beta_p_ci_med	0.04288484
beta_p_ci_up	0.2116512
incidence_mean	0.0005126766
incidence_ci_low	5.763574e-05
incidence_ci_median	0.0003372888
incidence_ci_up	0.001908829
thetaI_tp1_mean	4.04558e-05
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0004361795
thetaR_tp1_mean	0.03804775
thetaR_tp1_ci_low	0.02758559
thetaR_tp1_ci_med	0.03785001
thetaR_tp1_ci_up	0.04970451
Y_tp1_mean	4.046789e-05
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0004389041
R_tp1_mean	0.03804856
R_tp1_ci_low	0.02753928
R_tp1_ci_med	0.03784872
R_tp1_ci_up	0.04976085
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03804775
thetaR_max_ci_low	0.02758559
thetaR_max_ci_med	0.03785001
thetaR_max_ci_up	0.04970451
cumInf_mean	0.0380882
cumInf_ci_low	0.02760079
cumInf_ci_med	0.03788088
cumInf_ci_up	0.04982911
dthetaI_tp1_date	07/20/21
first_tp_mean	01/31/21
first_tp_ci_low	01/02/21
first_tp_ci_med	02/05/21
first_tp_ci_up	02/16/21
dthetaI_tp2_date	07/20/21
second_tp_mean	02/02/21
second_tp_ci_low	01/04/21
second_tp_ci_med	02/06/21
second_tp_ci_up	02/17/21
end_p_mean	04/01/21
end_p_ci_low	02/22/21
end_p_ci_med	03/15/21
end_p_ci_up	07/20/21
begin_str	01/02/2021
