stat	value
thetaS_last_obs_p_mean	0.996979
thetaI_last_obs_p_mean	1.598233e-05
thetaR_last_obs_p_mean	0.003005053
thetaS_last_obs_p_ci_low	0.9967629
thetaS_last_obs_p_ci_med	0.9969798
thetaS_last_obs_p_ci_up	0.9971895
thetaI_last_obs_p_ci_low	4.099856e-06
thetaI_last_obs_p_ci_med	1.518763e-05
thetaI_last_obs_p_ci_up	3.235942e-05
thetaR_last_obs_p_ci_low	0.002795337
thetaR_last_obs_p_ci_med	0.003004145
thetaR_last_obs_p_ci_up	0.00322073
R0_p_mean	1.630096
R0_p_ci_low	0.6756216
R0_p_ci_med	1.481212
R0_p_ci_up	3.436496
gamma_p_mean	0.05193298
gamma_p_ci_low	0.006785683
gamma_p_ci_med	0.03669574
gamma_p_ci_up	0.1894898
beta_p_mean	0.07388583
beta_p_ci_low	0.009538592
beta_p_ci_med	0.05780295
beta_p_ci_up	0.2304516
incidence_mean	0.0008476183
incidence_ci_low	1.761215e-05
incidence_ci_median	0.0001141369
incidence_ci_up	0.001679085
thetaI_tp1_mean	0.0002646629
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.000432663
thetaR_tp1_mean	0.003473686
thetaR_tp1_ci_low	0.0005914271
thetaR_tp1_ci_med	0.002895769
thetaR_tp1_ci_up	0.007323024
Y_tp1_mean	0.000264585
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.000431985
R_tp1_mean	0.003473969
R_tp1_ci_low	0.0005858088
R_tp1_ci_med	0.002892546
R_tp1_ci_up	0.007346568
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.003473686
thetaR_max_ci_low	0.0005914271
thetaR_max_ci_med	0.002895769
thetaR_max_ci_up	0.007323024
cumInf_mean	0.003738349
cumInf_ci_low	0.000591929
cumInf_ci_med	0.002903358
cumInf_ci_up	0.007581047
dthetaI_tp1_date	07/23/21
first_tp_mean	01/23/21
first_tp_ci_low	01/05/21
first_tp_ci_med	01/18/21
first_tp_ci_up	02/18/21
dthetaI_tp2_date	07/23/21
second_tp_mean	01/25/21
second_tp_ci_low	01/07/21
second_tp_ci_med	01/19/21
second_tp_ci_up	03/03/21
end_p_mean	03/14/21
end_p_ci_low	02/21/21
end_p_ci_med	03/01/21
end_p_ci_up	07/23/21
begin_str	01/05/2021
