date	value	lower_ci	upper_ci	incidence	scenario
2021-02-20	847565	783340	914943	NA	Normal (pre-intervention)
2021-02-21	847895	774463	926284	330	Normal (pre-intervention)
2021-02-22	848140	766354	935519	245	Normal (pre-intervention)
2021-02-23	848430	759512	944843	290	Normal (pre-intervention)
2021-02-24	848803	752847	953252	373	Normal (pre-intervention)
2021-02-25	849143	747161	961503	340	Normal (pre-intervention)
2021-02-26	849478	741187	968621	335	Normal (pre-intervention)
2021-02-27	849838	736234	976197	360	Normal (pre-intervention)
2021-02-28	850225	731101	983298	387	Normal (pre-intervention)
2021-03-01	850605	726667	990484	380	Normal (pre-intervention)
2021-03-02	850926	721945	996948	321	Normal (pre-intervention)
2021-03-03	851335	717652	1003824	409	Normal (pre-intervention)
2021-03-04	851813	713496	1010515	478	Normal (pre-intervention)
2021-03-05	852204	709983	1016414	391	Normal (pre-intervention)
2021-03-06	852600	705951	1023053	396	Normal (pre-intervention)
2021-03-07	853056	702620	1028459	456	Normal (pre-intervention)
2021-03-08	853518	698737	1034975	462	Normal (pre-intervention)
2021-03-09	853966	695136	1040943	448	Normal (pre-intervention)
2021-03-10	854525	691481	1048184	559	Normal (pre-intervention)
2021-03-11	855079	688367	1053748	554	Normal (pre-intervention)
2021-03-12	855563	685127	1059997	484	Normal (pre-intervention)
2021-03-13	856078	682345	1066743	515	Normal (pre-intervention)
2021-03-14	856616	678877	1073129	538	Normal (pre-intervention)
2021-03-15	857346	676138	1079405	730	Normal (pre-intervention)
2021-03-16	857981	672969	1085794	635	Normal (pre-intervention)
2021-03-17	858613	670377	1092169	632	Normal (pre-intervention)
2021-03-18	859263	667958	1099192	650	Normal (pre-intervention)
2021-03-19	860003	664485	1105378	740	Normal (pre-intervention)
2021-03-20	860754	662227	1112315	751	Normal (pre-intervention)
2021-03-21	861612	660045	1120285	858	Normal (pre-intervention)
2021-03-22	862492	657035	1127526	880	Normal (pre-intervention)
2021-03-23	863348	654786	1134309	856	Normal (pre-intervention)
2021-03-24	864152	652140	1143025	804	Normal (pre-intervention)
2021-03-25	865141	649590	1150431	989	Normal (pre-intervention)
2021-03-26	866194	647356	1158456	1053	Normal (pre-intervention)
2021-03-27	867412	644432	1167011	1218	Normal (pre-intervention)
2021-03-28	868666	642273	1175874	1254	Normal (pre-intervention)
2021-03-29	869917	639948	1185427	1251	Normal (pre-intervention)
2021-03-30	871222	638242	1195435	1305	Normal (pre-intervention)
2021-03-31	872676	635542	1205224	1454	Normal (pre-intervention)
2021-04-01	874149	633844	1215332	1473	Normal (pre-intervention)
2021-04-02	875707	631611	1227043	1558	Normal (pre-intervention)
2021-04-03	877395	628688	1237908	1688	Normal (pre-intervention)
2021-04-04	879199	627143	1249834	1804	Normal (pre-intervention)
2021-04-05	881129	624989	1261569	1930	Normal (pre-intervention)
2021-04-06	883124	623103	1275357	1995	Normal (pre-intervention)
2021-04-07	885260	620208	1288897	2136	Normal (pre-intervention)
2021-04-08	887552	618771	1302586	2292	Normal (pre-intervention)
2021-04-09	890029	617520	1316107	2477	Normal (pre-intervention)
2021-04-10	892704	615261	1331972	2675	Normal (pre-intervention)
2021-04-11	895514	613173	1348382	2810	Normal (pre-intervention)
2021-04-12	898536	611519	1368318	3022	Normal (pre-intervention)
2021-04-13	901710	609337	1383415	3174	Normal (pre-intervention)
2021-04-14	905080	608109	1403108	3370	Normal (pre-intervention)
2021-04-15	908605	605941	1424940	3525	Normal (pre-intervention)
2021-04-16	912319	603408	1445255	3714	Normal (pre-intervention)
2021-04-17	916307	601801	1467827	3988	Normal (pre-intervention)
2021-04-18	920548	600332	1493623	4241	Normal (pre-intervention)
2021-04-19	925100	598823	1516856	4552	Normal (pre-intervention)
2021-04-20	929843	596921	1544598	4743	Normal (pre-intervention)
2021-04-21	934883	595625	1572496	5040	Normal (pre-intervention)
2021-04-22	940243	593208	1604956	5360	Normal (pre-intervention)
2021-04-23	945900	592199	1639908	5657	Normal (pre-intervention)
2021-04-24	951874	589651	1672062	5974	Normal (pre-intervention)
2021-04-25	958226	588378	1707923	6352	Normal (pre-intervention)
2021-04-26	964831	586909	1748767	6605	Normal (pre-intervention)
2021-04-27	971820	584949	1793437	6989	Normal (pre-intervention)
2021-04-28	979182	583417	1838311	7362	Normal (pre-intervention)
2021-04-29	986939	581267	1889702	7757	Normal (pre-intervention)
2021-04-30	995138	580512	1940591	8199	Normal (pre-intervention)
2021-05-01	1003715	578560	1994642	8577	Normal (pre-intervention)
2021-05-02	1012715	577613	2055453	9000	Normal (pre-intervention)
2021-05-03	1022197	575482	2120340	9482	Normal (pre-intervention)
2021-05-04	1032046	573688	2185785	9849	Normal (pre-intervention)
2021-05-05	1042440	573592	2259198	10394	Normal (pre-intervention)
2021-05-06	1053338	570804	2334672	10898	Normal (pre-intervention)
2021-05-07	1064644	569665	2416171	11306	Normal (pre-intervention)
2021-05-08	1076370	568813	2505076	11726	Normal (pre-intervention)
2021-05-09	1088614	566191	2591257	12244	Normal (pre-intervention)
2021-05-10	1101416	565191	2688458	12802	Normal (pre-intervention)
2021-05-11	1114849	563691	2792202	13433	Normal (pre-intervention)
2021-05-12	1128727	562547	2906412	13878	Normal (pre-intervention)
2021-05-13	1143189	561295	3020243	14462	Normal (pre-intervention)
2021-05-14	1158113	559205	3140228	14924	Normal (pre-intervention)
2021-05-15	1173579	558571	3262686	15466	Normal (pre-intervention)
2021-05-16	1189501	556997	3396552	15922	Normal (pre-intervention)
2021-05-17	1206034	555776	3544924	16533	Normal (pre-intervention)
2021-05-18	1223166	554089	3690838	17132	Normal (pre-intervention)
2021-05-19	1240751	552822	3846052	17585	Normal (pre-intervention)
2021-05-20	1258889	551169	4013676	18138	Normal (pre-intervention)
2021-05-21	1277659	549789	4193656	18770	Normal (pre-intervention)
2021-05-22	1296960	548976	4374562	19301	Normal (pre-intervention)
2021-05-23	1316888	547341	4576182	19928	Normal (pre-intervention)
2021-05-24	1337285	545861	4776241	20397	Normal (pre-intervention)
2021-05-25	1358184	544761	4997165	20899	Normal (pre-intervention)
2021-05-26	1379678	543299	5224303	21494	Normal (pre-intervention)
2021-05-27	1401725	542060	5445790	22047	Normal (pre-intervention)
2021-05-28	1424339	540976	5697328	22614	Normal (pre-intervention)
2021-05-29	1447516	539740	5951416	23177	Normal (pre-intervention)
2021-05-30	1471109	538320	6214277	23593	Normal (pre-intervention)
2021-05-31	1495357	537316	6481844	24248	Normal (pre-intervention)
2021-06-01	1520159	536117	6780315	24802	Normal (pre-intervention)
2021-06-02	1545402	535193	7078152	25243	Normal (pre-intervention)
2021-06-03	1571239	533812	7369722	25837	Normal (pre-intervention)
2021-06-04	1597593	532694	7693549	26354	Normal (pre-intervention)
2021-06-05	1624368	531412	8035757	26775	Normal (pre-intervention)
2021-06-06	1651742	529529	8377683	27374	Normal (pre-intervention)
2021-06-07	1679620	528578	8724334	27878	Normal (pre-intervention)
2021-06-08	1707900	526524	9091745	28280	Normal (pre-intervention)
2021-06-09	1736735	526039	9476383	28835	Normal (pre-intervention)
2021-06-10	1765976	525628	9873736	29241	Normal (pre-intervention)
2021-06-11	1795732	524175	10285228	29756	Normal (pre-intervention)
2021-06-12	1825939	522264	10718854	30207	Normal (pre-intervention)
2021-06-13	1856611	521548	11139906	30672	Normal (pre-intervention)
2021-06-14	1887745	519851	11615261	31134	Normal (pre-intervention)
2021-06-15	1919330	519358	12072579	31585	Normal (pre-intervention)
2021-06-16	1951372	518090	12532658	32042	Normal (pre-intervention)
2021-06-17	1983772	517039	13013796	32400	Normal (pre-intervention)
2021-06-18	2016491	515374	13483194	32719	Normal (pre-intervention)
2021-06-19	2049705	514688	13970950	33214	Normal (pre-intervention)
2021-06-20	2083347	512644	14492913	33642	Normal (pre-intervention)
2021-06-21	2117403	511670	15051335	34056	Normal (pre-intervention)
2021-06-22	2151770	511173	15585913	34367	Normal (pre-intervention)
2021-06-23	2186620	509715	16109365	34850	Normal (pre-intervention)
2021-06-24	2221747	508176	16685055	35127	Normal (pre-intervention)
2021-06-25	2257274	507465	17286725	35527	Normal (pre-intervention)
2021-06-26	2293100	506196	17877211	35826	Normal (pre-intervention)
2021-06-27	2329310	504856	18455970	36210	Normal (pre-intervention)
2021-06-28	2365789	503032	19045097	36479	Normal (pre-intervention)
2021-06-29	2402703	502984	19693842	36914	Normal (pre-intervention)
2021-06-30	2440009	501308	20277072	37306	Normal (pre-intervention)
2021-07-01	2477464	501399	20906679	37455	Normal (pre-intervention)
2021-07-02	2515277	499791	21610549	37813	Normal (pre-intervention)
2021-07-03	2553381	498642	22191986	38104	Normal (pre-intervention)
2021-07-04	2591721	496544	22831678	38340	Normal (pre-intervention)
2021-07-05	2630343	495695	23525271	38622	Normal (pre-intervention)
2021-07-06	2669360	494826	24147314	39017	Normal (pre-intervention)
2021-07-07	2708561	494112	24826865	39201	Normal (pre-intervention)
2021-07-08	2747942	492427	25482132	39381	Normal (pre-intervention)
2021-07-09	2787696	491933	26133319	39754	Normal (pre-intervention)
2021-07-10	2827782	490822	26831089	40086	Normal (pre-intervention)
2021-07-11	2867989	489580	27489861	40207	Normal (pre-intervention)
2021-07-12	2908411	488115	28182498	40422	Normal (pre-intervention)
2021-07-13	2949126	486988	28861186	40715	Normal (pre-intervention)
2021-07-14	2989935	486321	29518362	40809	Normal (pre-intervention)
2021-07-15	3030991	485030	30203004	41056	Normal (pre-intervention)
2021-07-16	3072260	484355	30876608	41269	Normal (pre-intervention)
2021-07-17	3113727	482886	31564541	41467	Normal (pre-intervention)
2021-07-18	3155267	481443	32250795	41540	Normal (pre-intervention)
2021-07-19	3197015	480983	32927915	41748	Normal (pre-intervention)
2021-07-20	3239015	480268	33553112	42000	Normal (pre-intervention)
2021-07-21	3281093	479345	34193560	42078	Normal (pre-intervention)
2021-07-22	3323397	477711	34865830	42304	Normal (pre-intervention)
2021-07-23	3365804	476795	35464441	42407	Normal (pre-intervention)
2021-07-24	3408348	475999	36144273	42544	Normal (pre-intervention)
