stat	value
thetaS_last_obs_p_mean	0.9893635
thetaI_last_obs_p_mean	3.946508e-05
thetaR_last_obs_p_mean	0.01059702
thetaS_last_obs_p_ci_low	0.9889616
thetaS_last_obs_p_ci_med	0.989364
thetaS_last_obs_p_ci_up	0.989761
thetaI_last_obs_p_ci_low	1.861354e-05
thetaI_last_obs_p_ci_med	3.85731e-05
thetaI_last_obs_p_ci_up	6.564552e-05
thetaR_last_obs_p_ci_low	0.01020027
thetaR_last_obs_p_ci_med	0.01059656
thetaR_last_obs_p_ci_up	0.01099784
R0_p_mean	1.560509
R0_p_ci_low	0.6593049
R0_p_ci_med	1.418902
R0_p_ci_up	3.251744
gamma_p_mean	0.05054385
gamma_p_ci_low	0.00649328
gamma_p_ci_med	0.03506752
gamma_p_ci_up	0.1887432
beta_p_mean	0.06826875
beta_p_ci_low	0.009087185
beta_p_ci_med	0.05305597
beta_p_ci_up	0.2170785
incidence_mean	0.0008991183
incidence_ci_low	2.713072e-05
incidence_ci_median	0.00017838
incidence_ci_up	0.003363312
thetaI_tp1_mean	0.0002616702
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.001099752
thetaR_tp1_mean	0.01110396
thetaR_tp1_ci_low	0.005523604
thetaR_tp1_ci_med	0.01060356
thetaR_tp1_ci_up	0.01796349
Y_tp1_mean	0.0002618309
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.001101228
R_tp1_mean	0.01110411
R_tp1_ci_low	0.005505512
R_tp1_ci_med	0.01059879
R_tp1_ci_up	0.01799708
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01110396
thetaR_max_ci_low	0.005523604
thetaR_max_ci_med	0.01060356
thetaR_max_ci_up	0.01796349
cumInf_mean	0.01136563
cumInf_ci_low	0.005530363
cumInf_ci_med	0.01063606
cumInf_ci_up	0.01847805
dthetaI_tp1_date	07/29/21
first_tp_mean	02/08/21
first_tp_ci_low	01/11/21
first_tp_ci_med	02/09/21
first_tp_ci_up	06/04/21
dthetaI_tp2_date	07/29/21
second_tp_mean	02/11/21
second_tp_ci_low	01/13/21
second_tp_ci_med	02/11/21
second_tp_ci_up	06/25/21
end_p_mean	04/06/21
end_p_ci_low	03/01/21
end_p_ci_med	03/18/21
end_p_ci_up	07/29/21
begin_str	01/11/2021
