date	value	lower_ci	upper_ci	incidence	scenario
2021-02-27	638847	612583	665939	NA	Moderate return
2021-02-28	638898	608661	670209	51	Moderate return
2021-03-01	638951	605189	674115	53	Moderate return
2021-03-02	638984	602168	677555	33	Moderate return
2021-03-03	639017	599326	680423	33	Moderate return
2021-03-04	639074	596612	683367	57	Moderate return
2021-03-05	639101	594107	686270	27	Moderate return
2021-03-06	639165	592043	688956	64	Moderate return
2021-03-07	639224	589777	691595	59	Moderate return
2021-03-08	639301	587735	693976	77	Moderate return
2021-03-09	639342	585855	696382	41	Moderate return
2021-03-10	639385	584072	698602	43	Moderate return
2021-03-11	639449	582410	700926	64	Moderate return
2021-03-12	639502	580320	703006	53	Moderate return
2021-03-13	639564	578553	705198	62	Moderate return
2021-03-14	639645	577004	707114	81	Moderate return
2021-03-15	639717	575444	709208	72	Moderate return
2021-03-16	639800	573826	711293	83	Moderate return
2021-03-17	639851	572725	712859	51	Moderate return
2021-03-18	639899	570818	714814	48	Moderate return
2021-03-19	639934	569604	716786	35	Moderate return
2021-03-20	639977	568159	718330	43	Moderate return
2021-03-21	640048	566800	720168	71	Moderate return
2021-03-22	640083	565371	721983	35	Moderate return
2021-03-23	640120	564229	723731	37	Moderate return
2021-03-24	640200	562884	725252	80	Moderate return
2021-03-25	640248	561784	726851	48	Moderate return
2021-03-26	640294	560243	728515	46	Moderate return
2021-03-27	640339	559273	730381	45	Moderate return
2021-03-28	640377	557717	731777	38	Moderate return
2021-03-29	640407	556386	733346	30	Moderate return
2021-03-30	640430	555216	734719	23	Moderate return
2021-03-31	640473	553904	736229	43	Moderate return
2021-04-01	640526	553009	737948	53	Moderate return
2021-04-02	640550	551920	739450	24	Moderate return
2021-04-03	640613	550756	740894	63	Moderate return
2021-04-04	640693	550105	742668	80	Moderate return
2021-04-05	640768	548837	743755	75	Moderate return
2021-04-06	640828	547560	745607	60	Moderate return
2021-04-07	640871	546543	746757	43	Moderate return
2021-04-08	640957	545535	748170	86	Moderate return
2021-04-09	641008	544619	749444	51	Moderate return
2021-04-10	641043	543647	750958	35	Moderate return
2021-04-11	641110	542156	752164	67	Moderate return
2021-04-12	641176	541501	753751	66	Moderate return
2021-04-13	641268	540456	755543	92	Moderate return
2021-04-14	641344	539233	756829	76	Moderate return
2021-04-15	641418	538343	757937	74	Moderate return
2021-04-16	641459	537613	758983	41	Moderate return
2021-04-17	641523	536320	760542	64	Moderate return
2021-04-18	641591	535507	762008	68	Moderate return
2021-04-19	641678	534637	763204	87	Moderate return
2021-04-20	641759	533567	764769	81	Moderate return
2021-04-21	641835	532783	766116	76	Moderate return
2021-04-22	641916	532094	767560	81	Moderate return
2021-04-23	642025	531169	768618	109	Moderate return
2021-04-24	642116	530463	770549	91	Moderate return
2021-04-25	642185	529288	771622	69	Moderate return
2021-04-26	642253	528532	773031	68	Moderate return
2021-04-27	642340	528099	774159	87	Moderate return
2021-04-28	642412	526893	775136	72	Moderate return
2021-04-29	642467	526254	776654	55	Moderate return
2021-04-30	642577	525523	778175	110	Moderate return
2021-05-01	642641	524672	779496	64	Moderate return
2021-05-02	642765	523984	780535	124	Moderate return
2021-05-03	642846	523248	782125	81	Moderate return
2021-05-04	642935	522627	783486	89	Moderate return
2021-05-05	643018	521449	785113	83	Moderate return
2021-05-06	643088	520698	786233	70	Moderate return
2021-05-07	643175	519766	787540	87	Moderate return
2021-05-08	643277	518949	789310	102	Moderate return
2021-05-09	643396	518346	790624	119	Moderate return
2021-05-10	643495	517667	791717	99	Moderate return
2021-05-11	643607	516623	793345	112	Moderate return
2021-05-12	643681	515941	794734	74	Moderate return
2021-05-13	643807	515648	796367	126	Moderate return
2021-05-14	643947	514710	797677	140	Moderate return
2021-05-15	644078	513814	798881	131	Moderate return
2021-05-16	644215	513229	799941	137	Moderate return
2021-05-17	644313	512619	801528	98	Moderate return
2021-05-18	644442	511636	803080	129	Moderate return
2021-05-19	644584	511003	804562	142	Moderate return
2021-05-20	644722	510457	806077	138	Moderate return
2021-05-21	644854	509979	807969	132	Moderate return
2021-05-22	644980	509081	808416	126	Moderate return
2021-05-23	645155	508638	809954	175	Moderate return
2021-05-24	645320	507573	811854	165	Moderate return
2021-05-25	645495	507123	813272	175	Moderate return
2021-05-26	645655	506293	815155	160	Moderate return
2021-05-27	645811	505760	816099	156	Moderate return
