date	value	lower_ci	upper_ci	incidence	scenario
2021-03-01	126494	115971	137600	NA	Normal (pre-intervention)
2021-03-02	126572	114525	139459	78	Normal (pre-intervention)
2021-03-03	126626	113161	141062	54	Normal (pre-intervention)
2021-03-04	126686	112005	142627	60	Normal (pre-intervention)
2021-03-05	126756	111005	144015	70	Normal (pre-intervention)
2021-03-06	126821	110052	145323	65	Normal (pre-intervention)
2021-03-07	126895	109160	146616	74	Normal (pre-intervention)
2021-03-08	126959	108249	147881	64	Normal (pre-intervention)
2021-03-09	127034	107545	149148	75	Normal (pre-intervention)
2021-03-10	127114	106671	150310	80	Normal (pre-intervention)
2021-03-11	127193	106005	151432	79	Normal (pre-intervention)
2021-03-12	127275	105303	152572	82	Normal (pre-intervention)
2021-03-13	127377	104687	153747	102	Normal (pre-intervention)
2021-03-14	127467	103976	154932	90	Normal (pre-intervention)
2021-03-15	127570	103421	155994	103	Normal (pre-intervention)
2021-03-16	127671	102791	157135	101	Normal (pre-intervention)
2021-03-17	127786	102198	158335	115	Normal (pre-intervention)
2021-03-18	127906	101629	159528	120	Normal (pre-intervention)
2021-03-19	128024	101139	160713	118	Normal (pre-intervention)
2021-03-20	128137	100669	161668	113	Normal (pre-intervention)
2021-03-21	128260	100122	163084	123	Normal (pre-intervention)
2021-03-22	128395	99648	164243	135	Normal (pre-intervention)
2021-03-23	128535	99201	165645	140	Normal (pre-intervention)
2021-03-24	128677	98658	166872	142	Normal (pre-intervention)
2021-03-25	128847	98121	168235	170	Normal (pre-intervention)
2021-03-26	129017	97894	169473	170	Normal (pre-intervention)
2021-03-27	129194	97401	170842	177	Normal (pre-intervention)
2021-03-28	129379	96910	172389	185	Normal (pre-intervention)
2021-03-29	129573	96527	173969	194	Normal (pre-intervention)
2021-03-30	129787	96240	175294	214	Normal (pre-intervention)
2021-03-31	130021	95780	177055	234	Normal (pre-intervention)
2021-04-01	130248	95319	178730	227	Normal (pre-intervention)
2021-04-02	130504	95001	180371	256	Normal (pre-intervention)
2021-04-03	130775	94545	182409	271	Normal (pre-intervention)
2021-04-04	131053	94234	184178	278	Normal (pre-intervention)
2021-04-05	131350	93825	186435	297	Normal (pre-intervention)
2021-04-06	131672	93505	188463	322	Normal (pre-intervention)
2021-04-07	132016	93093	190708	344	Normal (pre-intervention)
2021-04-08	132384	92919	193158	368	Normal (pre-intervention)
2021-04-09	132775	92548	195690	391	Normal (pre-intervention)
2021-04-10	133194	92224	198015	419	Normal (pre-intervention)
2021-04-11	133646	91838	201206	452	Normal (pre-intervention)
2021-04-12	134134	91653	203948	488	Normal (pre-intervention)
2021-04-13	134662	91151	207205	528	Normal (pre-intervention)
2021-04-14	135223	90888	210657	561	Normal (pre-intervention)
2021-04-15	135826	90521	214204	603	Normal (pre-intervention)
2021-04-16	136465	90244	217884	639	Normal (pre-intervention)
2021-04-17	137151	89769	222082	686	Normal (pre-intervention)
2021-04-18	137884	89511	226038	733	Normal (pre-intervention)
2021-04-19	138672	89258	230670	788	Normal (pre-intervention)
2021-04-20	139508	88935	235436	836	Normal (pre-intervention)
2021-04-21	140407	88668	240532	899	Normal (pre-intervention)
2021-04-22	141368	88489	246568	961	Normal (pre-intervention)
2021-04-23	142393	88195	252201	1025	Normal (pre-intervention)
2021-04-24	143489	87910	259133	1096	Normal (pre-intervention)
2021-04-25	144632	87504	265780	1143	Normal (pre-intervention)
2021-04-26	145859	87242	273481	1227	Normal (pre-intervention)
2021-04-27	147156	87103	281095	1297	Normal (pre-intervention)
2021-04-28	148546	86697	290312	1390	Normal (pre-intervention)
2021-04-29	150015	86404	299700	1469	Normal (pre-intervention)
2021-04-30	151570	86148	309723	1555	Normal (pre-intervention)
