date	value	lower_ci	upper_ci	incidence	scenario
2021-03-07	217694	196265	240692	NA	Moderate return
2021-03-08	217766	193264	244463	72	Moderate return
2021-03-09	217864	190579	247814	98	Moderate return
2021-03-10	217961	188190	250577	97	Moderate return
2021-03-11	218100	186238	253666	139	Moderate return
2021-03-12	218179	184279	256245	79	Moderate return
2021-03-13	218267	182542	258859	88	Moderate return
2021-03-14	218342	180665	261145	75	Moderate return
2021-03-15	218429	179197	263353	87	Moderate return
2021-03-16	218543	177613	265645	114	Moderate return
2021-03-17	218646	176122	267894	103	Moderate return
2021-03-18	218747	174774	269925	101	Moderate return
2021-03-19	218851	173273	272127	104	Moderate return
2021-03-20	218947	172046	274221	96	Moderate return
2021-03-21	219043	170750	276097	96	Moderate return
2021-03-22	219130	169625	278217	87	Moderate return
2021-03-23	219221	168332	279796	91	Moderate return
2021-03-24	219309	167231	281527	88	Moderate return
2021-03-25	219431	166184	283459	122	Moderate return
2021-03-26	219569	165080	285253	138	Moderate return
2021-03-27	219662	163850	287285	93	Moderate return
2021-03-28	219763	163083	289093	101	Moderate return
2021-03-29	219877	161813	290514	114	Moderate return
2021-03-30	219984	160821	292105	107	Moderate return
2021-03-31	220086	160073	293989	102	Moderate return
2021-04-01	220199	159148	295708	113	Moderate return
2021-04-02	220319	158012	297282	120	Moderate return
2021-04-03	220455	157086	299329	136	Moderate return
2021-04-04	220589	156178	301103	134	Moderate return
2021-04-05	220723	155391	302737	134	Moderate return
2021-04-06	220847	154353	304468	124	Moderate return
2021-04-07	220992	153600	306184	145	Moderate return
2021-04-08	221116	152577	307825	124	Moderate return
2021-04-09	221292	151972	309742	176	Moderate return
2021-04-10	221423	151191	311424	131	Moderate return
2021-04-11	221572	150534	312889	149	Moderate return
2021-04-12	221728	149707	314987	156	Moderate return
2021-04-13	221888	148996	316786	160	Moderate return
2021-04-14	222053	148312	318619	165	Moderate return
2021-04-15	222235	147516	320170	182	Moderate return
2021-04-16	222383	146686	322053	148	Moderate return
2021-04-17	222558	146023	324135	175	Moderate return
2021-04-18	222748	145500	325838	190	Moderate return
2021-04-19	222939	144618	328016	191	Moderate return
2021-04-20	223127	143829	329969	188	Moderate return
2021-04-21	223324	143399	331952	197	Moderate return
2021-04-22	223525	142541	333927	201	Moderate return
2021-04-23	223753	141886	335676	228	Moderate return
2021-04-24	223986	141128	337695	233	Moderate return
2021-04-25	224214	140511	339661	228	Moderate return
2021-04-26	224448	140162	342422	234	Moderate return
2021-04-27	224693	139665	344064	245	Moderate return
2021-04-28	224962	139163	346317	269	Moderate return
2021-04-29	225220	138367	348750	258	Moderate return
2021-04-30	225504	137860	350877	284	Moderate return
2021-05-01	225791	137200	353139	287	Moderate return
