date	value	lower_ci	upper_ci	incidence	scenario
2021-03-08	576820	518132	639997	NA	Soc. Dist. + Travel Ban
2021-03-09	577089	509928	650521	269	Soc. Dist. + Travel Ban
2021-03-10	577356	502756	660214	267	Soc. Dist. + Travel Ban
2021-03-11	577555	496468	668252	199	Soc. Dist. + Travel Ban
2021-03-12	577811	490516	676498	256	Soc. Dist. + Travel Ban
2021-03-13	578002	484918	683683	191	Soc. Dist. + Travel Ban
2021-03-14	578174	479719	690673	172	Soc. Dist. + Travel Ban
2021-03-15	578360	474552	696871	186	Soc. Dist. + Travel Ban
2021-03-16	578567	470373	703329	207	Soc. Dist. + Travel Ban
2021-03-17	578788	466244	709139	221	Soc. Dist. + Travel Ban
2021-03-18	578975	461927	715517	187	Soc. Dist. + Travel Ban
2021-03-19	579231	457878	721017	256	Soc. Dist. + Travel Ban
2021-03-20	579469	454227	726532	238	Soc. Dist. + Travel Ban
2021-03-21	579707	450177	732194	238	Soc. Dist. + Travel Ban
2021-03-22	579905	446734	737023	198	Soc. Dist. + Travel Ban
2021-03-23	580108	443445	743173	203	Soc. Dist. + Travel Ban
2021-03-24	580297	440367	748129	189	Soc. Dist. + Travel Ban
2021-03-25	580547	436597	753284	250	Soc. Dist. + Travel Ban
2021-03-26	580807	434361	758251	260	Soc. Dist. + Travel Ban
2021-03-27	581010	430745	763047	203	Soc. Dist. + Travel Ban
2021-03-28	581303	428232	768043	293	Soc. Dist. + Travel Ban
2021-03-29	581554	425181	772848	251	Soc. Dist. + Travel Ban
2021-03-30	581796	422255	777796	242	Soc. Dist. + Travel Ban
2021-03-31	582035	419577	782243	239	Soc. Dist. + Travel Ban
2021-04-01	582329	416345	786995	294	Soc. Dist. + Travel Ban
2021-04-02	582586	414254	791954	257	Soc. Dist. + Travel Ban
2021-04-03	582808	411669	796469	222	Soc. Dist. + Travel Ban
2021-04-04	583164	408752	801443	356	Soc. Dist. + Travel Ban
2021-04-05	583476	406585	806942	312	Soc. Dist. + Travel Ban
2021-04-06	583730	404453	810780	254	Soc. Dist. + Travel Ban
2021-04-07	584049	402010	815433	319	Soc. Dist. + Travel Ban
2021-04-08	584349	399466	819852	300	Soc. Dist. + Travel Ban
2021-04-09	584689	397355	825214	340	Soc. Dist. + Travel Ban
2021-04-10	585072	395491	829227	383	Soc. Dist. + Travel Ban
2021-04-11	585347	393314	834476	275	Soc. Dist. + Travel Ban
2021-04-12	585673	391206	838723	326	Soc. Dist. + Travel Ban
2021-04-13	585984	388388	844375	311	Soc. Dist. + Travel Ban
2021-04-14	586327	386417	849425	343	Soc. Dist. + Travel Ban
2021-04-15	586718	384092	852634	391	Soc. Dist. + Travel Ban
2021-04-16	587050	382178	857796	332	Soc. Dist. + Travel Ban
2021-04-17	587379	380029	861914	329	Soc. Dist. + Travel Ban
