stat	value
thetaS_last_obs_p_mean	0.9892592
thetaI_last_obs_p_mean	8.350727e-05
thetaR_last_obs_p_mean	0.01065734
thetaS_last_obs_p_ci_low	0.9888534
thetaS_last_obs_p_ci_med	0.98926
thetaS_last_obs_p_ci_up	0.9896563
thetaI_last_obs_p_ci_low	5.081372e-05
thetaI_last_obs_p_ci_med	8.255095e-05
thetaI_last_obs_p_ci_up	0.000121659
thetaR_last_obs_p_ci_low	0.01026225
thetaR_last_obs_p_ci_med	0.01065617
thetaR_last_obs_p_ci_up	0.01106152
R0_p_mean	1.765374
R0_p_ci_low	0.7450128
R0_p_ci_med	1.616378
R0_p_ci_up	3.632695
gamma_p_mean	0.05437903
gamma_p_ci_low	0.007303554
gamma_p_ci_med	0.03933693
gamma_p_ci_up	0.192121
beta_p_mean	0.08481947
beta_p_ci_low	0.01074119
beta_p_ci_med	0.06821137
beta_p_ci_up	0.2530488
incidence_mean	0.02796869
incidence_ci_low	4.020453e-05
incidence_ci_median	0.0004208842
incidence_ci_up	0.3954931
thetaI_tp1_mean	0.004830853
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.05358213
thetaR_tp1_mean	0.0191944
thetaR_tp1_ci_low	0.006383813
thetaR_tp1_ci_med	0.01153023
thetaR_tp1_ci_up	0.08845474
Y_tp1_mean	0.00483076
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.05373922
R_tp1_mean	0.01919409
R_tp1_ci_low	0.006369762
R_tp1_ci_med	0.01152832
R_tp1_ci_up	0.08859681
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03030971
thetaR_max_ci_low	0.005905718
thetaR_max_ci_med	0.01180608
thetaR_max_ci_up	0.2694442
cumInf_mean	0.0382879
cumInf_ci_low	0.005925448
cumInf_ci_med	0.01197596
cumInf_ci_up	0.4017408
dthetaI_tp1_date	07/08/21
first_tp_mean	03/31/21
first_tp_ci_low	01/24/21
first_tp_ci_med	03/04/21
first_tp_ci_up	08/10/21
dthetaI_tp2_date	07/08/21
second_tp_mean	04/05/21
second_tp_ci_low	01/26/21
second_tp_ci_med	03/06/21
second_tp_ci_up	08/10/21
end_p_mean	05/30/21
end_p_ci_low	03/18/21
end_p_ci_med	05/10/21
end_p_ci_up	08/10/21
begin_str	01/23/2021
