date	value	lower_ci	upper_ci	incidence	scenario
2021-03-15	11391697	10321074	12476600	NA	Soc. Dist. + Travel Ban
2021-03-16	11403831	10154924	12651493	12134	Soc. Dist. + Travel Ban
2021-03-17	11417836	10049521	13007802	14005	Soc. Dist. + Travel Ban
2021-03-18	11428182	9964096	13032676	10346	Soc. Dist. + Travel Ban
2021-03-19	11443757	9838187	13185858	15575	Soc. Dist. + Travel Ban
2021-03-20	11455484	9745305	13252678	11727	Soc. Dist. + Travel Ban
2021-03-21	11467124	9573138	13485340	11640	Soc. Dist. + Travel Ban
2021-03-22	11474317	9498372	13616612	7193	Soc. Dist. + Travel Ban
2021-03-23	11485489	9400520	13721989	11172	Soc. Dist. + Travel Ban
2021-03-24	11494360	9314405	13911847	8871	Soc. Dist. + Travel Ban
2021-03-25	11504405	9298276	13999863	10045	Soc. Dist. + Travel Ban
2021-03-26	11515257	9253216	14088212	10852	Soc. Dist. + Travel Ban
2021-03-27	11521477	9159131	14222858	6220	Soc. Dist. + Travel Ban
2021-03-28	11528504	9084581	14241516	7027	Soc. Dist. + Travel Ban
2021-03-29	11548771	8988286	14384871	20267	Soc. Dist. + Travel Ban
2021-03-30	11567074	9017718	14444512	18303	Soc. Dist. + Travel Ban
2021-03-31	11570620	9025032	14642296	3546	Soc. Dist. + Travel Ban
2021-04-01	11586077	8904794	14756796	15457	Soc. Dist. + Travel Ban
2021-04-02	11595186	8920764	14889413	9109	Soc. Dist. + Travel Ban
2021-04-03	11605193	8867413	15017427	10007	Soc. Dist. + Travel Ban
2021-04-04	11622730	8822236	15021303	17537	Soc. Dist. + Travel Ban
2021-04-05	11639335	8759741	15269433	16605	Soc. Dist. + Travel Ban
2021-04-06	11662389	8788740	15490375	23054	Soc. Dist. + Travel Ban
2021-04-07	11670340	8704075	15412196	7951	Soc. Dist. + Travel Ban
2021-04-08	11692685	8695603	15589254	22345	Soc. Dist. + Travel Ban
2021-04-09	11715958	8683950	15732534	23273	Soc. Dist. + Travel Ban
2021-04-10	11727374	8663723	15713317	11416	Soc. Dist. + Travel Ban
2021-04-11	11730436	8615334	15938903	3062	Soc. Dist. + Travel Ban
2021-04-12	11745216	8554664	15893455	14780	Soc. Dist. + Travel Ban
2021-04-13	11766114	8523147	16070819	20898	Soc. Dist. + Travel Ban
2021-04-14	11772508	8494556	16193972	6394	Soc. Dist. + Travel Ban
2021-04-15	11780731	8440567	16269499	8223	Soc. Dist. + Travel Ban
2021-04-16	11781948	8474245	16273049	1217	Soc. Dist. + Travel Ban
2021-04-17	11811694	8408168	16448672	29746	Soc. Dist. + Travel Ban
2021-04-18	11829783	8375329	16571343	18089	Soc. Dist. + Travel Ban
2021-04-19	11841740	8244907	16862130	11957	Soc. Dist. + Travel Ban
2021-04-20	11857472	8226502	16747703	15732	Soc. Dist. + Travel Ban
2021-04-21	11871499	8086347	16802396	14027	Soc. Dist. + Travel Ban
2021-04-22	11886027	8119634	16856547	14528	Soc. Dist. + Travel Ban
2021-04-23	11897887	8104060	16934756	11860	Soc. Dist. + Travel Ban
2021-04-24	11911659	8021822	17128252	13772	Soc. Dist. + Travel Ban
2021-04-25	11922347	8122166	17375755	10688	Soc. Dist. + Travel Ban
2021-04-26	11932743	7997163	17406673	10396	Soc. Dist. + Travel Ban
2021-04-27	11953043	7874724	17585556	20300	Soc. Dist. + Travel Ban
2021-04-28	11973002	7887338	17795832	19959	Soc. Dist. + Travel Ban
2021-04-29	11989307	7839514	17829333	16305	Soc. Dist. + Travel Ban
2021-04-30	12004763	7851373	17929425	15456	Soc. Dist. + Travel Ban
2021-05-01	12020592	7873447	18164587	15829	Soc. Dist. + Travel Ban
2021-05-02	12049927	7807190	18390301	29335	Soc. Dist. + Travel Ban
2021-05-03	12073440	7724190	18378678	23513	Soc. Dist. + Travel Ban
2021-05-04	12091680	7585059	18474607	18240	Soc. Dist. + Travel Ban
2021-05-05	12112659	7583857	18613616	20979	Soc. Dist. + Travel Ban
2021-05-06	12126199	7667841	18814996	13540	Soc. Dist. + Travel Ban
2021-05-07	12148026	7660915	18942619	21827	Soc. Dist. + Travel Ban
2021-05-08	12172271	7642636	19085654	24245	Soc. Dist. + Travel Ban
2021-05-09	12207279	7605559	19210798	35008	Soc. Dist. + Travel Ban
2021-05-10	12226585	7582901	19396331	19306	Soc. Dist. + Travel Ban
2021-05-11	12254211	7518165	19479791	27626	Soc. Dist. + Travel Ban
2021-05-12	12279184	7486493	19601090	24973	Soc. Dist. + Travel Ban
2021-05-13	12299679	7504750	19566022	20495	Soc. Dist. + Travel Ban
2021-05-14	12329584	7332044	19806440	29905	Soc. Dist. + Travel Ban
2021-05-15	12346577	7467027	20236940	16993	Soc. Dist. + Travel Ban
2021-05-16	12376211	7306559	20530226	29634	Soc. Dist. + Travel Ban
2021-05-17	12397902	7251305	20602869	21691	Soc. Dist. + Travel Ban
2021-05-18	12416676	7355081	20613611	18774	Soc. Dist. + Travel Ban
2021-05-19	12447991	7349957	20762642	31315	Soc. Dist. + Travel Ban
2021-05-20	12493366	7453841	21287218	45375	Soc. Dist. + Travel Ban
2021-05-21	12528193	7390122	21361276	34827	Soc. Dist. + Travel Ban
2021-05-22	12561146	7314864	21342162	32953	Soc. Dist. + Travel Ban
2021-05-23	12597838	7331201	21472576	36692	Soc. Dist. + Travel Ban
2021-05-24	12631286	7330285	21845838	33448	Soc. Dist. + Travel Ban
2021-05-25	12667346	7301295	21728857	36060	Soc. Dist. + Travel Ban
2021-05-26	12712017	7298584	22163706	44671	Soc. Dist. + Travel Ban
2021-05-27	12743468	7237636	22697103	31451	Soc. Dist. + Travel Ban
2021-05-28	12784588	7125489	22974575	41120	Soc. Dist. + Travel Ban
2021-05-29	12818190	7148286	23153094	33602	Soc. Dist. + Travel Ban
2021-05-30	12850469	7184105	23586962	32279	Soc. Dist. + Travel Ban
2021-05-31	12892128	7177583	23829241	41659	Soc. Dist. + Travel Ban
2021-06-01	12929497	7200526	24420328	37369	Soc. Dist. + Travel Ban
2021-06-02	12957548	7021611	24685260	28051	Soc. Dist. + Travel Ban
2021-06-03	12998425	7076372	24797750	40877	Soc. Dist. + Travel Ban
2021-06-04	13047597	7049987	25494364	49172	Soc. Dist. + Travel Ban
2021-06-05	13100741	6980658	25914273	53144	Soc. Dist. + Travel Ban
2021-06-06	13153770	6974150	26102205	53029	Soc. Dist. + Travel Ban
2021-06-07	13202434	7031419	26349297	48664	Soc. Dist. + Travel Ban
2021-06-08	13248213	7032614	26511496	45779	Soc. Dist. + Travel Ban
2021-06-09	13298593	6955433	26902993	50380	Soc. Dist. + Travel Ban
2021-06-10	13349253	6931175	27294863	50660	Soc. Dist. + Travel Ban
2021-06-11	13402912	7088096	27921966	53659	Soc. Dist. + Travel Ban
2021-06-12	13442047	6904495	28269533	39135	Soc. Dist. + Travel Ban
2021-06-13	13505774	6904572	28419650	63727	Soc. Dist. + Travel Ban
2021-06-14	13559129	6774422	28740600	53355	Soc. Dist. + Travel Ban
2021-06-15	13621126	6753683	29418976	61997	Soc. Dist. + Travel Ban
2021-06-16	13677301	6871403	29896664	56175	Soc. Dist. + Travel Ban
2021-06-17	13735756	6833007	30383578	58455	Soc. Dist. + Travel Ban
2021-06-18	13806365	6753554	30861277	70609	Soc. Dist. + Travel Ban
2021-06-19	13871972	6790676	31337003	65607	Soc. Dist. + Travel Ban
2021-06-20	13947783	6715830	32344092	75811	Soc. Dist. + Travel Ban
2021-06-21	14003761	6798623	32481840	55978	Soc. Dist. + Travel Ban
2021-06-22	14070963	6757085	33318872	67202	Soc. Dist. + Travel Ban
2021-06-23	14146758	6830592	33717195	75795	Soc. Dist. + Travel Ban
2021-06-24	14219664	6717701	33954633	72906	Soc. Dist. + Travel Ban
2021-06-25	14288427	6883539	34817610	68763	Soc. Dist. + Travel Ban
2021-06-26	14370849	6650718	35379882	82422	Soc. Dist. + Travel Ban
2021-06-27	14462940	6729432	36262372	92091	Soc. Dist. + Travel Ban
2021-06-28	14555645	6675984	36960720	92705	Soc. Dist. + Travel Ban
2021-06-29	14633706	6714435	37228070	78061	Soc. Dist. + Travel Ban
2021-06-30	14721367	6551196	38660513	87661	Soc. Dist. + Travel Ban
2021-07-01	14808157	6612347	38872168	86790	Soc. Dist. + Travel Ban
2021-07-02	14903858	6619588	39594812	95701	Soc. Dist. + Travel Ban
2021-07-03	15017581	6552803	40354995	113723	Soc. Dist. + Travel Ban
2021-07-04	15118678	6521252	40886978	101097	Soc. Dist. + Travel Ban
2021-07-05	15235832	6547714	41585915	117154	Soc. Dist. + Travel Ban
2021-07-06	15340883	6487792	43355241	105051	Soc. Dist. + Travel Ban
2021-07-07	15447307	6520153	43080025	106424	Soc. Dist. + Travel Ban
2021-07-08	15557070	6384354	44357995	109763	Soc. Dist. + Travel Ban
2021-07-09	15675661	6382294	45891340	118591	Soc. Dist. + Travel Ban
2021-07-10	15807294	6329376	46256199	131633	Soc. Dist. + Travel Ban
2021-07-11	15930384	6442050	46876854	123090	Soc. Dist. + Travel Ban
2021-07-12	16065226	6403504	47939946	134842	Soc. Dist. + Travel Ban
2021-07-13	16191226	6256010	48747980	126000	Soc. Dist. + Travel Ban
2021-07-14	16322165	6315973	50501210	130939	Soc. Dist. + Travel Ban
2021-07-15	16468991	6032770	50854628	146826	Soc. Dist. + Travel Ban
2021-07-16	16598240	6229577	52252787	129249	Soc. Dist. + Travel Ban
2021-07-17	16736556	6246132	54736413	138316	Soc. Dist. + Travel Ban
2021-07-18	16867568	6149951	55855785	131012	Soc. Dist. + Travel Ban
2021-07-19	17013092	6238055	57329001	145524	Soc. Dist. + Travel Ban
2021-07-20	17160168	6179239	58336451	147076	Soc. Dist. + Travel Ban
2021-07-21	17324132	6210781	59521637	163964	Soc. Dist. + Travel Ban
2021-07-22	17483231	6082017	62006147	159099	Soc. Dist. + Travel Ban
2021-07-23	17650799	6166497	63742071	167568	Soc. Dist. + Travel Ban
2021-07-24	17821737	6104645	64501178	170938	Soc. Dist. + Travel Ban
2021-07-25	17989382	6128818	65728158	167645	Soc. Dist. + Travel Ban
2021-07-26	18148666	6017934	66988563	159284	Soc. Dist. + Travel Ban
2021-07-27	18327214	5987703	69090878	178548	Soc. Dist. + Travel Ban
2021-07-28	18502163	6111744	70778810	174949	Soc. Dist. + Travel Ban
2021-07-29	18672693	6114061	71697419	170530	Soc. Dist. + Travel Ban
2021-07-30	18847313	6087936	74117235	174620	Soc. Dist. + Travel Ban
2021-07-31	19036636	6008138	78511355	189323	Soc. Dist. + Travel Ban
2021-08-01	19237788	6000307	79714344	201152	Soc. Dist. + Travel Ban
2021-08-02	19436345	5932697	82173329	198557	Soc. Dist. + Travel Ban
2021-08-03	19632009	5884393	83875210	195664	Soc. Dist. + Travel Ban
2021-08-04	19839069	5878389	85626282	207060	Soc. Dist. + Travel Ban
2021-08-05	20045822	5869544	87418658	206753	Soc. Dist. + Travel Ban
2021-08-06	20261825	5763032	90503179	216003	Soc. Dist. + Travel Ban
2021-08-07	20477066	5718545	93785617	215241	Soc. Dist. + Travel Ban
2021-08-08	20696998	5925504	95339091	219932	Soc. Dist. + Travel Ban
2021-08-09	20924300	5906873	97641742	227302	Soc. Dist. + Travel Ban
2021-08-10	21153926	5956643	100385119	229626	Soc. Dist. + Travel Ban
2021-08-11	21395518	5916095	103368861	241592	Soc. Dist. + Travel Ban
2021-08-12	21639807	5800241	104990928	244289	Soc. Dist. + Travel Ban
2021-08-13	21876150	5794214	107767248	236343	Soc. Dist. + Travel Ban
2021-08-14	22133639	5732012	110294037	257489	Soc. Dist. + Travel Ban
2021-08-15	22380513	5793438	114312384	246874	Soc. Dist. + Travel Ban
2021-08-16	22641600	5835953	116112483	261087	Soc. Dist. + Travel Ban
