stat	value
thetaS_last_obs_p_mean	0.9671699
thetaI_last_obs_p_mean	0.0007821637
thetaR_last_obs_p_mean	0.03204793
thetaS_last_obs_p_ci_low	0.9664444
thetaS_last_obs_p_ci_med	0.9671685
thetaS_last_obs_p_ci_up	0.967895
thetaI_last_obs_p_ci_low	0.0006790435
thetaI_last_obs_p_ci_med	0.0007810233
thetaI_last_obs_p_ci_up	0.0008982742
thetaR_last_obs_p_ci_low	0.03133075
thetaR_last_obs_p_ci_med	0.03204731
thetaR_last_obs_p_ci_up	0.03275352
R0_p_mean	0.8419535
R0_p_ci_low	0.5588724
R0_p_ci_med	0.8437722
R0_p_ci_up	1.163377
gamma_p_mean	0.07037106
gamma_p_ci_low	0.01686945
gamma_p_ci_med	0.06772755
gamma_p_ci_up	0.1371823
beta_p_mean	0.0595029
beta_p_ci_low	0.0131758
beta_p_ci_med	0.05594137
beta_p_ci_up	0.1240546
incidence_mean	0.007632453
incidence_ci_low	0.001664265
incidence_ci_median	0.006473333
incidence_ci_up	0.02161102
thetaI_tp1_mean	0.0002649718
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.002072253
thetaR_tp1_mean	0.03593518
thetaR_tp1_ci_low	0.02464878
thetaR_tp1_ci_med	0.03536455
thetaR_tp1_ci_up	0.05095106
Y_tp1_mean	0.0002662104
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.00211741
R_tp1_mean	0.03595478
R_tp1_ci_low	0.02454296
R_tp1_ci_med	0.03540468
R_tp1_ci_up	0.0511335
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03593518
thetaR_max_ci_low	0.02464878
thetaR_max_ci_med	0.03536455
thetaR_max_ci_up	0.05095106
cumInf_mean	0.03620015
cumInf_ci_low	0.02473113
cumInf_ci_med	0.03555966
cumInf_ci_up	0.0520473
dthetaI_tp1_date	08/19/21
first_tp_mean	02/10/21
first_tp_ci_low	02/01/21
first_tp_ci_med	02/06/21
first_tp_ci_up	03/16/21
dthetaI_tp2_date	08/19/21
second_tp_mean	02/11/21
second_tp_ci_low	02/01/21
second_tp_ci_med	02/07/21
second_tp_ci_up	03/18/21
end_p_mean	07/19/21
end_p_ci_low	05/07/21
end_p_ci_med	08/06/21
end_p_ci_up	08/19/21
begin_str	02/01/2021
