date	value	lower_ci	upper_ci	incidence	scenario
2021-03-19	2406160	2243094	2577023	NA	Normal (pre-intervention)
2021-03-20	2422127	2231098	2615196	15967	Normal (pre-intervention)
2021-03-21	2438458	2219411	2662662	16331	Normal (pre-intervention)
2021-03-22	2454670	2217716	2701179	16212	Normal (pre-intervention)
2021-03-23	2472379	2214445	2754435	17709	Normal (pre-intervention)
2021-03-24	2489808	2195384	2802169	17429	Normal (pre-intervention)
2021-03-25	2508657	2191558	2853425	18849	Normal (pre-intervention)
2021-03-26	2528455	2193701	2903399	19798	Normal (pre-intervention)
2021-03-27	2548160	2190562	2957514	19705	Normal (pre-intervention)
2021-03-28	2569025	2187686	3005955	20865	Normal (pre-intervention)
2021-03-29	2591447	2184496	3061502	22422	Normal (pre-intervention)
2021-03-30	2614577	2186074	3128819	23130	Normal (pre-intervention)
2021-03-31	2639340	2164455	3194237	24763	Normal (pre-intervention)
2021-04-01	2665533	2181841	3256705	26193	Normal (pre-intervention)
2021-04-02	2692169	2168777	3324228	26636	Normal (pre-intervention)
2021-04-03	2721534	2189039	3407493	29365	Normal (pre-intervention)
2021-04-04	2750182	2182901	3476858	28648	Normal (pre-intervention)
2021-04-05	2781261	2171458	3557083	31079	Normal (pre-intervention)
2021-04-06	2813353	2179920	3649178	32092	Normal (pre-intervention)
2021-04-07	2844798	2180175	3740883	31445	Normal (pre-intervention)
2021-04-08	2879482	2183571	3839789	34684	Normal (pre-intervention)
2021-04-09	2916102	2191905	3952611	36620	Normal (pre-intervention)
2021-04-10	2953303	2196451	4072487	37201	Normal (pre-intervention)
2021-04-11	2994331	2193842	4182585	41028	Normal (pre-intervention)
2021-04-12	3036461	2205919	4294551	42130	Normal (pre-intervention)
2021-04-13	3077889	2211142	4431180	41428	Normal (pre-intervention)
2021-04-14	3122707	2205444	4577184	44818	Normal (pre-intervention)
2021-04-15	3171986	2199182	4753469	49279	Normal (pre-intervention)
2021-04-16	3221423	2207975	4899849	49437	Normal (pre-intervention)
2021-04-17	3271775	2237575	5096327	50352	Normal (pre-intervention)
2021-04-18	3327122	2222133	5271694	55347	Normal (pre-intervention)
2021-04-19	3383320	2231474	5501462	56198	Normal (pre-intervention)
2021-04-20	3442509	2234307	5713865	59189	Normal (pre-intervention)
2021-04-21	3504387	2244572	5952967	61878	Normal (pre-intervention)
2021-04-22	3568278	2255956	6141273	63891	Normal (pre-intervention)
2021-04-23	3635802	2251423	6413411	67524	Normal (pre-intervention)
2021-04-24	3706131	2257711	6661202	70329	Normal (pre-intervention)
2021-04-25	3780128	2272838	6949615	73997	Normal (pre-intervention)
2021-04-26	3857258	2278178	7229608	77130	Normal (pre-intervention)
2021-04-27	3938459	2277611	7475561	81201	Normal (pre-intervention)
2021-04-28	4022677	2298280	7812608	84218	Normal (pre-intervention)
2021-04-29	4110644	2296378	8203182	87967	Normal (pre-intervention)
2021-04-30	4201643	2305834	8500873	90999	Normal (pre-intervention)
2021-05-01	4294523	2289846	8907024	92880	Normal (pre-intervention)
2021-05-02	4392338	2316124	9252321	97815	Normal (pre-intervention)
2021-05-03	4497924	2317167	9712451	105586	Normal (pre-intervention)
2021-05-04	4606734	2327952	10120463	108810	Normal (pre-intervention)
2021-05-05	4720216	2342921	10531316	113482	Normal (pre-intervention)
2021-05-06	4837444	2331960	10953315	117228	Normal (pre-intervention)
