date	value	incidence	scenario	lower_ci	upper_ci
2021-02-02	570380	NA	Observed	NA	NA
2021-02-03	570581	201	Observed	NA	NA
2021-02-04	570787	206	Observed	NA	NA
2021-02-05	570981	194	Observed	NA	NA
2021-02-06	571178	197	Observed	NA	NA
2021-02-07	571371	193	Observed	NA	NA
2021-02-08	571490	119	Observed	NA	NA
2021-02-09	571636	146	Observed	NA	NA
2021-02-10	571815	179	Observed	NA	NA
2021-02-11	572032	217	Observed	NA	NA
2021-02-12	572220	188	Observed	NA	NA
2021-02-13	572405	185	Observed	NA	NA
2021-02-14	572595	190	Observed	NA	NA
2021-02-15	572728	133	Observed	NA	NA
2021-02-16	572879	151	Observed	NA	NA
2021-02-17	573012	133	Observed	NA	NA
2021-02-18	573193	181	Observed	NA	NA
2021-02-19	573387	194	Observed	NA	NA
2021-02-20	573580	193	Observed	NA	NA
2021-02-21	573762	182	Observed	NA	NA
2021-02-22	573910	148	Observed	NA	NA
2021-02-23	574099	189	Observed	NA	NA
2021-02-24	574301	202	Observed	NA	NA
2021-02-25	574500	199	Observed	NA	NA
2021-02-26	574716	216	Observed	NA	NA
2021-02-27	574926	210	Observed	NA	NA
2021-02-28	575118	192	Observed	NA	NA
2021-03-01	575316	198	Observed	NA	NA
2021-03-02	575487	171	Observed	NA	NA
2021-03-03	575712	225	Observed	NA	NA
2021-03-04	575921	209	Observed	NA	NA
2021-03-05	576176	255	Observed	NA	NA
2021-03-06	576435	259	Observed	NA	NA
2021-03-07	576623	188	Observed	NA	NA
2021-03-08	576838	215	Observed	NA	NA
2021-03-09	577026	188	Observed	NA	NA
2021-03-10	577267	241	Observed	NA	NA
2021-03-11	577511	244	Observed	NA	NA
2021-03-12	577788	277	Observed	NA	NA
2021-03-13	578064	276	Observed	NA	NA
2021-03-14	578347	283	Observed	NA	NA
2021-03-15	578598	251	Observed	NA	NA
2021-03-16	578853	255	Observed	NA	NA
2021-03-17	579156	303	Observed	NA	NA
2021-03-18	579479	323	Observed	NA	NA
2021-03-19	579678	NA	Soc. Dist. + Travel Ban	520632	642908
2021-03-20	579885	207	Soc. Dist. + Travel Ban	512247	653311
2021-03-21	580084	199	Soc. Dist. + Travel Ban	505167	662623
2021-03-22	580341	257	Soc. Dist. + Travel Ban	498772	670815
2021-03-23	580568	227	Soc. Dist. + Travel Ban	492935	678494
2021-03-24	580762	194	Soc. Dist. + Travel Ban	487494	686251
2021-03-25	580957	195	Soc. Dist. + Travel Ban	482534	692954
2021-03-26	581125	168	Soc. Dist. + Travel Ban	477383	699850
2021-03-27	581322	197	Soc. Dist. + Travel Ban	472810	706117
2021-03-28	581549	227	Soc. Dist. + Travel Ban	468873	712250
2021-03-29	581774	225	Soc. Dist. + Travel Ban	464721	718300
2021-03-30	582044	270	Soc. Dist. + Travel Ban	460700	724117
2021-03-31	582221	177	Soc. Dist. + Travel Ban	457092	729705
2021-04-01	582468	247	Soc. Dist. + Travel Ban	453498	734796
2021-04-02	582754	286	Soc. Dist. + Travel Ban	449849	739833
2021-04-03	582972	218	Soc. Dist. + Travel Ban	445977	745584
2021-04-04	583212	240	Soc. Dist. + Travel Ban	442957	751042
2021-04-05	583488	276	Soc. Dist. + Travel Ban	440098	756206
2021-04-06	583746	258	Soc. Dist. + Travel Ban	436614	761112
2021-04-07	584050	304	Soc. Dist. + Travel Ban	433628	765675
2021-04-08	584360	310	Soc. Dist. + Travel Ban	431196	771020
2021-04-09	584653	293	Soc. Dist. + Travel Ban	428472	775803
2021-04-10	584970	317	Soc. Dist. + Travel Ban	425839	781411
2021-04-11	585274	304	Soc. Dist. + Travel Ban	423432	786186
2021-04-12	585605	331	Soc. Dist. + Travel Ban	420604	790975
2021-04-13	585939	334	Soc. Dist. + Travel Ban	417882	796846
2021-04-14	586287	348	Soc. Dist. + Travel Ban	414619	801215
2021-04-15	586554	267	Soc. Dist. + Travel Ban	412957	806223
2021-04-16	586845	291	Soc. Dist. + Travel Ban	410636	810430
2021-04-17	587223	378	Soc. Dist. + Travel Ban	407917	815958
2021-04-18	587569	346	Soc. Dist. + Travel Ban	404976	820596
2021-04-19	587888	319	Soc. Dist. + Travel Ban	402611	824744
2021-04-20	588219	331	Soc. Dist. + Travel Ban	400533	830338
2021-04-21	588577	358	Soc. Dist. + Travel Ban	397847	834081
2021-04-22	588998	421	Soc. Dist. + Travel Ban	395849	841025
2021-04-23	589409	411	Soc. Dist. + Travel Ban	393970	845471
2021-04-24	589890	481	Soc. Dist. + Travel Ban	392188	851432
2021-04-25	590369	479	Soc. Dist. + Travel Ban	390353	855489
2021-04-26	590889	520	Soc. Dist. + Travel Ban	387920	860717
2021-04-27	591381	492	Soc. Dist. + Travel Ban	386007	866155
2021-04-28	591889	508	Soc. Dist. + Travel Ban	383981	871892
2021-04-29	592426	537	Soc. Dist. + Travel Ban	381885	877771
2021-04-30	592991	565	Soc. Dist. + Travel Ban	380301	882983
2021-05-01	593623	632	Soc. Dist. + Travel Ban	378089	888819
2021-05-02	594263	640	Soc. Dist. + Travel Ban	376321	894571
2021-05-03	594977	714	Soc. Dist. + Travel Ban	374417	901209
2021-05-04	595687	710	Soc. Dist. + Travel Ban	372303	907186
2021-05-05	596367	680	Soc. Dist. + Travel Ban	370862	912748
2021-05-06	597028	661	Soc. Dist. + Travel Ban	368642	919421
2021-05-07	597784	756	Soc. Dist. + Travel Ban	367274	925662
2021-05-08	598490	706	Soc. Dist. + Travel Ban	365256	931996
