date	value	lower_ci	upper_ci	incidence	scenario
2021-03-20	121076	105301	138409	NA	Cautious return
2021-03-21	121134	103203	141161	58	Cautious return
2021-03-22	121163	101324	143610	29	Cautious return
2021-03-23	121220	99612	145797	57	Cautious return
2021-03-24	121292	98101	148053	72	Cautious return
2021-03-25	121352	96758	150009	60	Cautious return
2021-03-26	121409	95478	151901	57	Cautious return
2021-03-27	121454	94195	153760	45	Cautious return
2021-03-28	121518	93115	155565	64	Cautious return
2021-03-29	121575	91787	157148	57	Cautious return
2021-03-30	121620	90804	158610	45	Cautious return
2021-03-31	121679	89811	160312	59	Cautious return
2021-04-01	121741	88850	161819	62	Cautious return
2021-04-02	121792	87747	163470	51	Cautious return
2021-04-03	121862	86885	164946	70	Cautious return
2021-04-04	121917	85962	166399	55	Cautious return
2021-04-05	121974	84998	167687	57	Cautious return
2021-04-06	122025	84245	169054	51	Cautious return
2021-04-07	122103	83448	170445	78	Cautious return
2021-04-08	122166	82775	172063	63	Cautious return
2021-04-09	122238	81695	173542	72	Cautious return
2021-04-10	122320	81183	174882	82	Cautious return
2021-04-11	122404	80464	176368	84	Cautious return
2021-04-12	122484	79665	177772	80	Cautious return
2021-04-13	122574	79008	179144	90	Cautious return
2021-04-14	122664	78427	180421	90	Cautious return
2021-04-15	122764	77683	181786	100	Cautious return
2021-04-16	122863	77153	183290	99	Cautious return
2021-04-17	122951	76562	184664	88	Cautious return
2021-04-18	123046	75899	186219	95	Cautious return
2021-04-19	123158	75247	187674	112	Cautious return
2021-04-20	123270	74550	188907	112	Cautious return
2021-04-21	123392	74085	190605	122	Cautious return
2021-04-22	123526	73531	192105	134	Cautious return
2021-04-23	123635	73017	193385	109	Cautious return
2021-04-24	123775	72298	194810	140	Cautious return
2021-04-25	123926	71824	196485	151	Cautious return
2021-04-26	124082	71319	198364	156	Cautious return
2021-04-27	124234	70798	199765	152	Cautious return
2021-04-28	124400	70125	201000	166	Cautious return
2021-04-29	124577	69700	202687	177	Cautious return
2021-04-30	124760	69117	204542	183	Cautious return
2021-05-01	124960	68617	206125	200	Cautious return
2021-05-02	125185	68158	208032	225	Cautious return
2021-05-03	125426	67508	209904	241	Cautious return
2021-05-04	125657	67179	211579	231	Cautious return
2021-05-05	125907	66643	213558	250	Cautious return
2021-05-06	126190	66255	215640	283	Cautious return
2021-05-07	126488	65656	217833	298	Cautious return
2021-05-08	126797	65174	219576	309	Cautious return
2021-05-09	127146	64706	221910	349	Cautious return
2021-05-10	127496	64412	224059	350	Cautious return
2021-05-11	127878	63781	226069	382	Cautious return
2021-05-12	128282	63502	228581	404	Cautious return
2021-05-13	128737	62811	230684	455	Cautious return
2021-05-14	129205	62411	232897	468	Cautious return
2021-05-15	129719	62204	235559	514	Cautious return
2021-05-16	130266	61737	238230	547	Cautious return
