stat	value
thetaS_last_obs_p_mean	0.9919339
thetaI_last_obs_p_mean	1.758555e-05
thetaR_last_obs_p_mean	0.00804853
thetaS_last_obs_p_ci_low	0.9915886
thetaS_last_obs_p_ci_med	0.9919352
thetaS_last_obs_p_ci_up	0.9922756
thetaI_last_obs_p_ci_low	5.334968e-06
thetaI_last_obs_p_ci_med	1.669927e-05
thetaI_last_obs_p_ci_up	3.492731e-05
thetaR_last_obs_p_ci_low	0.007707042
thetaR_last_obs_p_ci_med	0.008047254
thetaR_last_obs_p_ci_up	0.008393596
R0_p_mean	1.861489
R0_p_ci_low	0.748577
R0_p_ci_med	1.700134
R0_p_ci_up	3.888642
gamma_p_mean	0.06029652
gamma_p_ci_low	0.007696892
gamma_p_ci_med	0.04356349
gamma_p_ci_up	0.2139753
beta_p_mean	0.1006788
beta_p_ci_low	0.01121274
beta_p_ci_med	0.07877003
beta_p_ci_up	0.3104417
incidence_mean	0.02746845
incidence_ci_low	1.148394e-05
incidence_ci_median	9.439756e-05
incidence_ci_up	0.5107043
thetaI_tp1_mean	0.002571995
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01876554
thetaR_tp1_mean	0.01241584
thetaR_tp1_ci_low	0.004659556
thetaR_tp1_ci_med	0.008201542
thetaR_tp1_ci_up	0.03032826
Y_tp1_mean	0.002571677
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0187354
R_tp1_mean	0.01241566
R_tp1_ci_low	0.00463937
R_tp1_ci_med	0.008201653
R_tp1_ci_up	0.03030657
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.02962044
thetaR_max_ci_low	0.003816406
thetaR_max_ci_med	0.00829276
thetaR_max_ci_up	0.3828955
cumInf_mean	0.03528434
cumInf_ci_low	0.003821212
cumInf_ci_med	0.008318697
cumInf_ci_up	0.5162378
dthetaI_tp1_date	06/21/21
first_tp_mean	03/14/21
first_tp_ci_low	02/03/21
first_tp_ci_med	02/28/21
first_tp_ci_up	08/21/21
dthetaI_tp2_date	06/21/21
second_tp_mean	03/17/21
second_tp_ci_low	02/05/21
second_tp_ci_med	03/02/21
second_tp_ci_up	08/21/21
end_p_mean	04/25/21
end_p_ci_low	03/22/21
end_p_ci_med	04/01/21
end_p_ci_up	08/21/21
begin_str	02/03/2021
