place,r,lower,upper
Andhra Pradesh,1.5967866446219303,1.504308952600215,1.6919908759386943
Assam,1.1810706037988772,0.9719664803372661,1.4103718017346334
Bihar,1.3904864943453266,1.2274509683372283,1.5637415287503365
Chhattisgarh,1.8503509038129207,1.789130326077153,1.912607237003431
Delhi,1.4228720358696703,1.3655632797390969,1.4813489456334497
Gujarat,1.5153685629462812,1.4723829946127014,1.5589692883172788
Haryana,1.541522548183784,1.4816194281255357,1.6026054908423584
India,1.4392664502609807,1.4318965326064688,1.446655135121127
Jammu and Kashmir,1.2255330953250345,1.1235455571187263,1.3319106887271777
Jharkhand,1.3532415236305855,1.2152294095035454,1.498668681332649
Karnataka,1.5812492343066806,1.5391959210692834,1.6238663035396366
Kerala,0.806774922412312,0.7903873037872416,0.8233285208290776
Madhya Pradesh,1.5378689687955256,1.4898951892834271,1.5865969758288452
Maharashtra,1.5415396838416247,1.531564199205039,1.5515473107591506
Odisha,1.066466303843519,0.9607079233480238,1.1776885574529237
Punjab,1.485243893144252,1.4539980511555,1.5168191137366824
Rajasthan,1.371905653597184,1.2989558473373901,1.4468329585668385
Tamil Nadu,1.3655817977868452,1.3244036983939824,1.4073841907969717
Telangana,1.2782874604869368,1.20400055570614,1.354775277009106
Uttar Pradesh,1.6884439130938218,1.5920969293989515,1.7876084915379098
West Bengal,1.2127577805695413,1.1502263620053514,1.2769228545510893
