date	value	lower_ci	upper_ci	incidence	scenario
2021-03-24	650137	622682	678414	NA	Soc. Dist. + Travel Ban
2021-03-25	650456	618875	683251	319	Soc. Dist. + Travel Ban
2021-03-26	650767	615456	687458	311	Soc. Dist. + Travel Ban
2021-03-27	651086	612381	691442	319	Soc. Dist. + Travel Ban
2021-03-28	651427	609678	695304	341	Soc. Dist. + Travel Ban
2021-03-29	651762	607229	698928	335	Soc. Dist. + Travel Ban
2021-03-30	652106	604813	702336	344	Soc. Dist. + Travel Ban
2021-03-31	652478	602467	705798	372	Soc. Dist. + Travel Ban
2021-04-01	652859	600565	708861	381	Soc. Dist. + Travel Ban
2021-04-02	653214	598500	712153	355	Soc. Dist. + Travel Ban
2021-04-03	653570	596432	715069	356	Soc. Dist. + Travel Ban
2021-04-04	653954	594649	717884	384	Soc. Dist. + Travel Ban
2021-04-05	654372	593129	721078	418	Soc. Dist. + Travel Ban
2021-04-06	654789	591484	724077	417	Soc. Dist. + Travel Ban
2021-04-07	655222	589700	726914	433	Soc. Dist. + Travel Ban
2021-04-08	655647	588314	729900	425	Soc. Dist. + Travel Ban
2021-04-09	656074	586686	732917	427	Soc. Dist. + Travel Ban
2021-04-10	656499	585577	735929	425	Soc. Dist. + Travel Ban
2021-04-11	656962	584002	738815	463	Soc. Dist. + Travel Ban
2021-04-12	657431	582632	741653	469	Soc. Dist. + Travel Ban
2021-04-13	657932	581413	744689	501	Soc. Dist. + Travel Ban
2021-04-14	658435	580160	747654	503	Soc. Dist. + Travel Ban
2021-04-15	658918	578796	750831	483	Soc. Dist. + Travel Ban
2021-04-16	659437	577508	753881	519	Soc. Dist. + Travel Ban
2021-04-17	659982	576384	757279	545	Soc. Dist. + Travel Ban
2021-04-18	660533	575489	760462	551	Soc. Dist. + Travel Ban
2021-04-19	661116	574231	763961	583	Soc. Dist. + Travel Ban
2021-04-20	661730	573495	767373	614	Soc. Dist. + Travel Ban
2021-04-21	662338	572305	770645	608	Soc. Dist. + Travel Ban
2021-04-22	662998	571319	774191	660	Soc. Dist. + Travel Ban
2021-04-23	663644	570404	777674	646	Soc. Dist. + Travel Ban
2021-04-24	664335	569519	781559	691	Soc. Dist. + Travel Ban
2021-04-25	665025	568609	785511	690	Soc. Dist. + Travel Ban
2021-04-26	665716	567818	789354	691	Soc. Dist. + Travel Ban
2021-04-27	666469	567161	793411	753	Soc. Dist. + Travel Ban
2021-04-28	667275	566611	797839	806	Soc. Dist. + Travel Ban
2021-04-29	668065	565269	802559	790	Soc. Dist. + Travel Ban
2021-04-30	668913	564778	806470	848	Soc. Dist. + Travel Ban
