stat	value
thetaS_last_obs_p_mean	0.9936232
thetaI_last_obs_p_mean	4.381739e-05
thetaR_last_obs_p_mean	0.006332936
thetaS_last_obs_p_ci_low	0.9933121
thetaS_last_obs_p_ci_med	0.9936236
thetaS_last_obs_p_ci_up	0.9939301
thetaI_last_obs_p_ci_low	2.156294e-05
thetaI_last_obs_p_ci_med	4.292959e-05
thetaI_last_obs_p_ci_up	7.126693e-05
thetaR_last_obs_p_ci_low	0.006026978
thetaR_last_obs_p_ci_med	0.00633263
thetaR_last_obs_p_ci_up	0.00664299
R0_p_mean	1.705494
R0_p_ci_low	0.7147551
R0_p_ci_med	1.556799
R0_p_ci_up	3.554772
gamma_p_mean	0.05332119
gamma_p_ci_low	0.007058398
gamma_p_ci_med	0.03807579
gamma_p_ci_up	0.1910968
beta_p_mean	0.07997909
beta_p_ci_low	0.01006585
beta_p_ci_med	0.0632277
beta_p_ci_up	0.2448008
incidence_mean	0.07993983
incidence_ci_low	2.693359e-05
incidence_ci_median	0.0002662913
incidence_ci_up	0.8133553
thetaI_tp1_mean	0.00780824
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.09846553
thetaR_tp1_mean	0.01950109
thetaR_tp1_ci_low	0.003494041
thetaR_tp1_ci_med	0.006937056
thetaR_tp1_ci_up	0.1586997
Y_tp1_mean	0.007807803
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.09843716
R_tp1_mean	0.01950093
R_tp1_ci_low	0.003482923
R_tp1_ci_med	0.00693696
R_tp1_ci_up	0.1587491
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.06838711
thetaR_max_ci_low	0.002801609
thetaR_max_ci_med	0.007431787
thetaR_max_ci_up	0.7176944
cumInf_mean	0.08570943
cumInf_ci_low	0.002811752
cumInf_ci_med	0.007556533
cumInf_ci_up	0.8180972
dthetaI_tp1_date	06/24/21
first_tp_mean	04/18/21
first_tp_ci_low	02/08/21
first_tp_ci_med	03/16/21
first_tp_ci_up	08/26/21
dthetaI_tp2_date	06/24/21
second_tp_mean	04/22/21
second_tp_ci_low	02/10/21
second_tp_ci_med	03/17/21
second_tp_ci_up	08/26/21
end_p_mean	06/05/21
end_p_ci_low	03/30/21
end_p_ci_med	05/04/21
end_p_ci_up	08/26/21
begin_str	02/08/2021
