stat	value
thetaS_last_obs_p_mean	0.9962738
thetaI_last_obs_p_mean	5.476975e-05
thetaR_last_obs_p_mean	0.003671477
thetaS_last_obs_p_ci_low	0.9960368
thetaS_last_obs_p_ci_med	0.9962749
thetaS_last_obs_p_ci_up	0.9965054
thetaI_last_obs_p_ci_low	2.853351e-05
thetaI_last_obs_p_ci_med	5.389948e-05
thetaI_last_obs_p_ci_up	8.60815e-05
thetaR_last_obs_p_ci_low	0.00344193
thetaR_last_obs_p_ci_med	0.003670369
thetaR_last_obs_p_ci_up	0.003907064
R0_p_mean	2.017293
R0_p_ci_low	0.8272799
R0_p_ci_med	1.852013
R0_p_ci_up	4.156379
gamma_p_mean	0.06806286
gamma_p_ci_low	0.00872234
gamma_p_ci_med	0.05040348
gamma_p_ci_up	0.2338551
beta_p_mean	0.1237183
beta_p_ci_low	0.0133573
beta_p_ci_med	0.1009391
beta_p_ci_up	0.3587244
incidence_mean	0.2762715
incidence_ci_low	2.443514e-05
incidence_ci_median	0.009449844
incidence_ci_up	0.9592061
thetaI_tp1_mean	0.01567023
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.000271715
thetaI_tp1_ci_up	0.1818289
thetaR_tp1_mean	0.02509844
thetaR_tp1_ci_low	0.002170404
thetaR_tp1_ci_med	0.004527353
thetaR_tp1_ci_up	0.2717995
Y_tp1_mean	0.0156691
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0002719477
Y_tp1_ci_up	0.1815972
R_tp1_mean	0.02509878
R_tp1_ci_low	0.002153299
R_tp1_ci_med	0.004530902
R_tp1_ci_up	0.2717977
thetaI_tp2_mean	0.03800691
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0.0008808838
thetaI_tp2_ci_up	0.2769709
thetaR_tp2_mean	0.1616076
thetaR_tp2_ci_low	0.001656338
thetaR_tp2_ci_med	0.006493368
thetaR_tp2_ci_up	0.8816711
Y_tp2_mean	0.03800593
Y_tp2_ci_low	0
Y_tp2_ci_med	0.0008806564
Y_tp2_ci_up	0.2770672
R_tp2_mean	0.1616059
R_tp2_ci_low	0.001647287
R_tp2_ci_med	0.00650052
R_tp2_ci_up	0.8815732
thetaR_max_mean	0.2457055
thetaR_max_ci_low	0.001361438
thetaR_max_ci_med	0.009523469
thetaR_max_ci_up	0.9357676
cumInf_mean	0.2791409
cumInf_ci_low	0.001367154
cumInf_ci_med	0.01320666
cumInf_ci_up	0.9629203
dthetaI_tp1_date	05/22/21
first_tp_mean	05/23/21
first_tp_ci_low	02/25/21
first_tp_ci_med	05/20/21
first_tp_ci_up	08/30/21
dthetaI_tp2_date	07/19/21
second_tp_mean	06/02/21
second_tp_ci_low	02/26/21
second_tp_ci_med	06/06/21
second_tp_ci_up	08/30/21
end_p_mean	07/10/21
end_p_ci_low	04/05/21
end_p_ci_med	08/30/21
end_p_ci_up	08/30/21
begin_str	02/12/2021
