stat	value
thetaS_last_obs_p_mean	0.97528
thetaI_last_obs_p_mean	0.003101071
thetaR_last_obs_p_mean	0.02161895
thetaS_last_obs_p_ci_low	0.9746447
thetaS_last_obs_p_ci_med	0.9752804
thetaS_last_obs_p_ci_up	0.9759093
thetaI_last_obs_p_ci_low	0.002876163
thetaI_last_obs_p_ci_med	0.003099993
thetaI_last_obs_p_ci_up	0.003333756
thetaR_last_obs_p_ci_low	0.02103587
thetaR_last_obs_p_ci_med	0.02161744
thetaR_last_obs_p_ci_up	0.02220912
R0_p_mean	2.157121
R0_p_ci_low	1.437489
R0_p_ci_med	2.014706
R0_p_ci_up	3.702079
gamma_p_mean	0.0582319
gamma_p_ci_low	0.01968598
gamma_p_ci_med	0.0545888
gamma_p_ci_up	0.1172405
beta_p_mean	0.1139041
beta_p_ci_low	0.06373301
beta_p_ci_med	0.1112136
beta_p_ci_up	0.1788597
incidence_mean	0.2853881
incidence_ci_low	0.05518451
incidence_ci_median	0.2584785
incidence_ci_up	0.6488606
thetaI_tp1_mean	0.04226619
thetaI_tp1_ci_low	0.003597808
thetaI_tp1_ci_med	0.03156975
thetaI_tp1_ci_up	0.1416956
thetaR_tp1_mean	0.1047267
thetaR_tp1_ci_low	0.04318899
thetaR_tp1_ci_med	0.09535511
thetaR_tp1_ci_up	0.2192287
Y_tp1_mean	0.04226443
Y_tp1_ci_low	0.003587881
Y_tp1_ci_med	0.03156558
Y_tp1_ci_up	0.1416311
R_tp1_mean	0.1047256
R_tp1_ci_low	0.04319122
R_tp1_ci_med	0.09540189
R_tp1_ci_up	0.2192197
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.2344555
thetaR_max_ci_low	0.06427367
thetaR_max_ci_med	0.2141191
thetaR_max_ci_up	0.5075364
cumInf_mean	0.3028737
cumInf_ci_low	0.07238272
cumInf_ci_med	0.2758068
cumInf_ci_up	0.6660955
dthetaI_tp1_date	07/12/21
first_tp_mean	06/16/21
first_tp_ci_low	03/21/21
first_tp_ci_med	07/07/21
first_tp_ci_up	09/01/21
dthetaI_tp2_date	07/12/21
second_tp_mean	07/10/21
second_tp_ci_low	03/23/21
second_tp_ci_med	08/02/21
second_tp_ci_up	09/01/21
end_p_mean	08/31/21
end_p_ci_low	09/01/21
end_p_ci_med	09/01/21
end_p_ci_up	09/01/21
begin_str	02/14/2021
