date	value	lower_ci	upper_ci	incidence	scenario
2021-04-01	341078	310683	373556	NA	Normal (pre-intervention)
2021-04-02	341327	306342	379186	249	Normal (pre-intervention)
2021-04-03	341626	302651	384059	299	Normal (pre-intervention)
2021-04-04	341915	299617	388788	289	Normal (pre-intervention)
2021-04-05	342228	296370	393520	313	Normal (pre-intervention)
2021-04-06	342622	293796	398171	394	Normal (pre-intervention)
2021-04-07	343020	291452	402440	398	Normal (pre-intervention)
2021-04-08	343422	288924	406779	402	Normal (pre-intervention)
2021-04-09	343916	286833	411780	494	Normal (pre-intervention)
2021-04-10	344471	284664	416658	555	Normal (pre-intervention)
2021-04-11	345095	282771	421807	624	Normal (pre-intervention)
2021-04-12	345744	280765	427360	649	Normal (pre-intervention)
2021-04-13	346519	278947	433100	775	Normal (pre-intervention)
2021-04-14	347406	277182	439737	887	Normal (pre-intervention)
2021-04-15	348410	275503	446927	1004	Normal (pre-intervention)
2021-04-16	349536	273775	455095	1126	Normal (pre-intervention)
2021-04-17	350863	272275	463706	1327	Normal (pre-intervention)
2021-04-18	352360	270912	473655	1497	Normal (pre-intervention)
2021-04-19	354093	269452	485220	1733	Normal (pre-intervention)
2021-04-20	356101	268229	498234	2008	Normal (pre-intervention)
2021-04-21	358408	267005	512931	2307	Normal (pre-intervention)
2021-04-22	361120	265409	529843	2712	Normal (pre-intervention)
2021-04-23	364272	264515	548923	3152	Normal (pre-intervention)
2021-04-24	367958	263107	571645	3686	Normal (pre-intervention)
2021-04-25	372253	262003	598475	4295	Normal (pre-intervention)
2021-04-26	377257	260811	628424	5004	Normal (pre-intervention)
2021-04-27	383111	259963	665138	5854	Normal (pre-intervention)
2021-04-28	389876	258981	708113	6765	Normal (pre-intervention)
2021-04-29	397718	257627	761301	7842	Normal (pre-intervention)
2021-04-30	406722	256416	820567	9004	Normal (pre-intervention)
2021-05-01	417089	255266	893554	10367	Normal (pre-intervention)
2021-05-02	428908	254516	977981	11819	Normal (pre-intervention)
2021-05-03	442310	253491	1076789	13402	Normal (pre-intervention)
2021-05-04	457458	252682	1190033	15148	Normal (pre-intervention)
2021-05-05	474486	251954	1322469	17028	Normal (pre-intervention)
2021-05-06	493524	250857	1473589	19038	Normal (pre-intervention)
2021-05-07	514697	249804	1650311	21173	Normal (pre-intervention)
2021-05-08	538154	248663	1849489	23457	Normal (pre-intervention)
2021-05-09	563945	248137	2077375	25791	Normal (pre-intervention)
2021-05-10	592155	247385	2339770	28210	Normal (pre-intervention)
2021-05-11	622922	246267	2641048	30767	Normal (pre-intervention)
2021-05-12	656242	245291	2985532	33320	Normal (pre-intervention)
2021-05-13	692227	244918	3370303	35985	Normal (pre-intervention)
2021-05-14	730858	243679	3802564	38631	Normal (pre-intervention)
2021-05-15	772265	243218	4294205	41407	Normal (pre-intervention)
2021-05-16	816391	242544	4823996	44126	Normal (pre-intervention)
2021-05-17	863273	241575	5418724	46882	Normal (pre-intervention)
2021-05-18	912836	240942	6060473	49563	Normal (pre-intervention)
2021-05-19	965120	240110	6756646	52284	Normal (pre-intervention)
2021-05-20	1020066	239461	7502433	54946	Normal (pre-intervention)
2021-05-21	1077667	238912	8292668	57601	Normal (pre-intervention)
2021-05-22	1137837	238220	9153562	60170	Normal (pre-intervention)
2021-05-23	1200571	237630	10108746	62734	Normal (pre-intervention)
2021-05-24	1265778	236671	11035627	65207	Normal (pre-intervention)
2021-05-25	1333370	235835	12004895	67592	Normal (pre-intervention)
2021-05-26	1403260	235082	13027797	69890	Normal (pre-intervention)
2021-05-27	1475396	234212	14080445	72136	Normal (pre-intervention)
2021-05-28	1549615	233882	15184957	74219	Normal (pre-intervention)
2021-05-29	1625891	232965	16276285	76276	Normal (pre-intervention)
2021-05-30	1704138	232003	17408326	78247	Normal (pre-intervention)
2021-05-31	1784243	231487	18569139	80105	Normal (pre-intervention)
2021-06-01	1866089	230767	19735190	81846	Normal (pre-intervention)
2021-06-02	1949580	230168	20861733	83491	Normal (pre-intervention)
2021-06-03	2034686	229782	22016506	85106	Normal (pre-intervention)
2021-06-04	2121279	229040	23107629	86593	Normal (pre-intervention)
2021-06-05	2209250	228366	24229452	87971	Normal (pre-intervention)
2021-06-06	2298585	227554	25273456	89335	Normal (pre-intervention)
2021-06-07	2389105	226741	26306492	90520	Normal (pre-intervention)
2021-06-08	2480822	226162	27360324	91717	Normal (pre-intervention)
2021-06-09	2573593	225428	28352167	92771	Normal (pre-intervention)
2021-06-10	2667309	224929	29318600	93716	Normal (pre-intervention)
2021-06-11	2761894	223889	30229338	94585	Normal (pre-intervention)
2021-06-12	2857345	222603	31129158	95451	Normal (pre-intervention)
2021-06-13	2953535	222486	32042525	96190	Normal (pre-intervention)
2021-06-14	3050401	221864	32887901	96866	Normal (pre-intervention)
2021-06-15	3147844	221458	33697900	97443	Normal (pre-intervention)
2021-06-16	3245757	220690	34410900	97913	Normal (pre-intervention)
2021-06-17	3344055	220019	35109052	98298	Normal (pre-intervention)
2021-06-18	3442729	219485	35760215	98674	Normal (pre-intervention)
2021-06-19	3541558	218905	36402138	98829	Normal (pre-intervention)
2021-06-20	3640769	218601	37030434	99211	Normal (pre-intervention)
2021-06-21	3740069	217902	37587756	99300	Normal (pre-intervention)
2021-06-22	3839493	217256	38147775	99424	Normal (pre-intervention)
2021-06-23	3938961	216495	38669299	99468	Normal (pre-intervention)
2021-06-24	4038488	216311	39180611	99527	Normal (pre-intervention)
2021-06-25	4137879	215256	39644398	99391	Normal (pre-intervention)
2021-06-26	4237221	214631	40068877	99342	Normal (pre-intervention)
2021-06-27	4336554	214277	40538502	99333	Normal (pre-intervention)
2021-06-28	4435643	213893	40950868	99089	Normal (pre-intervention)
2021-06-29	4534492	213036	41331360	98849	Normal (pre-intervention)
2021-06-30	4633097	212388	41693522	98605	Normal (pre-intervention)
2021-07-01	4731397	211954	42026031	98300	Normal (pre-intervention)
2021-07-02	4829301	211503	42340156	97904	Normal (pre-intervention)
2021-07-03	4926771	211005	42656194	97470	Normal (pre-intervention)
2021-07-04	5023843	210271	42959887	97072	Normal (pre-intervention)
2021-07-05	5120639	210193	43243319	96796	Normal (pre-intervention)
2021-07-06	5216822	209388	43531287	96183	Normal (pre-intervention)
2021-07-07	5312540	208985	43781653	95718	Normal (pre-intervention)
2021-07-08	5407697	208736	44045931	95157	Normal (pre-intervention)
2021-07-09	5502271	207484	44292649	94574	Normal (pre-intervention)
2021-07-10	5596385	206841	44518836	94114	Normal (pre-intervention)
2021-07-11	5689830	206050	44706058	93445	Normal (pre-intervention)
2021-07-12	5782763	205886	44903239	92933	Normal (pre-intervention)
2021-07-13	5875021	205326	45069518	92258	Normal (pre-intervention)
2021-07-14	5966752	204814	45303396	91731	Normal (pre-intervention)
2021-07-15	6057717	204062	45511472	90965	Normal (pre-intervention)
2021-07-16	6148016	203787	45671795	90299	Normal (pre-intervention)
2021-07-17	6237764	203032	45823394	89748	Normal (pre-intervention)
2021-07-18	6326782	202780	45979487	89018	Normal (pre-intervention)
2021-07-19	6415106	202618	46115563	88324	Normal (pre-intervention)
2021-07-20	6502699	201601	46270569	87593	Normal (pre-intervention)
2021-07-21	6589526	201551	46393495	86827	Normal (pre-intervention)
2021-07-22	6675530	200567	46547460	86004	Normal (pre-intervention)
2021-07-23	6760948	199744	46682256	85418	Normal (pre-intervention)
2021-07-24	6845638	199683	46799631	84690	Normal (pre-intervention)
2021-07-25	6929597	198544	46895050	83959	Normal (pre-intervention)
