date	value	lower_ci	upper_ci	incidence	scenario
2021-04-03	905860	849685	964830	NA	Cautious return
2021-04-04	906720	842244	975232	860	Cautious return
2021-04-05	907513	835388	983989	793	Cautious return
2021-04-06	908408	829395	992335	895	Cautious return
2021-04-07	909301	824239	1001047	893	Cautious return
2021-04-08	910219	819694	1008748	918	Cautious return
2021-04-09	911159	815267	1016276	940	Cautious return
2021-04-10	912147	810692	1023634	988	Cautious return
2021-04-11	913117	806686	1030816	970	Cautious return
2021-04-12	914098	803335	1038427	981	Cautious return
2021-04-13	915136	799402	1044813	1038	Cautious return
2021-04-14	916148	796039	1051705	1012	Cautious return
2021-04-15	917273	793375	1058372	1125	Cautious return
2021-04-16	918432	789453	1065459	1159	Cautious return
2021-04-17	919533	786979	1072670	1101	Cautious return
2021-04-18	920698	784383	1079590	1165	Cautious return
2021-04-19	921958	781167	1087284	1260	Cautious return
2021-04-20	923236	778713	1094916	1278	Cautious return
2021-04-21	924587	776481	1102273	1351	Cautious return
2021-04-22	925883	773553	1109881	1296	Cautious return
2021-04-23	927260	772148	1117822	1377	Cautious return
2021-04-24	928739	769535	1125722	1479	Cautious return
2021-04-25	930190	767418	1134111	1451	Cautious return
2021-04-26	931768	765445	1142897	1578	Cautious return
2021-04-27	933422	763572	1151633	1654	Cautious return
2021-04-28	935049	761237	1160724	1627	Cautious return
2021-04-29	936746	759376	1170657	1697	Cautious return
2021-04-30	938470	756836	1179132	1724	Cautious return
2021-05-01	940321	755259	1190295	1851	Cautious return
2021-05-02	942300	753053	1201690	1979	Cautious return
2021-05-03	944307	751193	1212908	2007	Cautious return
2021-05-04	946403	749224	1223946	2096	Cautious return
2021-05-05	948539	747765	1236832	2136	Cautious return
2021-05-06	950883	746774	1249690	2344	Cautious return
2021-05-07	953338	744683	1263787	2455	Cautious return
2021-05-08	955919	743531	1278012	2581	Cautious return
2021-05-09	958583	742213	1293639	2664	Cautious return
2021-05-10	961354	740063	1308824	2771	Cautious return
2021-05-11	964221	738514	1325895	2867	Cautious return
2021-05-12	967283	737612	1345026	3062	Cautious return
2021-05-13	970544	735348	1362744	3261	Cautious return
2021-05-14	973900	734160	1383831	3356	Cautious return
2021-05-15	977460	733035	1404899	3560	Cautious return
2021-05-16	981193	731508	1427672	3733	Cautious return
2021-05-17	985104	730413	1451087	3911	Cautious return
2021-05-18	989254	729376	1477525	4150	Cautious return
2021-05-19	993610	727553	1504235	4356	Cautious return
2021-05-20	998203	725308	1535409	4593	Cautious return
2021-05-21	1002999	724088	1564897	4796	Cautious return
2021-05-22	1008152	723714	1597497	5153	Cautious return
2021-05-23	1013560	722192	1636083	5408	Cautious return
2021-05-24	1019232	720929	1671783	5672	Cautious return
2021-05-25	1025175	719331	1715095	5943	Cautious return
2021-05-26	1031393	718500	1758841	6218	Cautious return
2021-05-27	1037987	716733	1806398	6594	Cautious return
2021-05-28	1044947	715510	1854522	6960	Cautious return
2021-05-29	1052371	714186	1909770	7424	Cautious return
2021-05-30	1060151	713564	1963515	7780	Cautious return
2021-05-31	1068330	711592	2025176	8179	Cautious return
2021-06-01	1076939	710597	2090476	8609	Cautious return
2021-06-02	1085922	709502	2158404	8983	Cautious return
2021-06-03	1095390	708849	2232964	9468	Cautious return
2021-06-04	1105355	707942	2308130	9965	Cautious return
2021-06-05	1115705	706710	2394433	10350	Cautious return
2021-06-06	1126664	705119	2483277	10959	Cautious return
2021-06-07	1138063	704381	2569885	11399	Cautious return
2021-06-08	1150000	703802	2673670	11937	Cautious return
2021-06-09	1162507	702118	2770819	12507	Cautious return
2021-06-10	1175654	700942	2882097	13147	Cautious return
2021-06-11	1189354	699986	3000995	13700	Cautious return
2021-06-12	1203679	699526	3126010	14325	Cautious return
2021-06-13	1218622	698488	3258882	14943	Cautious return
2021-06-14	1234181	697004	3393099	15559	Cautious return
2021-06-15	1250382	696070	3534548	16201	Cautious return
2021-06-16	1267196	695542	3690159	16814	Cautious return
2021-06-17	1284746	694236	3848695	17550	Cautious return
2021-06-18	1302979	693701	4017392	18233	Cautious return
2021-06-19	1321858	692393	4185772	18879	Cautious return
2021-06-20	1341384	691182	4375857	19526	Cautious return
2021-06-21	1361693	691043	4568881	20309	Cautious return
2021-06-22	1382789	689701	4778505	21096	Cautious return
2021-06-23	1404500	688607	4990427	21711	Cautious return
2021-06-24	1426909	688107	5221123	22409	Cautious return
2021-06-25	1450075	686275	5452299	23166	Cautious return
