date	value	lower_ci	upper_ci	incidence	scenario
2021-04-07	259574	232483	288048	NA	Soc. Dist. + Travel Ban
2021-04-08	261579	229917	295359	2005	Soc. Dist. + Travel Ban
2021-04-09	263620	227861	302073	2041	Soc. Dist. + Travel Ban
2021-04-10	265677	226022	308771	2057	Soc. Dist. + Travel Ban
2021-04-11	267777	224570	315256	2100	Soc. Dist. + Travel Ban
2021-04-12	269890	223066	321444	2113	Soc. Dist. + Travel Ban
2021-04-13	272032	222022	328106	2142	Soc. Dist. + Travel Ban
2021-04-14	274229	220841	334440	2197	Soc. Dist. + Travel Ban
2021-04-15	276436	219702	340825	2207	Soc. Dist. + Travel Ban
2021-04-16	278674	218837	347284	2238	Soc. Dist. + Travel Ban
2021-04-17	280905	217837	353633	2231	Soc. Dist. + Travel Ban
2021-04-18	283206	217090	360347	2301	Soc. Dist. + Travel Ban
2021-04-19	285517	216603	366753	2311	Soc. Dist. + Travel Ban
2021-04-20	287873	215817	373628	2356	Soc. Dist. + Travel Ban
2021-04-21	290283	215392	380252	2410	Soc. Dist. + Travel Ban
2021-04-22	292692	214891	387032	2409	Soc. Dist. + Travel Ban
2021-04-23	295148	214269	394062	2456	Soc. Dist. + Travel Ban
2021-04-24	297647	214004	401340	2499	Soc. Dist. + Travel Ban
2021-04-25	300186	213603	408469	2539	Soc. Dist. + Travel Ban
2021-04-26	302775	213120	415364	2589	Soc. Dist. + Travel Ban
2021-04-27	305380	212802	422889	2605	Soc. Dist. + Travel Ban
2021-04-28	308016	212622	430668	2636	Soc. Dist. + Travel Ban
2021-04-29	310702	212238	438334	2686	Soc. Dist. + Travel Ban
2021-04-30	313446	211892	446075	2744	Soc. Dist. + Travel Ban
2021-05-01	316223	211429	454177	2777	Soc. Dist. + Travel Ban
2021-05-02	319054	211400	462585	2831	Soc. Dist. + Travel Ban
2021-05-03	321936	211151	470776	2882	Soc. Dist. + Travel Ban
2021-05-04	324873	211169	479773	2937	Soc. Dist. + Travel Ban
2021-05-05	327845	211026	488427	2972	Soc. Dist. + Travel Ban
2021-05-06	330857	210945	497511	3012	Soc. Dist. + Travel Ban
2021-05-07	333913	210594	506852	3056	Soc. Dist. + Travel Ban
2021-05-08	337053	210664	516023	3140	Soc. Dist. + Travel Ban
2021-05-09	340272	210396	526175	3219	Soc. Dist. + Travel Ban
2021-05-10	343532	210803	536834	3260	Soc. Dist. + Travel Ban
2021-05-11	346862	210739	547372	3330	Soc. Dist. + Travel Ban
