stat	value
thetaS_last_obs_p_mean	0.9959776
thetaI_last_obs_p_mean	0.000271591
thetaR_last_obs_p_mean	0.003750781
thetaS_last_obs_p_ci_low	0.9957267
thetaS_last_obs_p_ci_med	0.9959784
thetaS_last_obs_p_ci_up	0.9962234
thetaI_last_obs_p_ci_low	0.0002064401
thetaI_last_obs_p_ci_med	0.0002708298
thetaI_last_obs_p_ci_up	0.0003411909
thetaR_last_obs_p_ci_low	0.003515063
thetaR_last_obs_p_ci_med	0.003749794
thetaR_last_obs_p_ci_up	0.003992283
R0_p_mean	2.4447
R0_p_ci_low	1.220107
R0_p_ci_med	2.260897
R0_p_ci_up	4.711451
gamma_p_mean	0.08742886
gamma_p_ci_low	0.01639252
gamma_p_ci_med	0.07228446
gamma_p_ci_up	0.2477648
beta_p_mean	0.1873519
beta_p_ci_low	0.03427588
beta_p_ci_med	0.1789373
beta_p_ci_up	0.3974233
incidence_mean	0.4089522
incidence_ci_low	0.0004656924
incidence_ci_median	0.4104478
incidence_ci_up	0.9379463
thetaI_tp1_mean	0.03034363
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.006702718
thetaI_tp1_ci_up	0.2064041
thetaR_tp1_mean	0.04445094
thetaR_tp1_ci_low	0.003081532
thetaR_tp1_ci_med	0.01396828
thetaR_tp1_ci_up	0.2960899
Y_tp1_mean	0.03034406
Y_tp1_ci_low	0
Y_tp1_ci_med	0.006701513
Y_tp1_ci_up	0.2066343
R_tp1_mean	0.04445103
R_tp1_ci_low	0.003069399
R_tp1_ci_med	0.0139677
R_tp1_ci_up	0.2961741
thetaI_tp2_mean	0.0611536
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0.02887303
thetaI_tp2_ci_up	0.2769036
thetaR_tp2_mean	0.2116327
thetaR_tp2_ci_low	0.003108655
thetaR_tp2_ci_med	0.08639633
thetaR_tp2_ci_up	0.7942864
Y_tp2_mean	0.06115384
Y_tp2_ci_low	0
Y_tp2_ci_med	0.0288694
Y_tp2_ci_up	0.2767972
R_tp2_mean	0.2116332
R_tp2_ci_low	0.003097151
R_tp2_ci_med	0.08641044
R_tp2_ci_up	0.7944381
thetaR_max_mean	0.3637811
thetaR_max_ci_low	0.003064764
thetaR_max_ci_med	0.3242053
thetaR_max_ci_up	0.9006104
cumInf_mean	0.4114278
cumInf_ci_low	0.00316996
cumInf_ci_med	0.4113041
cumInf_ci_up	0.9408825
dthetaI_tp1_date	06/12/21
first_tp_mean	07/02/21
first_tp_ci_low	04/02/21
first_tp_ci_med	07/06/21
first_tp_ci_up	09/10/21
dthetaI_tp2_date	07/27/21
second_tp_mean	07/18/21
second_tp_ci_low	04/05/21
second_tp_ci_med	08/01/21
second_tp_ci_up	09/10/21
end_p_mean	09/03/21
end_p_ci_low	05/27/21
end_p_ci_med	09/10/21
end_p_ci_up	09/10/21
begin_str	02/23/2021
