date	value	lower_ci	upper_ci	incidence	scenario
2021-04-10	347370	314790	382055	NA	Moderate return
2021-04-11	348032	310833	388322	662	Moderate return
2021-04-12	348719	306988	394144	687	Moderate return
2021-04-13	349419	303736	399758	700	Moderate return
2021-04-14	350155	300800	405249	736	Moderate return
2021-04-15	350959	298157	410429	804	Moderate return
2021-04-16	351776	295866	415782	817	Moderate return
2021-04-17	352662	293419	421349	886	Moderate return
2021-04-18	353572	291315	426854	910	Moderate return
2021-04-19	354535	289009	432268	963	Moderate return
2021-04-20	355578	287327	438225	1043	Moderate return
2021-04-21	356661	285472	444008	1083	Moderate return
2021-04-22	357794	283775	450702	1133	Moderate return
2021-04-23	359047	282412	457274	1253	Moderate return
2021-04-24	360373	280945	464858	1326	Moderate return
2021-04-25	361790	279286	472268	1417	Moderate return
2021-04-26	363283	278107	480359	1493	Moderate return
2021-04-27	364878	276745	488271	1595	Moderate return
2021-04-28	366627	275414	498177	1749	Moderate return
2021-04-29	368492	274313	508215	1865	Moderate return
2021-04-30	370453	273099	519255	1961	Moderate return
2021-05-01	372616	271973	531134	2163	Moderate return
2021-05-02	374938	271059	544876	2322	Moderate return
2021-05-03	377437	269835	559412	2499	Moderate return
2021-05-04	380158	268889	575332	2721	Moderate return
2021-05-05	383114	268339	592451	2956	Moderate return
2021-05-06	386309	267322	612686	3195	Moderate return
2021-05-07	389795	266536	633926	3486	Moderate return
2021-05-08	393593	265644	656490	3798	Moderate return
2021-05-09	397679	264664	682770	4086	Moderate return
2021-05-10	402163	263737	712869	4484	Moderate return
2021-05-11	407031	263261	744910	4868	Moderate return
2021-05-12	412378	262464	782352	5347	Moderate return
2021-05-13	418192	261220	821577	5814	Moderate return
2021-05-14	424523	260716	866650	6331	Moderate return
2021-05-15	431447	259551	916894	6924	Moderate return
2021-05-16	439001	259251	971507	7554	Moderate return
2021-05-17	447246	258333	1031216	8245	Moderate return
2021-05-18	456192	257824	1099653	8946	Moderate return
2021-05-19	465964	257160	1169923	9772	Moderate return
2021-05-20	476605	256220	1252181	10641	Moderate return
2021-05-21	488158	255765	1338422	11553	Moderate return
2021-05-22	500665	255154	1439213	12507	Moderate return
2021-05-23	514200	254650	1546462	13535	Moderate return
2021-05-24	528878	254105	1665944	14678	Moderate return
2021-05-25	544732	253257	1795982	15854	Moderate return
2021-05-26	561791	252648	1938422	17059	Moderate return
2021-05-27	580163	252087	2096837	18372	Moderate return
2021-05-28	599899	251491	2265594	19736	Moderate return
2021-05-29	621014	250782	2450399	21115	Moderate return
2021-05-30	643627	250351	2655728	22613	Moderate return
2021-05-31	667701	249458	2880503	24074	Moderate return
2021-06-01	693388	249342	3117354	25687	Moderate return
2021-06-02	720711	248410	3378098	27323	Moderate return
2021-06-03	749706	247673	3660436	28995	Moderate return
2021-06-04	780301	246919	3960471	30595	Moderate return
2021-06-05	812650	246826	4289838	32349	Moderate return
2021-06-06	846739	245825	4633330	34089	Moderate return
2021-06-07	882614	245319	5018345	35875	Moderate return
2021-06-08	920260	244645	5418537	37646	Moderate return
2021-06-09	959727	244393	5847156	39467	Moderate return
2021-06-10	1001071	243716	6309256	41344	Moderate return
2021-06-11	1044205	242822	6789714	43134	Moderate return
2021-06-12	1089138	242243	7297597	44933	Moderate return
2021-06-13	1135868	241931	7814426	46730	Moderate return
2021-06-14	1184428	241615	8365192	48560	Moderate return
2021-06-15	1234699	241033	8946854	50271	Moderate return
2021-06-16	1286784	240546	9545830	52085	Moderate return
2021-06-17	1340602	240214	10183604	53818	Moderate return
2021-06-18	1396169	239380	10819276	55567	Moderate return
2021-06-19	1453436	238919	11496277	57267	Moderate return
2021-06-20	1512274	238614	12192002	58838	Moderate return
2021-06-21	1572814	237577	12883637	60540	Moderate return
2021-06-22	1634925	237414	13576874	62111	Moderate return
2021-06-23	1698623	237027	14317732	63698	Moderate return
2021-06-24	1763740	236324	15082744	65117	Moderate return
2021-06-25	1830348	235717	15794533	66608	Moderate return
2021-06-26	1898309	235038	16554167	67961	Moderate return
2021-06-27	1967626	234387	17323720	69317	Moderate return
2021-06-28	2038171	234664	18042108	70545	Moderate return
2021-06-29	2110074	233995	18812993	71903	Moderate return
2021-06-30	2183145	233297	19565721	73071	Moderate return
2021-07-01	2257494	233177	20313000	74349	Moderate return
2021-07-02	2332914	232698	21062383	75420	Moderate return
2021-07-03	2409311	231690	21831412	76397	Moderate return
2021-07-04	2486723	231612	22547595	77412	Moderate return
2021-07-05	2565117	231301	23262345	78394	Moderate return
2021-07-06	2644353	230608	23982383	79236	Moderate return
2021-07-07	2724521	230440	24691583	80168	Moderate return
2021-07-08	2805446	229498	25371223	80925	Moderate return
2021-07-09	2887133	229304	26046017	81687	Moderate return
2021-07-10	2969502	228854	26705233	82369	Moderate return
2021-07-11	3052554	228245	27351522	83052	Moderate return
2021-07-12	3136166	228041	27990841	83612	Moderate return
2021-07-13	3220315	227166	28614853	84149	Moderate return
2021-07-14	3305116	226513	29236963	84801	Moderate return
2021-07-15	3390290	226575	29799151	85174	Moderate return
2021-07-16	3475999	226158	30390489	85709	Moderate return
2021-07-17	3562035	225828	30961883	86036	Moderate return
2021-07-18	3648392	225165	31474571	86357	Moderate return
2021-07-19	3734997	224753	31979231	86605	Moderate return
2021-07-20	3821959	224352	32471683	86962	Moderate return
2021-07-21	3909195	222920	32978237	87236	Moderate return
2021-07-22	3996627	222838	33451060	87432	Moderate return
2021-07-23	4084256	222185	33898255	87629	Moderate return
2021-07-24	4171977	222085	34311890	87721	Moderate return
2021-07-25	4259825	221396	34746546	87848	Moderate return
2021-07-26	4347723	221494	35134820	87898	Moderate return
2021-07-27	4435676	220811	35512466	87953	Moderate return
