stat	value
thetaS_last_obs_p_mean	0.9908425
thetaI_last_obs_p_mean	0.0004083656
thetaR_last_obs_p_mean	0.008749145
thetaS_last_obs_p_ci_low	0.9904612
thetaS_last_obs_p_ci_med	0.9908439
thetaS_last_obs_p_ci_up	0.9912162
thetaI_last_obs_p_ci_low	0.0003270539
thetaI_last_obs_p_ci_med	0.0004075558
thetaI_last_obs_p_ci_up	0.000494105
thetaR_last_obs_p_ci_low	0.008384399
thetaR_last_obs_p_ci_med	0.008748226
thetaR_last_obs_p_ci_up	0.009120291
R0_p_mean	2.318246
R0_p_ci_low	1.199818
R0_p_ci_med	2.142869
R0_p_ci_up	4.446225
gamma_p_mean	0.07562062
gamma_p_ci_low	0.01472285
gamma_p_ci_med	0.06141233
gamma_p_ci_up	0.2200933
beta_p_mean	0.1521841
beta_p_ci_low	0.0317365
beta_p_ci_med	0.1432881
beta_p_ci_up	0.3295245
incidence_mean	0.1015026
incidence_ci_low	0.0005904844
incidence_ci_median	0.01797044
incidence_ci_up	0.6681548
thetaI_tp1_mean	0.01509304
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.001948336
thetaI_tp1_ci_up	0.1275237
thetaR_tp1_mean	0.03513801
thetaR_tp1_ci_low	0.006693048
thetaR_tp1_ci_med	0.01605947
thetaR_tp1_ci_up	0.2031831
Y_tp1_mean	0.01509259
Y_tp1_ci_low	0
Y_tp1_ci_med	0.001946675
Y_tp1_ci_up	0.1275317
R_tp1_mean	0.03513787
R_tp1_ci_low	0.006675403
R_tp1_ci_med	0.01606085
R_tp1_ci_up	0.2032964
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.08247015
thetaR_max_ci_low	0.006358896
thetaR_max_ci_med	0.02252222
thetaR_max_ci_up	0.5314507
cumInf_mean	0.1092493
cumInf_ci_low	0.006464053
cumInf_ci_med	0.02658096
cumInf_ci_up	0.6744613
dthetaI_tp1_date	07/30/21
first_tp_mean	06/11/21
first_tp_ci_low	04/03/21
first_tp_ci_med	04/09/21
first_tp_ci_up	09/11/21
dthetaI_tp2_date	07/30/21
second_tp_mean	06/19/21
second_tp_ci_low	04/04/21
second_tp_ci_med	06/10/21
second_tp_ci_up	09/11/21
end_p_mean	08/26/21
end_p_ci_low	05/20/21
end_p_ci_med	09/11/21
end_p_ci_up	09/11/21
begin_str	02/24/2021
