stat	value
thetaS_last_obs_p_mean	0.9971563
thetaI_last_obs_p_mean	0.0002262687
thetaR_last_obs_p_mean	0.002617409
thetaS_last_obs_p_ci_low	0.9969448
thetaS_last_obs_p_ci_med	0.9971574
thetaS_last_obs_p_ci_up	0.997362
thetaI_last_obs_p_ci_low	0.0001647171
thetaI_last_obs_p_ci_med	0.0002254949
thetaI_last_obs_p_ci_up	0.0002926343
thetaR_last_obs_p_ci_low	0.002422449
thetaR_last_obs_p_ci_med	0.002616609
thetaR_last_obs_p_ci_up	0.002817151
R0_p_mean	2.64985
R0_p_ci_low	1.331882
R0_p_ci_med	2.451165
R0_p_ci_up	5.103413
gamma_p_mean	0.1069741
gamma_p_ci_low	0.02167771
gamma_p_ci_med	0.0899431
gamma_p_ci_up	0.2907929
beta_p_mean	0.2476376
beta_p_ci_low	0.05119114
beta_p_ci_med	0.2399724
beta_p_ci_up	0.4939874
incidence_mean	0.317903
incidence_ci_low	0.0003772358
incidence_ci_median	0.2073949
incidence_ci_up	0.9111558
thetaI_tp1_mean	0.02206835
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.003328515
thetaI_tp1_ci_up	0.173993
thetaR_tp1_mean	0.03488955
thetaR_tp1_ci_low	0.002085936
thetaR_tp1_ci_med	0.01008696
thetaR_tp1_ci_up	0.2498635
Y_tp1_mean	0.02206918
Y_tp1_ci_low	0
Y_tp1_ci_med	0.003333007
Y_tp1_ci_up	0.1739199
R_tp1_mean	0.0348906
R_tp1_ci_low	0.002070052
R_tp1_ci_med	0.0100804
R_tp1_ci_up	0.2498051
thetaI_tp2_mean	0.04410548
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0.01432384
thetaI_tp2_ci_up	0.2282653
thetaR_tp2_mean	0.1651563
thetaR_tp2_ci_low	0.001956953
thetaR_tp2_ci_med	0.04431497
thetaR_tp2_ci_up	0.7576402
Y_tp2_mean	0.04410749
Y_tp2_ci_low	0
Y_tp2_ci_med	0.01431284
Y_tp2_ci_up	0.228384
R_tp2_mean	0.1651563
R_tp2_ci_low	0.001950724
R_tp2_ci_med	0.04429059
R_tp2_ci_up	0.7575408
thetaR_max_mean	0.2842907
thetaR_max_ci_low	0.00180449
thetaR_max_ci_med	0.1572309
thetaR_max_ci_up	0.8728382
cumInf_mean	0.3193591
cumInf_ci_low	0.001831807
cumInf_ci_med	0.2074512
cumInf_ci_up	0.9131121
dthetaI_tp1_date	06/21/21
first_tp_mean	06/30/21
first_tp_ci_low	04/09/21
first_tp_ci_med	07/10/21
first_tp_ci_up	09/16/21
dthetaI_tp2_date	08/05/21
second_tp_mean	07/15/21
second_tp_ci_low	04/11/21
second_tp_ci_med	08/04/21
second_tp_ci_up	09/16/21
end_p_mean	09/02/21
end_p_ci_low	05/18/21
end_p_ci_med	09/16/21
end_p_ci_up	09/16/21
begin_str	03/01/2021
