date	value	lower_ci	upper_ci	incidence	scenario
2021-04-15	332958	304184	363065	NA	Moderate return
2021-04-16	335946	302419	371695	2988	Moderate return
2021-04-17	339042	300682	380247	3096	Moderate return
2021-04-18	342247	299639	388581	3205	Moderate return
2021-04-19	345543	298547	397274	3296	Moderate return
2021-04-20	348946	297764	405949	3403	Moderate return
2021-04-21	352463	297245	414805	3517	Moderate return
2021-04-22	356067	296896	424153	3604	Moderate return
2021-04-23	359848	296326	433677	3781	Moderate return
2021-04-24	363757	296321	443438	3909	Moderate return
2021-04-25	367767	295892	453412	4010	Moderate return
2021-04-26	371919	295964	464020	4152	Moderate return
2021-04-27	376263	295905	474797	4344	Moderate return
2021-04-28	380746	295819	485875	4483	Moderate return
2021-04-29	385375	296244	497624	4629	Moderate return
2021-04-30	390179	296637	509721	4804	Moderate return
2021-05-01	395192	297126	522480	5013	Moderate return
2021-05-02	400363	297267	535758	5171	Moderate return
2021-05-03	405723	297805	549425	5360	Moderate return
2021-05-04	411268	298382	564483	5545	Moderate return
2021-05-05	417023	298732	579435	5755	Moderate return
2021-05-06	423024	299483	595609	6001	Moderate return
2021-05-07	429237	300072	612613	6213	Moderate return
2021-05-08	435688	300795	629681	6451	Moderate return
2021-05-09	442373	301535	648647	6685	Moderate return
2021-05-10	449329	302437	667850	6956	Moderate return
2021-05-11	456554	303079	688845	7225	Moderate return
2021-05-12	464052	304036	710566	7498	Moderate return
2021-05-13	471849	304677	733109	7797	Moderate return
2021-05-14	479955	305347	757505	8106	Moderate return
2021-05-15	488378	306557	782829	8423	Moderate return
2021-05-16	497141	307375	809925	8763	Moderate return
2021-05-17	506212	308435	837946	9071	Moderate return
2021-05-18	515689	309594	867298	9477	Moderate return
2021-05-19	525531	310384	899885	9842	Moderate return
2021-05-20	535768	311967	932903	10237	Moderate return
2021-05-21	546412	313104	968397	10644	Moderate return
2021-05-22	557514	314071	1005083	11102	Moderate return
2021-05-23	569066	315151	1044732	11552	Moderate return
2021-05-24	581041	316276	1085248	11975	Moderate return
2021-05-25	593534	317868	1129134	12493	Moderate return
2021-05-26	606538	319066	1175451	13004	Moderate return
2021-05-27	620057	320382	1223369	13519	Moderate return
2021-05-28	634080	321352	1274060	14023	Moderate return
2021-05-29	648714	322493	1327625	14634	Moderate return
2021-05-30	663958	324347	1383955	15244	Moderate return
2021-05-31	679833	325386	1444766	15875	Moderate return
2021-06-01	696326	327082	1507041	16493	Moderate return
2021-06-02	713511	328538	1572501	17185	Moderate return
2021-06-03	731363	329904	1641681	17852	Moderate return
2021-06-04	749935	331241	1716636	18572	Moderate return
2021-06-05	769272	333026	1795270	19337	Moderate return
2021-06-06	789317	333956	1878339	20045	Moderate return
2021-06-07	810215	335688	1964272	20898	Moderate return
2021-06-08	831930	337325	2054602	21715	Moderate return
2021-06-09	854484	338692	2150113	22554	Moderate return
2021-06-10	877968	340288	2248611	23484	Moderate return
2021-06-11	902324	341858	2351456	24356	Moderate return
2021-06-12	927638	343221	2462533	25314	Moderate return
2021-06-13	953937	344960	2574823	26299	Moderate return
2021-06-14	981245	346472	2693178	27308	Moderate return
2021-06-15	1009535	348124	2818629	28290	Moderate return
2021-06-16	1038915	349571	2946108	29380	Moderate return
2021-06-17	1069363	351109	3083266	30448	Moderate return
2021-06-18	1100882	352950	3225273	31519	Moderate return
2021-06-19	1133549	354505	3372803	32667	Moderate return
2021-06-20	1167403	355647	3524809	33854	Moderate return
2021-06-21	1202375	357243	3687115	34972	Moderate return
2021-06-22	1238620	358900	3848052	36245	Moderate return
2021-06-23	1276107	360562	4018694	37487	Moderate return
2021-06-24	1314784	362067	4196851	38677	Moderate return
2021-06-25	1354855	363614	4383549	40071	Moderate return
2021-06-26	1396205	365519	4578904	41350	Moderate return
2021-06-27	1438821	367031	4774485	42616	Moderate return
2021-06-28	1482786	368775	4979774	43965	Moderate return
2021-06-29	1528118	371123	5190670	45332	Moderate return
2021-06-30	1574779	372202	5414785	46661	Moderate return
2021-07-01	1622825	373570	5640513	48046	Moderate return
2021-07-02	1672184	375958	5870775	49359	Moderate return
2021-07-03	1722880	377408	6098984	50696	Moderate return
2021-07-04	1775023	378849	6350180	52143	Moderate return
