stat	value
thetaS_last_obs_p_mean	0.9934884
thetaI_last_obs_p_mean	0.0008986477
thetaR_last_obs_p_mean	0.005612949
thetaS_last_obs_p_ci_low	0.9931607
thetaS_last_obs_p_ci_med	0.9934897
thetaS_last_obs_p_ci_up	0.993809
thetaI_last_obs_p_ci_low	0.0007765674
thetaI_last_obs_p_ci_med	0.0008979975
thetaI_last_obs_p_ci_up	0.001024386
thetaR_last_obs_p_ci_low	0.005317218
thetaR_last_obs_p_ci_med	0.005611963
thetaR_last_obs_p_ci_up	0.005914363
R0_p_mean	2.315788
R0_p_ci_low	1.367723
R0_p_ci_med	2.14466
R0_p_ci_up	4.247057
gamma_p_mean	0.07701656
gamma_p_ci_low	0.02123702
gamma_p_ci_med	0.06778267
gamma_p_ci_up	0.1835566
beta_p_mean	0.1564815
beta_p_ci_low	0.06541464
beta_p_ci_med	0.150876
beta_p_ci_up	0.279077
incidence_mean	0.1282754
incidence_ci_low	0.004165295
incidence_ci_median	0.05517247
incidence_ci_up	0.6172124
thetaI_tp1_mean	0.02065164
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.006192891
thetaI_tp1_ci_up	0.1334567
thetaR_tp1_mean	0.04583494
thetaR_tp1_ci_low	0.007058681
thetaR_tp1_ci_med	0.0268422
thetaR_tp1_ci_up	0.2026527
Y_tp1_mean	0.02065145
Y_tp1_ci_low	0
Y_tp1_ci_med	0.006191082
Y_tp1_ci_up	0.1333019
R_tp1_mean	0.04583499
R_tp1_ci_low	0.007044092
R_tp1_ci_med	0.02684785
R_tp1_ci_up	0.202779
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.09834648
thetaR_max_ci_low	0.007146346
thetaR_max_ci_med	0.04737997
thetaR_max_ci_up	0.4650155
cumInf_mean	0.1322622
cumInf_ci_low	0.007341649
cumInf_ci_med	0.05987941
cumInf_ci_up	0.6202075
dthetaI_tp1_date	08/11/21
first_tp_mean	06/23/21
first_tp_ci_low	04/11/21
first_tp_ci_med	07/07/21
first_tp_ci_up	09/19/21
dthetaI_tp2_date	08/11/21
second_tp_mean	06/30/21
second_tp_ci_low	04/12/21
second_tp_ci_med	08/09/21
second_tp_ci_up	09/19/21
end_p_mean	09/13/21
end_p_ci_low	07/04/21
end_p_ci_med	09/19/21
end_p_ci_up	09/19/21
begin_str	03/04/2021
