stat	value
thetaS_last_obs_p_mean	0.9784834
thetaI_last_obs_p_mean	0.005278076
thetaR_last_obs_p_mean	0.01623849
thetaS_last_obs_p_ci_low	0.9778416
thetaS_last_obs_p_ci_med	0.9784843
thetaS_last_obs_p_ci_up	0.9791224
thetaI_last_obs_p_ci_low	0.004955451
thetaI_last_obs_p_ci_med	0.005273985
thetaI_last_obs_p_ci_up	0.005624095
thetaR_last_obs_p_ci_low	0.01569108
thetaR_last_obs_p_ci_med	0.01623812
thetaR_last_obs_p_ci_up	0.01678523
R0_p_mean	2.388477
R0_p_ci_low	1.725643
R0_p_ci_med	2.28237
R0_p_ci_up	3.679076
gamma_p_mean	0.06549557
gamma_p_ci_low	0.03086643
gamma_p_ci_med	0.06446026
gamma_p_ci_up	0.1063856
beta_p_mean	0.1481562
beta_p_ci_low	0.1044443
beta_p_ci_med	0.147569
beta_p_ci_up	0.1955428
incidence_mean	0.8307445
incidence_ci_low	0.6777476
incidence_ci_median	0.8365996
incidence_ci_up	0.9483998
thetaI_tp1_mean	0.1160229
thetaI_tp1_ci_low	0.0514284
thetaI_tp1_ci_med	0.1117128
thetaI_tp1_ci_up	0.2057819
thetaR_tp1_mean	0.1315049
thetaR_tp1_ci_low	0.05869021
thetaR_tp1_ci_med	0.1264003
thetaR_tp1_ci_up	0.233171
Y_tp1_mean	0.116024
Y_tp1_ci_low	0.05145602
Y_tp1_ci_med	0.1116962
Y_tp1_ci_up	0.2057334
R_tp1_mean	0.1315019
R_tp1_ci_low	0.05867284
R_tp1_ci_med	0.1263684
R_tp1_ci_up	0.2333985
thetaI_tp2_mean	0.1899987
thetaI_tp2_ci_low	0.08862369
thetaI_tp2_ci_med	0.1810205
thetaI_tp2_ci_up	0.3407531
thetaR_tp2_mean	0.375321
thetaR_tp2_ci_low	0.1720736
thetaR_tp2_ci_med	0.3774111
thetaR_tp2_ci_up	0.5713884
Y_tp2_mean	0.1899977
Y_tp2_ci_low	0.08854784
Y_tp2_ci_med	0.1810678
Y_tp2_ci_up	0.3406116
R_tp2_mean	0.3753167
R_tp2_ci_low	0.1720188
R_tp2_ci_med	0.3773537
R_tp2_ci_up	0.5713804
thetaR_max_mean	0.8226963
thetaR_max_ci_low	0.6768897
thetaR_max_ci_med	0.8312664
thetaR_max_ci_up	0.9209365
cumInf_mean	0.8428727
cumInf_ci_low	0.6888582
cumInf_ci_med	0.848896
cumInf_ci_up	0.9609487
dthetaI_tp1_date	06/01/21
first_tp_mean	06/03/21
first_tp_ci_low	05/23/21
first_tp_ci_med	06/02/21
first_tp_ci_up	06/19/21
dthetaI_tp2_date	06/25/21
second_tp_mean	06/25/21
second_tp_ci_low	06/10/21
second_tp_ci_med	06/24/21
second_tp_ci_up	07/18/21
end_p_mean	09/19/21
end_p_ci_low	09/20/21
end_p_ci_med	09/20/21
end_p_ci_up	09/20/21
begin_str	03/05/2021
