stat	value
thetaS_last_obs_p_mean	0.99504
thetaI_last_obs_p_mean	0.0008571536
thetaR_last_obs_p_mean	0.004102804
thetaS_last_obs_p_ci_low	0.9947549
thetaS_last_obs_p_ci_med	0.9950411
thetaS_last_obs_p_ci_up	0.9953179
thetaI_last_obs_p_ci_low	0.0007406474
thetaI_last_obs_p_ci_med	0.0008561251
thetaI_last_obs_p_ci_up	0.0009796108
thetaR_last_obs_p_ci_low	0.003853445
thetaR_last_obs_p_ci_med	0.004101673
thetaR_last_obs_p_ci_up	0.004359862
R0_p_mean	2.656787
R0_p_ci_low	1.554168
R0_p_ci_med	2.473027
R0_p_ci_up	4.812143
gamma_p_mean	0.07948689
gamma_p_ci_low	0.02573601
gamma_p_ci_med	0.07214183
gamma_p_ci_up	0.1741263
beta_p_mean	0.1876466
beta_p_ci_low	0.09338084
beta_p_ci_med	0.1838768
beta_p_ci_up	0.3032252
incidence_mean	0.307944
incidence_ci_low	0.007146712
incidence_ci_median	0.2472951
incidence_ci_up	0.8351765
thetaI_tp1_mean	0.0337404
thetaI_tp1_ci_low	0.0001359907
thetaI_tp1_ci_med	0.01514739
thetaI_tp1_ci_up	0.1744446
thetaR_tp1_mean	0.0581662
thetaR_tp1_ci_low	0.007574985
thetaR_tp1_ci_med	0.03726116
thetaR_tp1_ci_up	0.2333098
Y_tp1_mean	0.03374002
Y_tp1_ci_low	0.0001348014
Y_tp1_ci_med	0.01517298
Y_tp1_ci_up	0.1743134
R_tp1_mean	0.05816488
R_tp1_ci_low	0.007567631
R_tp1_ci_med	0.0372599
R_tp1_ci_up	0.2332515
thetaI_tp2_mean	0.06084675
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0.03877522
thetaI_tp2_ci_up	0.2388482
thetaR_tp2_mean	0.2026102
thetaR_tp2_ci_low	0.009184568
thetaR_tp2_ci_med	0.1386982
thetaR_tp2_ci_up	0.65793
Y_tp2_mean	0.06084685
Y_tp2_ci_low	0
Y_tp2_ci_med	0.03878423
Y_tp2_ci_up	0.23866
R_tp2_mean	0.2026097
R_tp2_ci_low	0.009177072
R_tp2_ci_med	0.1387197
R_tp2_ci_up	0.65792
thetaR_max_mean	0.2512642
thetaR_max_ci_low	0.009520213
thetaR_max_ci_med	0.1900768
thetaR_max_ci_up	0.7284901
cumInf_mean	0.3100405
cumInf_ci_low	0.009862008
cumInf_ci_med	0.2487539
cumInf_ci_up	0.8384368
dthetaI_tp1_date	07/17/21
first_tp_mean	07/14/21
first_tp_ci_low	04/12/21
first_tp_ci_med	07/29/21
first_tp_ci_up	09/20/21
dthetaI_tp2_date	09/05/21
second_tp_mean	07/30/21
second_tp_ci_low	04/14/21
second_tp_ci_med	08/23/21
second_tp_ci_up	09/20/21
end_p_mean	09/18/21
end_p_ci_low	09/02/21
end_p_ci_med	09/20/21
end_p_ci_up	09/20/21
begin_str	03/05/2021
