stat	value
thetaS_last_obs_p_mean	0.9893123
thetaI_last_obs_p_mean	0.001423042
thetaR_last_obs_p_mean	0.009264693
thetaS_last_obs_p_ci_low	0.9888943
thetaS_last_obs_p_ci_med	0.9893132
thetaS_last_obs_p_ci_up	0.9897257
thetaI_last_obs_p_ci_low	0.001271966
thetaI_last_obs_p_ci_med	0.001422086
thetaI_last_obs_p_ci_up	0.001580113
thetaR_last_obs_p_ci_low	0.008884202
thetaR_last_obs_p_ci_med	0.009263633
thetaR_last_obs_p_ci_up	0.00965099
R0_p_mean	2.621764
R0_p_ci_low	1.566765
R0_p_ci_med	2.443616
R0_p_ci_up	4.715544
gamma_p_mean	0.06733554
gamma_p_ci_low	0.02275672
gamma_p_ci_med	0.06131538
gamma_p_ci_up	0.1455359
beta_p_mean	0.1570252
beta_p_ci_low	0.08570675
beta_p_ci_med	0.1534509
beta_p_ci_up	0.2482405
incidence_mean	0.5646685
incidence_ci_low	0.08181059
incidence_ci_median	0.5992271
incidence_ci_up	0.9094614
thetaI_tp1_mean	0.06336364
thetaI_tp1_ci_low	0.004173223
thetaI_tp1_ci_med	0.0461067
thetaI_tp1_ci_up	0.2172056
thetaR_tp1_mean	0.09211295
thetaR_tp1_ci_low	0.02016344
thetaR_tp1_ci_med	0.07467874
thetaR_tp1_ci_up	0.2618533
Y_tp1_mean	0.06336305
Y_tp1_ci_low	0.004168811
Y_tp1_ci_med	0.04609733
Y_tp1_ci_up	0.2172027
R_tp1_mean	0.09211309
R_tp1_ci_low	0.02012984
R_tp1_ci_med	0.07466823
R_tp1_ci_up	0.2617507
thetaI_tp2_mean	0.1111456
thetaI_tp2_ci_low	0.006916605
thetaI_tp2_ci_med	0.09248512
thetaI_tp2_ci_up	0.315084
thetaR_tp2_mean	0.2950255
thetaR_tp2_ci_low	0.03889321
thetaR_tp2_ci_med	0.2737169
thetaR_tp2_ci_up	0.656548
Y_tp2_mean	0.111149
Y_tp2_ci_low	0.006913319
Y_tp2_ci_med	0.09249517
Y_tp2_ci_up	0.3149754
R_tp2_mean	0.295023
R_tp2_ci_low	0.03885833
R_tp2_ci_med	0.2736614
R_tp2_ci_up	0.6564476
thetaR_max_mean	0.4884598
thetaR_max_ci_low	0.07099473
thetaR_max_ci_med	0.5119186
thetaR_max_ci_up	0.8255281
cumInf_mean	0.5715781
cumInf_ci_low	0.08882113
cumInf_ci_med	0.6057771
cumInf_ci_up	0.9170874
dthetaI_tp1_date	07/07/21
first_tp_mean	07/18/21
first_tp_ci_low	04/20/21
first_tp_ci_med	07/17/21
first_tp_ci_up	09/21/21
dthetaI_tp2_date	08/16/21
second_tp_mean	08/15/21
second_tp_ci_low	04/22/21
second_tp_ci_med	08/18/21
second_tp_ci_up	09/23/21
end_p_mean	09/23/21
end_p_ci_low	09/24/21
end_p_ci_med	09/24/21
end_p_ci_up	09/24/21
begin_str	03/09/2021
