date	value	lower_ci	upper_ci	incidence	scenario
2021-04-27	4425456	4172906	4684066	NA	Cautious return
2021-04-28	4469134	4168977	4776059	43678	Cautious return
2021-04-29	4512180	4169715	4864196	43046	Cautious return
2021-04-30	4554997	4171791	4950316	42817	Cautious return
2021-05-01	4597211	4174640	5033223	42214	Cautious return
2021-05-02	4638837	4180066	5113810	41626	Cautious return
2021-05-03	4680216	4187003	5191641	41379	Cautious return
2021-05-04	4720832	4196047	5266723	40616	Cautious return
2021-05-05	4760897	4203388	5342591	40065	Cautious return
2021-05-06	4800644	4214365	5415902	39747	Cautious return
2021-05-07	4839860	4222006	5487507	39216	Cautious return
2021-05-08	4878729	4231674	5558490	38869	Cautious return
2021-05-09	4917143	4243156	5627584	38414	Cautious return
2021-05-10	4955193	4254118	5697511	38050	Cautious return
2021-05-11	4992427	4264032	5764777	37234	Cautious return
2021-05-12	5029645	4273638	5835044	37218	Cautious return
2021-05-13	5066102	4285896	5898418	36457	Cautious return
2021-05-14	5102172	4299928	5964770	36070	Cautious return
2021-05-15	5138064	4309347	6027787	35892	Cautious return
2021-05-16	5173353	4324340	6091375	35289	Cautious return
2021-05-17	5208363	4335444	6153976	35010	Cautious return
2021-05-18	5242925	4346034	6217415	34562	Cautious return
2021-05-19	5277150	4359048	6279285	34225	Cautious return
2021-05-20	5311093	4372784	6341566	33943	Cautious return
2021-05-21	5344470	4386389	6399687	33377	Cautious return
2021-05-22	5377539	4399620	6457660	33069	Cautious return
2021-05-23	5409679	4412152	6513006	32140	Cautious return
2021-05-24	5441600	4426019	6571324	31921	Cautious return
2021-05-25	5473322	4436353	6627629	31722	Cautious return
2021-05-26	5504729	4450230	6683620	31407	Cautious return
2021-05-27	5535890	4463377	6735787	31161	Cautious return
2021-05-28	5566537	4477968	6789623	30647	Cautious return
2021-05-29	5596727	4489839	6842714	30190	Cautious return
2021-05-30	5626527	4503686	6897602	29800	Cautious return
2021-05-31	5656220	4516032	6952500	29693	Cautious return
2021-06-01	5685612	4527901	7000110	29392	Cautious return
2021-06-02	5714593	4538617	7054175	28981	Cautious return
2021-06-03	5743562	4553023	7107020	28969	Cautious return
2021-06-04	5771774	4564213	7158268	28212	Cautious return
2021-06-05	5799662	4576494	7211910	27888	Cautious return
2021-06-06	5827461	4588410	7264416	27799	Cautious return
2021-06-07	5854866	4598278	7316474	27405	Cautious return
2021-06-08	5881964	4611887	7363738	27098	Cautious return
2021-06-09	5908736	4626682	7413822	26772	Cautious return
2021-06-10	5935140	4637796	7464877	26404	Cautious return
2021-06-11	5961215	4650057	7515813	26075	Cautious return
2021-06-12	5987024	4658570	7566995	25809	Cautious return
