stat	value
thetaS_last_obs_p_mean	0.9916822
thetaI_last_obs_p_mean	0.001050408
thetaR_last_obs_p_mean	0.00726735
thetaS_last_obs_p_ci_low	0.9913161
thetaS_last_obs_p_ci_med	0.9916829
thetaS_last_obs_p_ci_up	0.9920436
thetaI_last_obs_p_ci_low	0.0009211602
thetaI_last_obs_p_ci_med	0.00104945
thetaI_last_obs_p_ci_up	0.001184884
thetaR_last_obs_p_ci_low	0.006933004
thetaR_last_obs_p_ci_med	0.007266555
thetaR_last_obs_p_ci_up	0.007606967
R0_p_mean	2.403651
R0_p_ci_low	1.437337
R0_p_ci_med	2.228253
R0_p_ci_up	4.371384
gamma_p_mean	0.07781789
gamma_p_ci_low	0.02338219
gamma_p_ci_med	0.06969199
gamma_p_ci_up	0.1774078
beta_p_mean	0.1649503
beta_p_ci_low	0.07862683
beta_p_ci_med	0.1597859
beta_p_ci_up	0.2792778
incidence_mean	0.1757264
incidence_ci_low	0.006494945
incidence_ci_median	0.09724771
incidence_ci_up	0.685446
thetaI_tp1_mean	0.02550183
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.009667596
thetaI_tp1_ci_up	0.1454864
thetaR_tp1_mean	0.05584281
thetaR_tp1_ci_low	0.01033079
thetaR_tp1_ci_med	0.03674652
thetaR_tp1_ci_up	0.2146729
Y_tp1_mean	0.02550094
Y_tp1_ci_low	0
Y_tp1_ci_med	0.009674061
Y_tp1_ci_up	0.1453908
R_tp1_mean	0.0558417
R_tp1_ci_low	0.01032273
R_tp1_ci_med	0.03674349
R_tp1_ci_up	0.214696
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.1378526
thetaR_max_ci_low	0.0109347
thetaR_max_ci_med	0.08033676
thetaR_max_ci_up	0.5368189
cumInf_mean	0.1810358
cumInf_ci_low	0.01119971
cumInf_ci_med	0.1030651
cumInf_ci_up	0.6898882
dthetaI_tp1_date	08/13/21
first_tp_mean	07/09/21
first_tp_ci_low	04/17/21
first_tp_ci_med	08/07/21
first_tp_ci_up	09/28/21
dthetaI_tp2_date	08/13/21
second_tp_mean	07/19/21
second_tp_ci_low	04/19/21
second_tp_ci_med	08/27/21
second_tp_ci_up	09/28/21
end_p_mean	09/25/21
end_p_ci_low	08/04/21
end_p_ci_med	09/28/21
end_p_ci_up	09/28/21
begin_str	03/13/2021
