stat	value
thetaS_last_obs_p_mean	0.97842
thetaI_last_obs_p_mean	0.002200138
thetaR_last_obs_p_mean	0.01937983
thetaS_last_obs_p_ci_low	0.9778325
thetaS_last_obs_p_ci_med	0.9784209
thetaS_last_obs_p_ci_up	0.979001
thetaI_last_obs_p_ci_low	0.002011429
thetaI_last_obs_p_ci_med	0.002199323
thetaI_last_obs_p_ci_up	0.002394878
thetaR_last_obs_p_ci_low	0.01882994
thetaR_last_obs_p_ci_med	0.01937888
thetaR_last_obs_p_ci_up	0.01993517
R0_p_mean	2.625979
R0_p_ci_low	1.608215
R0_p_ci_med	2.446352
R0_p_ci_up	4.667505
gamma_p_mean	0.07014048
gamma_p_ci_low	0.02466949
gamma_p_ci_med	0.06431015
gamma_p_ci_up	0.1480683
beta_p_mean	0.1639965
beta_p_ci_low	0.09999159
beta_p_ci_med	0.1597853
beta_p_ci_up	0.2512397
incidence_mean	0.8356667
incidence_ci_low	0.6100127
incidence_ci_median	0.853619
incidence_ci_up	0.9646333
thetaI_tp1_mean	0.1156802
thetaI_tp1_ci_low	0.03004337
thetaI_tp1_ci_med	0.1059079
thetaI_tp1_ci_up	0.2557329
thetaR_tp1_mean	0.1302586
thetaR_tp1_ci_low	0.03988868
thetaR_tp1_ci_med	0.1155788
thetaR_tp1_ci_up	0.3003528
Y_tp1_mean	0.1156802
Y_tp1_ci_low	0.03004059
Y_tp1_ci_med	0.1059421
Y_tp1_ci_up	0.2556436
R_tp1_mean	0.1302585
R_tp1_ci_low	0.03992177
R_tp1_ci_med	0.1155695
R_tp1_ci_up	0.3004008
thetaI_tp2_mean	0.1964113
thetaI_tp2_ci_low	0.05060136
thetaI_tp2_ci_med	0.184748
thetaI_tp2_ci_up	0.4061375
thetaR_tp2_mean	0.3815338
thetaR_tp2_ci_low	0.1050608
thetaR_tp2_ci_med	0.3831438
thetaR_tp2_ci_up	0.6582343
Y_tp2_mean	0.1964127
Y_tp2_ci_low	0.05057923
Y_tp2_ci_med	0.1847418
Y_tp2_ci_up	0.4060364
R_tp2_mean	0.3815333
R_tp2_ci_low	0.1050119
R_tp2_ci_med	0.3830832
R_tp2_ci_up	0.6582607
thetaR_max_mean	0.8230313
thetaR_max_ci_low	0.6020364
thetaR_max_ci_med	0.8422505
thetaR_max_ci_up	0.9421497
cumInf_mean	0.853332
cumInf_ci_low	0.6262918
cumInf_ci_med	0.8715875
cumInf_ci_up	0.9819083
dthetaI_tp1_date	06/15/21
first_tp_mean	06/19/21
first_tp_ci_low	06/03/21
first_tp_ci_med	06/18/21
first_tp_ci_up	07/15/21
dthetaI_tp2_date	07/09/21
second_tp_mean	07/10/21
second_tp_ci_low	06/18/21
second_tp_ci_med	07/08/21
second_tp_ci_up	08/14/21
end_p_mean	09/29/21
end_p_ci_low	09/30/21
end_p_ci_med	09/30/21
end_p_ci_up	09/30/21
begin_str	03/15/2021
