date	value	lower_ci	upper_ci	incidence	scenario
2021-05-05	1210836	1127824	1296763	NA	Moderate return
2021-05-06	1230704	1131434	1334523	19868	Moderate return
2021-05-07	1251504	1136609	1373367	20800	Moderate return
2021-05-08	1273196	1142151	1414022	21692	Moderate return
2021-05-09	1295792	1148870	1455485	22596	Moderate return
2021-05-10	1319401	1156163	1498850	23609	Moderate return
2021-05-11	1344157	1163454	1543639	24756	Moderate return
2021-05-12	1369922	1172733	1591254	25765	Moderate return
2021-05-13	1396801	1181562	1640504	26879	Moderate return
2021-05-14	1424812	1192291	1692231	28011	Moderate return
2021-05-15	1454111	1202288	1745561	29299	Moderate return
2021-05-16	1484791	1213419	1802888	30680	Moderate return
2021-05-17	1516804	1224911	1861447	32013	Moderate return
2021-05-18	1550238	1236465	1924033	33434	Moderate return
2021-05-19	1585134	1249591	1989684	34896	Moderate return
2021-05-20	1621575	1262185	2057321	36441	Moderate return
2021-05-21	1659506	1276237	2129103	37931	Moderate return
2021-05-22	1699123	1289543	2205491	39617	Moderate return
2021-05-23	1740527	1305263	2282772	41404	Moderate return
2021-05-24	1783910	1319660	2366516	43383	Moderate return
2021-05-25	1829178	1335836	2452879	45268	Moderate return
2021-05-26	1876297	1352193	2545242	47119	Moderate return
2021-05-27	1925641	1369679	2642644	49344	Moderate return
2021-05-28	1977105	1387454	2744799	51464	Moderate return
2021-05-29	2030827	1404836	2852374	53722	Moderate return
2021-05-30	2086751	1423815	2963247	55924	Moderate return
2021-05-31	2145107	1444582	3081085	58356	Moderate return
2021-06-01	2206001	1463990	3205927	60894	Moderate return
2021-06-02	2269591	1484360	3336182	63590	Moderate return
2021-06-03	2336031	1506140	3473128	66440	Moderate return
2021-06-04	2405078	1527098	3619782	69047	Moderate return
2021-06-05	2477256	1550413	3773115	72178	Moderate return
2021-06-06	2552351	1575123	3930511	75095	Moderate return
2021-06-07	2630689	1598722	4098652	78338	Moderate return
2021-06-08	2712506	1624197	4278102	81817	Moderate return
2021-06-09	2797586	1648738	4459276	85080	Moderate return
2021-06-10	2886182	1674870	4660405	88596	Moderate return
2021-06-11	2978425	1703961	4864410	92243	Moderate return
2021-06-12	3074487	1731321	5078830	96062	Moderate return
2021-06-13	3174394	1761125	5303588	99907	Moderate return
2021-06-14	3278343	1791416	5538372	103949	Moderate return
2021-06-15	3386503	1822862	5786868	108160	Moderate return
2021-06-16	3498916	1854315	6047805	112413	Moderate return
2021-06-17	3615642	1886236	6321415	116726	Moderate return
2021-06-18	3736986	1919073	6603925	121344	Moderate return
2021-06-19	3862943	1953880	6900269	125957	Moderate return
2021-06-20	3993626	1990844	7211661	130683	Moderate return
2021-06-21	4129315	2026837	7538399	135689	Moderate return
2021-06-22	4269944	2064786	7873740	140629	Moderate return
2021-06-23	4415520	2103348	8227201	145576	Moderate return
2021-06-24	4566331	2142868	8591227	150811	Moderate return
2021-06-25	4722343	2181705	8972410	156012	Moderate return
2021-06-26	4883748	2223857	9366113	161405	Moderate return
2021-06-27	5050716	2266609	9768291	166968	Moderate return
2021-06-28	5223218	2310826	10199232	172502	Moderate return
2021-06-29	5401230	2355177	10634473	178012	Moderate return
2021-06-30	5584874	2400122	11087514	183644	Moderate return
2021-07-01	5774307	2446555	11556753	189433	Moderate return
2021-07-02	5969278	2495532	12037489	194971	Moderate return
2021-07-03	6169824	2542694	12540757	200546	Moderate return
2021-07-04	6376272	2594836	13043357	206448	Moderate return
2021-07-05	6588472	2645824	13580523	212200	Moderate return
2021-07-06	6806047	2698531	14115470	217575	Moderate return
2021-07-07	7029502	2751234	14671308	223455	Moderate return
2021-07-08	7258358	2804802	15227895	228856	Moderate return
2021-07-09	7492961	2863498	15793870	234603	Moderate return
2021-07-10	7732986	2917745	16379861	240025	Moderate return
2021-07-11	7978442	2975261	16983228	245456	Moderate return
2021-07-12	8229105	3034534	17586386	250663	Moderate return
2021-07-13	8484839	3096093	18195943	255734	Moderate return
2021-07-14	8745702	3152592	18828670	260863	Moderate return
2021-07-15	9011406	3214378	19444561	265704	Moderate return
2021-07-16	9281566	3272487	20077532	270160	Moderate return
2021-07-17	9556542	3338658	20712309	274976	Moderate return
2021-07-18	9835612	3404140	21353605	279070	Moderate return
2021-07-19	10118931	3471582	22004422	283319	Moderate return
2021-07-20	10406101	3534099	22664298	287170	Moderate return
2021-07-21	10696842	3606718	23307427	290741	Moderate return
2021-07-22	10991230	3675352	23977389	294388	Moderate return
2021-07-23	11288698	3747530	24638495	297468	Moderate return
2021-07-24	11589424	3818523	25274428	300726	Moderate return
