stat	value
thetaS_last_obs_p_mean	0.9797121
thetaI_last_obs_p_mean	0.006198394
thetaR_last_obs_p_mean	0.01408948
thetaS_last_obs_p_ci_low	0.9790977
thetaS_last_obs_p_ci_med	0.9797131
thetaS_last_obs_p_ci_up	0.9803234
thetaI_last_obs_p_ci_low	0.005861111
thetaI_last_obs_p_ci_med	0.006195892
thetaI_last_obs_p_ci_up	0.006550944
thetaR_last_obs_p_ci_low	0.01358806
thetaR_last_obs_p_ci_med	0.0140898
thetaR_last_obs_p_ci_up	0.01459318
R0_p_mean	2.357921
R0_p_ci_low	1.759637
R0_p_ci_med	2.275352
R0_p_ci_up	3.44237
gamma_p_mean	0.05678074
gamma_p_ci_low	0.02959175
gamma_p_ci_med	0.05621171
gamma_p_ci_up	0.08719704
beta_p_mean	0.1284528
beta_p_ci_low	0.09371941
beta_p_ci_med	0.1282343
beta_p_ci_up	0.1645535
incidence_mean	0.26924
incidence_ci_low	0.08478207
incidence_ci_median	0.2500377
incidence_ci_up	0.5573011
thetaI_tp1_mean	0.006641886
thetaI_tp1_ci_low	0.00606289
thetaI_tp1_ci_med	0.006638824
thetaI_tp1_ci_up	0.00723858
thetaR_tp1_mean	0.01445393
thetaR_tp1_ci_low	0.01362298
thetaR_tp1_ci_med	0.01444994
thetaR_tp1_ci_up	0.01530699
Y_tp1_mean	0.006641984
Y_tp1_ci_low	0.005923568
Y_tp1_ci_med	0.006635746
Y_tp1_ci_up	0.007396704
R_tp1_mean	0.01445433
R_tp1_ci_low	0.01341274
R_tp1_ci_med	0.01444754
R_tp1_ci_up	0.01552602
thetaI_tp2_mean	0.04913376
thetaI_tp2_ci_low	0.004844317
thetaI_tp2_ci_med	0.03874544
thetaI_tp2_ci_up	0.15274
thetaR_tp2_mean	0.2215368
thetaR_tp2_ci_low	0.08337898
thetaR_tp2_ci_med	0.2092083
thetaR_tp2_ci_up	0.425337
Y_tp2_mean	0.04913352
Y_tp2_ci_low	0.004857163
Y_tp2_ci_med	0.03874092
Y_tp2_ci_up	0.1528685
R_tp2_mean	0.2215369
R_tp2_ci_low	0.08336572
R_tp2_ci_med	0.2092311
R_tp2_ci_up	0.4254963
thetaR_max_mean	0.2284893
thetaR_max_ci_low	0.08483946
thetaR_max_ci_med	0.2160035
thetaR_max_ci_up	0.4392278
cumInf_mean	0.2775552
cumInf_ci_low	0.09156662
cumInf_ci_med	0.2582826
cumInf_ci_up	0.5669638
dthetaI_tp1_date	05/05/21
first_tp_mean	06/01/21
first_tp_ci_low	04/21/21
first_tp_ci_med	05/05/21
first_tp_ci_up	09/01/21
dthetaI_tp2_date	10/03/21
second_tp_mean	07/27/21
second_tp_ci_low	04/23/21
second_tp_ci_med	08/27/21
second_tp_ci_up	10/05/21
end_p_mean	10/05/21
end_p_ci_low	10/06/21
end_p_ci_med	10/06/21
end_p_ci_up	10/06/21
begin_str	03/21/2021
