date	value	lower_ci	upper_ci	incidence	scenario
2021-05-10	9074	8256	9944	NA	Normal (pre-intervention)
2021-05-11	9241	8203	10338	167	Normal (pre-intervention)
2021-05-12	9419	8226	10662	178	Normal (pre-intervention)
2021-05-13	9598	8227	11022	179	Normal (pre-intervention)
2021-05-14	9781	8200	11461	183	Normal (pre-intervention)
2021-05-15	9969	8192	11775	188	Normal (pre-intervention)
2021-05-16	10166	8344	12183	197	Normal (pre-intervention)
2021-05-17	10363	8340	12586	197	Normal (pre-intervention)
2021-05-18	10572	8361	12991	209	Normal (pre-intervention)
2021-05-19	10792	8463	13319	220	Normal (pre-intervention)
2021-05-20	11010	8475	13836	218	Normal (pre-intervention)
2021-05-21	11243	8524	14426	233	Normal (pre-intervention)
2021-05-22	11472	8593	14761	229	Normal (pre-intervention)
2021-05-23	11718	8587	15265	246	Normal (pre-intervention)
2021-05-24	11975	8763	15707	257	Normal (pre-intervention)
2021-05-25	12230	8794	16285	255	Normal (pre-intervention)
2021-05-26	12498	8913	16889	268	Normal (pre-intervention)
2021-05-27	12766	8923	17364	268	Normal (pre-intervention)
2021-05-28	13041	9041	18084	275	Normal (pre-intervention)
2021-05-29	13341	9126	18629	300	Normal (pre-intervention)
2021-05-30	13641	9179	19327	300	Normal (pre-intervention)
2021-05-31	13945	9193	19721	304	Normal (pre-intervention)
2021-06-01	14262	9367	20497	317	Normal (pre-intervention)
2021-06-02	14596	9449	21187	334	Normal (pre-intervention)
2021-06-03	14930	9533	21845	334	Normal (pre-intervention)
2021-06-04	15273	9590	22769	343	Normal (pre-intervention)
2021-06-05	15613	9606	23393	340	Normal (pre-intervention)
2021-06-06	15983	9702	24386	370	Normal (pre-intervention)
2021-06-07	16356	9817	24956	373	Normal (pre-intervention)
2021-06-08	16737	9889	26034	381	Normal (pre-intervention)
2021-06-09	17121	10074	26890	384	Normal (pre-intervention)
2021-06-10	17539	10146	28020	418	Normal (pre-intervention)
2021-06-11	17971	10228	28973	432	Normal (pre-intervention)
2021-06-12	18395	10421	29995	424	Normal (pre-intervention)
2021-06-13	18833	10536	31153	438	Normal (pre-intervention)
2021-06-14	19291	10605	32040	458	Normal (pre-intervention)
2021-06-15	19761	10705	33368	470	Normal (pre-intervention)
2021-06-16	20250	10873	34693	489	Normal (pre-intervention)
2021-06-17	20736	11019	35849	486	Normal (pre-intervention)
2021-06-18	21241	11144	37343	505	Normal (pre-intervention)
2021-06-19	21755	11316	38611	514	Normal (pre-intervention)
2021-06-20	22300	11219	40061	545	Normal (pre-intervention)
2021-06-21	22841	11512	41377	541	Normal (pre-intervention)
2021-06-22	23398	11436	42956	557	Normal (pre-intervention)
2021-06-23	23972	11702	44626	574	Normal (pre-intervention)
2021-06-24	24566	11555	46104	594	Normal (pre-intervention)
2021-06-25	25173	11826	47581	607	Normal (pre-intervention)
2021-06-26	25775	11985	49562	602	Normal (pre-intervention)
2021-06-27	26395	12053	51466	620	Normal (pre-intervention)
2021-06-28	27041	12084	53095	646	Normal (pre-intervention)
2021-06-29	27707	12271	55010	666	Normal (pre-intervention)
2021-06-30	28372	12473	57044	665	Normal (pre-intervention)
2021-07-01	29057	12426	59014	685	Normal (pre-intervention)
2021-07-02	29779	12777	60675	722	Normal (pre-intervention)
2021-07-03	30487	12837	62495	708	Normal (pre-intervention)
2021-07-04	31207	12845	64527	720	Normal (pre-intervention)
2021-07-05	31959	12927	66700	752	Normal (pre-intervention)
2021-07-06	32702	13148	68382	743	Normal (pre-intervention)
2021-07-07	33479	13328	70433	777	Normal (pre-intervention)
2021-07-08	34250	13398	73076	771	Normal (pre-intervention)
2021-07-09	35057	13619	75006	807	Normal (pre-intervention)
2021-07-10	35877	13877	77262	820	Normal (pre-intervention)
2021-07-11	36715	13730	80137	838	Normal (pre-intervention)
2021-07-12	37562	13886	81652	847	Normal (pre-intervention)
2021-07-13	38433	14028	83976	871	Normal (pre-intervention)
2021-07-14	39301	14237	85756	868	Normal (pre-intervention)
2021-07-15	40188	14317	89066	887	Normal (pre-intervention)
2021-07-16	41091	14447	91040	903	Normal (pre-intervention)
2021-07-17	42007	14739	93649	916	Normal (pre-intervention)
2021-07-18	42929	14689	96104	922	Normal (pre-intervention)
2021-07-19	43857	14883	98444	928	Normal (pre-intervention)
2021-07-20	44806	14921	101504	949	Normal (pre-intervention)
2021-07-21	45751	15056	104155	945	Normal (pre-intervention)
2021-07-22	46725	15312	106588	974	Normal (pre-intervention)
2021-07-23	47697	15883	109116	972	Normal (pre-intervention)
2021-07-24	48692	15704	112571	995	Normal (pre-intervention)
2021-07-25	49698	15860	115020	1006	Normal (pre-intervention)
2021-07-26	50713	15888	117967	1015	Normal (pre-intervention)
2021-07-27	51729	16056	121247	1016	Normal (pre-intervention)
2021-07-28	52761	16128	122875	1032	Normal (pre-intervention)
2021-07-29	53801	16209	125919	1040	Normal (pre-intervention)
2021-07-30	54835	16479	128121	1034	Normal (pre-intervention)
2021-07-31	55877	16576	131402	1042	Normal (pre-intervention)
2021-08-01	56941	16468	133691	1064	Normal (pre-intervention)
2021-08-02	57975	16579	136357	1034	Normal (pre-intervention)
