date	value	lower_ci	upper_ci	incidence	scenario
2021-05-10	20032	17503	22796	NA	Soc. Dist. + Travel Ban
2021-05-11	20323	17314	23554	291	Soc. Dist. + Travel Ban
2021-05-12	20638	17254	24373	315	Soc. Dist. + Travel Ban
2021-05-13	20968	17135	25179	330	Soc. Dist. + Travel Ban
2021-05-14	21326	17088	26120	358	Soc. Dist. + Travel Ban
2021-05-15	21679	17003	27010	353	Soc. Dist. + Travel Ban
2021-05-16	22052	17063	27827	373	Soc. Dist. + Travel Ban
2021-05-17	22413	16847	28746	361	Soc. Dist. + Travel Ban
2021-05-18	22806	16946	29839	393	Soc. Dist. + Travel Ban
2021-05-19	23202	17040	30774	396	Soc. Dist. + Travel Ban
2021-05-20	23569	16965	31568	367	Soc. Dist. + Travel Ban
2021-05-21	23992	17044	32802	423	Soc. Dist. + Travel Ban
2021-05-22	24443	17278	33841	451	Soc. Dist. + Travel Ban
2021-05-23	24900	17119	35226	457	Soc. Dist. + Travel Ban
2021-05-24	25372	17188	36189	472	Soc. Dist. + Travel Ban
2021-05-25	25852	17408	37358	480	Soc. Dist. + Travel Ban
2021-05-26	26367	17566	38882	515	Soc. Dist. + Travel Ban
2021-05-27	26886	17542	40252	519	Soc. Dist. + Travel Ban
2021-05-28	27438	17632	41591	552	Soc. Dist. + Travel Ban
2021-05-29	27960	17545	42781	522	Soc. Dist. + Travel Ban
2021-05-30	28528	17607	44186	568	Soc. Dist. + Travel Ban
2021-05-31	29140	17758	46175	612	Soc. Dist. + Travel Ban
2021-06-01	29732	17669	47886	592	Soc. Dist. + Travel Ban
2021-06-02	30385	18018	49642	653	Soc. Dist. + Travel Ban
2021-06-03	31064	17955	51749	679	Soc. Dist. + Travel Ban
2021-06-04	31783	17959	53359	719	Soc. Dist. + Travel Ban
2021-06-05	32507	18131	55105	724	Soc. Dist. + Travel Ban
2021-06-06	33289	18367	58162	782	Soc. Dist. + Travel Ban
2021-06-07	34038	18438	60622	749	Soc. Dist. + Travel Ban
2021-06-08	34868	18566	63694	830	Soc. Dist. + Travel Ban
2021-06-09	35749	18377	65862	881	Soc. Dist. + Travel Ban
2021-06-10	36643	18532	69297	894	Soc. Dist. + Travel Ban
2021-06-11	37561	18686	71437	918	Soc. Dist. + Travel Ban
2021-06-12	38502	18615	75002	941	Soc. Dist. + Travel Ban
2021-06-13	39449	18557	76550	947	Soc. Dist. + Travel Ban
2021-06-14	40465	18652	80766	1016	Soc. Dist. + Travel Ban
2021-06-15	41508	18748	84743	1043	Soc. Dist. + Travel Ban
2021-06-16	42578	19051	89575	1070	Soc. Dist. + Travel Ban
2021-06-17	43735	18718	92143	1157	Soc. Dist. + Travel Ban
2021-06-18	44911	18977	96644	1176	Soc. Dist. + Travel Ban
2021-06-19	46139	19116	100333	1228	Soc. Dist. + Travel Ban
2021-06-20	47410	19363	104925	1271	Soc. Dist. + Travel Ban
2021-06-21	48732	19328	112255	1322	Soc. Dist. + Travel Ban
2021-06-22	50093	19436	114846	1361	Soc. Dist. + Travel Ban
2021-06-23	51527	19961	121456	1434	Soc. Dist. + Travel Ban
2021-06-24	53031	19923	127785	1504	Soc. Dist. + Travel Ban
2021-06-25	54611	20067	133329	1580	Soc. Dist. + Travel Ban
2021-06-26	56211	20228	138820	1600	Soc. Dist. + Travel Ban
2021-06-27	57919	20250	145960	1708	Soc. Dist. + Travel Ban
2021-06-28	59668	20374	152154	1749	Soc. Dist. + Travel Ban
2021-06-29	61517	20178	160307	1849	Soc. Dist. + Travel Ban
2021-06-30	63383	20741	166162	1866	Soc. Dist. + Travel Ban
2021-07-01	65365	20516	175897	1982	Soc. Dist. + Travel Ban
2021-07-02	67458	20741	185619	2093	Soc. Dist. + Travel Ban
2021-07-03	69565	21105	193975	2107	Soc. Dist. + Travel Ban
2021-07-04	71770	21276	203509	2205	Soc. Dist. + Travel Ban
2021-07-05	74058	21295	213331	2288	Soc. Dist. + Travel Ban
2021-07-06	76450	20976	225367	2392	Soc. Dist. + Travel Ban
2021-07-07	78924	21301	235252	2474	Soc. Dist. + Travel Ban
2021-07-08	81496	21420	247376	2572	Soc. Dist. + Travel Ban
2021-07-09	84152	21546	259467	2656	Soc. Dist. + Travel Ban
2021-07-10	86853	21524	269795	2701	Soc. Dist. + Travel Ban
