date	value	lower_ci	upper_ci	incidence	scenario
2021-05-10	36353	32965	39918	NA	Moderate return
2021-05-11	37097	33040	41447	744	Moderate return
2021-05-12	37891	33156	43034	794	Moderate return
2021-05-13	38741	33338	44730	850	Moderate return
2021-05-14	39654	33530	46548	913	Moderate return
2021-05-15	40637	33806	48495	983	Moderate return
2021-05-16	41685	34086	50637	1048	Moderate return
2021-05-17	42812	34409	52908	1127	Moderate return
2021-05-18	44021	34743	55409	1209	Moderate return
2021-05-19	45317	35105	58055	1296	Moderate return
2021-05-20	46710	35505	60970	1393	Moderate return
2021-05-21	48200	35926	64106	1490	Moderate return
2021-05-22	49805	36397	67573	1605	Moderate return
2021-05-23	51529	36889	71322	1724	Moderate return
2021-05-24	53379	37414	75414	1850	Moderate return
2021-05-25	55365	37972	79894	1986	Moderate return
2021-05-26	57499	38542	84694	2134	Moderate return
2021-05-27	59795	39125	90004	2296	Moderate return
2021-05-28	62257	39781	95765	2462	Moderate return
2021-05-29	64905	40468	102111	2648	Moderate return
2021-05-30	67751	41174	108919	2846	Moderate return
2021-05-31	70802	41899	116485	3051	Moderate return
2021-06-01	74085	42651	124622	3283	Moderate return
2021-06-02	77611	43463	133676	3526	Moderate return
2021-06-03	81393	44244	143441	3782	Moderate return
2021-06-04	85455	45189	154175	4062	Moderate return
2021-06-05	89814	46068	165691	4359	Moderate return
2021-06-06	94487	46991	178515	4673	Moderate return
2021-06-07	99503	47949	192562	5016	Moderate return
2021-06-08	104886	48972	207424	5383	Moderate return
2021-06-09	110650	50085	223886	5764	Moderate return
2021-06-10	116820	51144	241379	6170	Moderate return
2021-06-11	123424	52337	260636	6604	Moderate return
2021-06-12	130490	53478	281423	7066	Moderate return
2021-06-13	138053	54748	304018	7563	Moderate return
2021-06-14	146131	56045	328146	8078	Moderate return
2021-06-15	154750	57358	353966	8619	Moderate return
2021-06-16	163940	58730	382299	9190	Moderate return
2021-06-17	173721	60180	412301	9781	Moderate return
2021-06-18	184121	61589	444175	10400	Moderate return
2021-06-19	195174	63175	478869	11053	Moderate return
2021-06-20	206890	64710	515161	11716	Moderate return
2021-06-21	219301	66368	553705	12411	Moderate return
2021-06-22	232426	68021	594906	13125	Moderate return
2021-06-23	246291	69773	638676	13865	Moderate return
2021-06-24	260906	71636	684061	14615	Moderate return
2021-06-25	276284	73494	731976	15378	Moderate return
2021-06-26	292439	75502	781618	16155	Moderate return
2021-06-27	309365	77380	833281	16926	Moderate return
2021-06-28	327080	79519	887142	17715	Moderate return
2021-06-29	345585	81750	942842	18505	Moderate return
2021-06-30	364851	83900	999471	19266	Moderate return
2021-07-01	384896	86184	1059209	20045	Moderate return
2021-07-02	405698	88540	1118754	20802	Moderate return
2021-07-03	427233	90812	1179558	21535	Moderate return
2021-07-04	449495	93472	1241402	22262	Moderate return
2021-07-05	472438	95983	1303678	22943	Moderate return
2021-07-06	496057	98770	1365809	23619	Moderate return
2021-07-07	520312	101442	1429288	24255	Moderate return
2021-07-08	545173	104269	1492495	24861	Moderate return
2021-07-09	570592	107239	1555992	25419	Moderate return
2021-07-10	596530	110214	1619671	25938	Moderate return
2021-07-11	622941	113308	1682287	26411	Moderate return
2021-07-12	649788	116389	1744305	26847	Moderate return
2021-07-13	677016	119546	1805879	27228	Moderate return
2021-07-14	704583	123009	1865861	27567	Moderate return
2021-07-15	732446	126649	1925359	27863	Moderate return
2021-07-16	760556	129848	1982464	28110	Moderate return
2021-07-17	788849	133406	2037841	28293	Moderate return
2021-07-18	817304	137118	2093779	28455	Moderate return
2021-07-19	845866	140885	2148872	28562	Moderate return
2021-07-20	874477	144700	2202922	28611	Moderate return
2021-07-21	903093	148700	2254327	28616	Moderate return
2021-07-22	931679	152677	2304565	28586	Moderate return
2021-07-23	960196	157001	2353046	28517	Moderate return
2021-07-24	988584	161045	2400029	28388	Moderate return
2021-07-25	1016821	165353	2446252	28237	Moderate return
2021-07-26	1044880	169828	2489948	28059	Moderate return
2021-07-27	1072701	174185	2530405	27821	Moderate return
2021-07-28	1100265	178841	2570745	27564	Moderate return
2021-07-29	1127560	183587	2608934	27295	Moderate return
2021-07-30	1154526	188227	2647382	26966	Moderate return
2021-07-31	1181171	193547	2683914	26645	Moderate return
2021-08-01	1207447	198473	2719190	26276	Moderate return
2021-08-02	1233329	203992	2750308	25882	Moderate return
2021-08-03	1258819	209105	2781536	25490	Moderate return
2021-08-04	1283889	214671	2811914	25070	Moderate return
2021-08-05	1308538	220011	2841080	24649	Moderate return
2021-08-06	1332733	225147	2870121	24195	Moderate return
2021-08-07	1356473	230580	2894967	23740	Moderate return
2021-08-08	1379744	236370	2921008	23271	Moderate return
2021-08-09	1402551	242272	2945050	22807	Moderate return
2021-08-10	1424883	247652	2966158	22332	Moderate return
2021-08-11	1446728	253298	2988223	21845	Moderate return
2021-08-12	1468088	259366	3009209	21360	Moderate return
2021-08-13	1488961	265490	3029406	20873	Moderate return
2021-08-14	1509343	271390	3048027	20382	Moderate return
2021-08-15	1529236	277382	3065605	19893	Moderate return
2021-08-16	1548652	283792	3080830	19416	Moderate return
2021-08-17	1567578	289664	3096603	18926	Moderate return
2021-08-18	1586032	295694	3110585	18454	Moderate return
2021-08-19	1604026	301632	3123859	17994	Moderate return
2021-08-20	1621528	307909	3135658	17502	Moderate return
2021-08-21	1638591	314085	3147836	17063	Moderate return
2021-08-22	1655175	320577	3159030	16584	Moderate return
2021-08-23	1671303	327334	3168993	16128	Moderate return
2021-08-24	1686994	333022	3178874	15691	Moderate return
2021-08-25	1702259	339316	3188142	15265	Moderate return
2021-08-26	1717082	345413	3196276	14823	Moderate return
2021-08-27	1731483	352379	3204755	14401	Moderate return
2021-08-28	1745476	358960	3211488	13993	Moderate return
2021-08-29	1759069	366093	3218046	13593	Moderate return
2021-08-30	1772276	373403	3224466	13207	Moderate return
2021-08-31	1785078	380065	3228734	12802	Moderate return
2021-09-01	1797511	387540	3233727	12433	Moderate return
2021-09-02	1809571	394226	3237753	12060	Moderate return
2021-09-03	1821274	402043	3241789	11703	Moderate return
2021-09-04	1832615	408950	3245499	11341	Moderate return
2021-09-05	1843615	416238	3247644	11000	Moderate return
2021-09-06	1854277	423456	3250291	10662	Moderate return
2021-09-07	1864618	430938	3252564	10341	Moderate return
2021-09-08	1874650	439481	3254042	10032	Moderate return
2021-09-09	1884377	446544	3255926	9727	Moderate return
2021-09-10	1893803	453959	3257554	9426	Moderate return
2021-09-11	1902926	461561	3258474	9123	Moderate return
2021-09-12	1911770	468759	3258541	8844	Moderate return
2021-09-13	1920331	476695	3259353	8561	Moderate return
2021-09-14	1928634	484804	3259077	8303	Moderate return
2021-09-15	1936686	493097	3258668	8052	Moderate return
2021-09-16	1944479	501608	3258661	7793	Moderate return
2021-09-17	1952035	509835	3257299	7556	Moderate return
2021-09-18	1959350	518185	3256510	7315	Moderate return
2021-09-19	1966428	526801	3254862	7078	Moderate return
2021-09-20	1973290	534957	3252731	6862	Moderate return
2021-09-21	1979938	543177	3250633	6648	Moderate return
2021-09-22	1986375	551939	3248509	6437	Moderate return
2021-09-23	1992612	560131	3245245	6237	Moderate return
2021-09-24	1998635	569433	3242759	6023	Moderate return
2021-09-25	2004481	576820	3239529	5846	Moderate return
2021-09-26	2010133	585780	3236685	5652	Moderate return
2021-09-27	2015599	593807	3233037	5466	Moderate return
2021-09-28	2020906	601966	3229840	5307	Moderate return
2021-09-29	2026043	611140	3226598	5137	Moderate return
2021-09-30	2031006	619385	3223099	4963	Moderate return
2021-10-01	2035829	627474	3219759	4823	Moderate return
2021-10-02	2040482	635968	3216190	4653	Moderate return
2021-10-03	2044984	644059	3212862	4502	Moderate return
2021-10-04	2049348	653118	3209189	4364	Moderate return
2021-10-05	2053578	661784	3204988	4230	Moderate return
2021-10-06	2057673	670276	3200964	4095	Moderate return
2021-10-07	2061641	677402	3197151	3968	Moderate return
2021-10-08	2065475	685122	3192829	3834	Moderate return
2021-10-09	2069190	692653	3189395	3715	Moderate return
2021-10-10	2072781	700677	3185294	3591	Moderate return
2021-10-11	2076264	708008	3181073	3483	Moderate return
