date	value	lower_ci	upper_ci	incidence	scenario
2021-05-10	10277	9333	11275	NA	Cautious return
2021-05-11	10494	9382	11701	217	Cautious return
2021-05-12	10719	9468	12054	225	Cautious return
2021-05-13	10943	9474	12494	224	Cautious return
2021-05-14	11175	9518	12926	232	Cautious return
2021-05-15	11410	9633	13388	235	Cautious return
2021-05-16	11654	9656	13827	244	Cautious return
2021-05-17	11899	9745	14196	245	Cautious return
2021-05-18	12150	9832	14699	251	Cautious return
2021-05-19	12413	9911	15191	263	Cautious return
2021-05-20	12680	10008	15643	267	Cautious return
2021-05-21	12946	10106	16057	266	Cautious return
2021-05-22	13227	10169	16644	281	Cautious return
2021-05-23	13525	10329	17145	298	Cautious return
2021-05-24	13822	10401	17753	297	Cautious return
2021-05-25	14120	10460	18237	298	Cautious return
2021-05-26	14431	10628	18805	311	Cautious return
2021-05-27	14752	10813	19497	321	Cautious return
2021-05-28	15087	10889	20071	335	Cautious return
2021-05-29	15427	10944	20719	340	Cautious return
2021-05-30	15772	11079	21287	345	Cautious return
2021-05-31	16136	11384	21881	364	Cautious return
2021-06-01	16492	11348	22533	356	Cautious return
2021-06-02	16868	11589	23222	376	Cautious return
2021-06-03	17249	11728	24086	381	Cautious return
2021-06-04	17657	12049	24681	408	Cautious return
2021-06-05	18056	12085	25612	399	Cautious return
2021-06-06	18473	12260	26380	417	Cautious return
2021-06-07	18901	12386	27187	428	Cautious return
2021-06-08	19333	12620	27997	432	Cautious return
2021-06-09	19786	12742	28874	453	Cautious return
2021-06-10	20240	12962	29855	454	Cautious return
2021-06-11	20713	13018	31022	473	Cautious return
2021-06-12	21198	13297	31649	485	Cautious return
2021-06-13	21693	13447	32448	495	Cautious return
2021-06-14	22207	13573	33452	514	Cautious return
2021-06-15	22727	13803	34700	520	Cautious return
2021-06-16	23263	13960	35658	536	Cautious return
2021-06-17	23806	14333	36842	543	Cautious return
2021-06-18	24376	14339	38287	570	Cautious return
2021-06-19	24955	14567	39168	579	Cautious return
2021-06-20	25555	14805	40548	600	Cautious return
2021-06-21	26171	15052	41691	616	Cautious return
2021-06-22	26800	15283	42850	629	Cautious return
2021-06-23	27454	15468	44697	654	Cautious return
2021-06-24	28134	15745	46267	680	Cautious return
2021-06-25	28815	15961	47558	681	Cautious return
2021-06-26	29512	16171	49328	697	Cautious return
2021-06-27	30219	16421	51062	707	Cautious return
2021-06-28	30946	16772	52381	727	Cautious return
2021-06-29	31687	16899	53714	741	Cautious return
2021-06-30	32443	17256	55665	756	Cautious return
2021-07-01	33226	17432	57143	783	Cautious return
2021-07-02	34016	17762	59118	790	Cautious return
2021-07-03	34833	17875	60906	817	Cautious return
2021-07-04	35664	18381	62845	831	Cautious return
2021-07-05	36527	18416	64655	863	Cautious return
2021-07-06	37400	18796	67067	873	Cautious return
2021-07-07	38319	19370	68892	919	Cautious return
2021-07-08	39240	19412	71185	921	Cautious return
2021-07-09	40194	19868	73209	954	Cautious return
2021-07-10	41158	20061	75841	964	Cautious return
2021-07-11	42121	20405	77866	963	Cautious return
2021-07-12	43133	20517	80380	1012	Cautious return
2021-07-13	44176	20907	82509	1043	Cautious return
2021-07-14	45229	21072	85006	1053	Cautious return
2021-07-15	46308	21574	88058	1079	Cautious return
2021-07-16	47420	21798	90863	1112	Cautious return
2021-07-17	48542	22182	93124	1122	Cautious return
2021-07-18	49693	22412	96351	1151	Cautious return
2021-07-19	50866	22606	98672	1173	Cautious return
2021-07-20	52053	22981	102343	1187	Cautious return
2021-07-21	53261	23353	105521	1208	Cautious return
2021-07-22	54497	23883	108298	1236	Cautious return
2021-07-23	55770	24072	111181	1273	Cautious return
2021-07-24	57075	24384	114068	1305	Cautious return
2021-07-25	58411	24918	117962	1336	Cautious return
2021-07-26	59763	25191	120932	1352	Cautious return
2021-07-27	61128	25568	125173	1365	Cautious return
2021-07-28	62543	26008	128474	1415	Cautious return
2021-07-29	63989	26420	131937	1446	Cautious return
2021-07-30	65468	26627	135212	1479	Cautious return
2021-07-31	66966	27191	139061	1498	Cautious return
2021-08-01	68479	27563	142273	1513	Cautious return
2021-08-02	70039	27679	147165	1560	Cautious return
2021-08-03	71600	27727	151741	1561	Cautious return
2021-08-04	73196	28317	155419	1596	Cautious return
2021-08-05	74812	28787	160164	1616	Cautious return
2021-08-06	76464	29155	163652	1652	Cautious return
2021-08-07	78154	29341	167884	1690	Cautious return
2021-08-08	79860	29896	172268	1706	Cautious return
2021-08-09	81576	30058	177891	1716	Cautious return
2021-08-10	83318	30502	181554	1742	Cautious return
2021-08-11	85093	31046	186440	1775	Cautious return
2021-08-12	86881	31903	191157	1788	Cautious return
2021-08-13	88676	31631	195303	1795	Cautious return
2021-08-14	90528	32589	200456	1852	Cautious return
2021-08-15	92384	32550	204761	1856	Cautious return
2021-08-16	94289	33321	209447	1905	Cautious return
2021-08-17	96211	33928	214964	1922	Cautious return
2021-08-18	98166	34189	219756	1955	Cautious return
2021-08-19	100118	34925	225522	1952	Cautious return
2021-08-20	102090	34869	230223	1972	Cautious return
2021-08-21	104103	35684	235164	2013	Cautious return
2021-08-22	106133	35750	239729	2030	Cautious return
2021-08-23	108180	36484	244360	2047	Cautious return
2021-08-24	110261	37170	250440	2081	Cautious return
2021-08-25	112355	37750	256171	2094	Cautious return
2021-08-26	114473	37892	260395	2118	Cautious return
2021-08-27	116599	38142	266001	2126	Cautious return
2021-08-28	118742	38882	270920	2143	Cautious return
2021-08-29	120920	39299	276325	2178	Cautious return
2021-08-30	123114	40075	280499	2194	Cautious return
2021-08-31	125325	40456	287551	2211	Cautious return
2021-09-01	127543	40953	291607	2218	Cautious return
2021-09-02	129749	41538	297386	2206	Cautious return
2021-09-03	131980	41901	303342	2231	Cautious return
2021-09-04	134229	42723	307135	2249	Cautious return
2021-09-05	136484	42604	313065	2255	Cautious return
2021-09-06	138738	43277	318726	2254	Cautious return
2021-09-07	141026	43627	322531	2288	Cautious return
2021-09-08	143346	44272	329513	2320	Cautious return
2021-09-09	145642	44585	333537	2296	Cautious return
2021-09-10	147953	44846	338014	2311	Cautious return
2021-09-11	150265	44801	344415	2312	Cautious return
2021-09-12	152595	45376	349141	2330	Cautious return
2021-09-13	154919	46160	352953	2324	Cautious return
2021-09-14	157262	46514	357805	2343	Cautious return
2021-09-15	159590	47259	362912	2328	Cautious return
2021-09-16	161934	47688	366772	2344	Cautious return
2021-09-17	164301	47521	372726	2367	Cautious return
2021-09-18	166645	48228	376478	2344	Cautious return
2021-09-19	168994	49035	381722	2349	Cautious return
2021-09-20	171342	49356	384792	2348	Cautious return
2021-09-21	173671	49526	390159	2329	Cautious return
2021-09-22	176030	50267	393663	2359	Cautious return
2021-09-23	178368	50700	395760	2338	Cautious return
