date	value	lower_ci	upper_ci	incidence	scenario
2021-05-10	10270	9333	11239	NA	Soc. Dist. + Travel Ban
2021-05-11	10542	9436	11706	272	Soc. Dist. + Travel Ban
2021-05-12	10821	9526	12190	279	Soc. Dist. + Travel Ban
2021-05-13	11108	9621	12705	287	Soc. Dist. + Travel Ban
2021-05-14	11412	9845	13170	304	Soc. Dist. + Travel Ban
2021-05-15	11722	9852	13768	310	Soc. Dist. + Travel Ban
2021-05-16	12051	10005	14290	329	Soc. Dist. + Travel Ban
2021-05-17	12398	10151	14817	347	Soc. Dist. + Travel Ban
2021-05-18	12762	10329	15456	364	Soc. Dist. + Travel Ban
2021-05-19	13138	10528	16053	376	Soc. Dist. + Travel Ban
2021-05-20	13529	10697	16755	391	Soc. Dist. + Travel Ban
2021-05-21	13926	10826	17505	397	Soc. Dist. + Travel Ban
2021-05-22	14350	11001	18192	424	Soc. Dist. + Travel Ban
2021-05-23	14800	11205	19033	450	Soc. Dist. + Travel Ban
2021-05-24	15253	11390	19787	453	Soc. Dist. + Travel Ban
2021-05-25	15731	11609	20616	478	Soc. Dist. + Travel Ban
2021-05-26	16241	11814	21551	510	Soc. Dist. + Travel Ban
2021-05-27	16766	12047	22456	525	Soc. Dist. + Travel Ban
2021-05-28	17319	12323	23471	553	Soc. Dist. + Travel Ban
2021-05-29	17904	12575	24588	585	Soc. Dist. + Travel Ban
2021-05-30	18505	12949	25419	601	Soc. Dist. + Travel Ban
2021-05-31	19130	12998	26698	625	Soc. Dist. + Travel Ban
2021-06-01	19783	13292	27742	653	Soc. Dist. + Travel Ban
2021-06-02	20451	13538	29133	668	Soc. Dist. + Travel Ban
2021-06-03	21158	13875	30544	707	Soc. Dist. + Travel Ban
2021-06-04	21899	14196	31914	741	Soc. Dist. + Travel Ban
2021-06-05	22673	14511	33423	774	Soc. Dist. + Travel Ban
2021-06-06	23471	14790	35018	798	Soc. Dist. + Travel Ban
2021-06-07	24305	15177	36505	834	Soc. Dist. + Travel Ban
2021-06-08	25175	15635	38298	870	Soc. Dist. + Travel Ban
2021-06-09	26082	15987	40133	907	Soc. Dist. + Travel Ban
2021-06-10	27025	16273	41719	943	Soc. Dist. + Travel Ban
2021-06-11	28000	16533	43537	975	Soc. Dist. + Travel Ban
2021-06-12	29016	17007	45681	1016	Soc. Dist. + Travel Ban
2021-06-13	30076	17344	47872	1060	Soc. Dist. + Travel Ban
2021-06-14	31188	17715	49938	1112	Soc. Dist. + Travel Ban
2021-06-15	32344	18128	52438	1156	Soc. Dist. + Travel Ban
2021-06-16	33534	18607	55152	1190	Soc. Dist. + Travel Ban
2021-06-17	34783	19107	57483	1249	Soc. Dist. + Travel Ban
2021-06-18	36082	19501	60067	1299	Soc. Dist. + Travel Ban
2021-06-19	37428	19866	62718	1346	Soc. Dist. + Travel Ban
2021-06-20	38831	20485	65933	1403	Soc. Dist. + Travel Ban
2021-06-21	40303	20881	68925	1472	Soc. Dist. + Travel Ban
2021-06-22	41810	21398	72834	1507	Soc. Dist. + Travel Ban
2021-06-23	43372	21975	75323	1562	Soc. Dist. + Travel Ban
2021-06-24	44999	22614	78991	1627	Soc. Dist. + Travel Ban
2021-06-25	46682	22830	82887	1683	Soc. Dist. + Travel Ban
2021-06-26	48429	23506	86569	1747	Soc. Dist. + Travel Ban
2021-06-27	50260	24078	90294	1831	Soc. Dist. + Travel Ban
2021-06-28	52119	24464	94767	1859	Soc. Dist. + Travel Ban
2021-06-29	54053	25422	98830	1934	Soc. Dist. + Travel Ban
2021-06-30	56059	26061	103622	2006	Soc. Dist. + Travel Ban
2021-07-01	58142	26675	108563	2083	Soc. Dist. + Travel Ban
2021-07-02	60297	27283	113706	2155	Soc. Dist. + Travel Ban
2021-07-03	62516	27870	118144	2219	Soc. Dist. + Travel Ban
2021-07-04	64814	28477	123808	2298	Soc. Dist. + Travel Ban
2021-07-05	67194	29355	129823	2380	Soc. Dist. + Travel Ban
2021-07-06	69627	30211	134651	2433	Soc. Dist. + Travel Ban
2021-07-07	72136	30821	140449	2509	Soc. Dist. + Travel Ban
2021-07-08	74726	31675	146067	2590	Soc. Dist. + Travel Ban
2021-07-09	77382	32415	152820	2656	Soc. Dist. + Travel Ban
2021-07-10	80123	32999	159372	2741	Soc. Dist. + Travel Ban
2021-07-11	82929	33950	165631	2806	Soc. Dist. + Travel Ban
2021-07-12	85814	34665	172680	2885	Soc. Dist. + Travel Ban
2021-07-13	88767	35337	179576	2953	Soc. Dist. + Travel Ban
2021-07-14	91799	36074	185116	3032	Soc. Dist. + Travel Ban
2021-07-15	94915	37262	192985	3116	Soc. Dist. + Travel Ban
2021-07-16	98091	38153	199325	3176	Soc. Dist. + Travel Ban
2021-07-17	101357	38992	205845	3266	Soc. Dist. + Travel Ban
2021-07-18	104687	40208	212602	3330	Soc. Dist. + Travel Ban
2021-07-19	108081	40735	219713	3394	Soc. Dist. + Travel Ban
