date	value	lower_ci	upper_ci	incidence	scenario
2021-05-11	1332934	1243185	1428024	NA	No intervention
2021-05-12	1360837	1245684	1477496	27903	No intervention
2021-05-13	1389803	1260312	1523240	28966	No intervention
2021-05-14	1420261	1269998	1575401	30458	No intervention
2021-05-15	1452613	1280736	1630874	32352	No intervention
2021-05-16	1487892	1300293	1682026	35279	No intervention
2021-05-17	1525452	1310502	1747163	37560	No intervention
2021-05-18	1566311	1327539	1824059	40859	No intervention
2021-05-19	1608571	1350020	1903498	42260	No intervention
2021-05-20	1654099	1361080	1980177	45528	No intervention
2021-05-21	1702720	1379859	2064669	48621	No intervention
2021-05-22	1754452	1403103	2164178	51732	No intervention
2021-05-23	1808755	1422159	2248207	54303	No intervention
2021-05-24	1866838	1448185	2361487	58083	No intervention
2021-05-25	1929264	1476255	2467327	62426	No intervention
2021-05-26	1995978	1500159	2606210	66714	No intervention
2021-05-27	2066437	1530372	2722548	70459	No intervention
2021-05-28	2139747	1556900	2881171	73310	No intervention
2021-05-29	2218489	1586542	3024207	78742	No intervention
2021-05-30	2301357	1607553	3179964	82868	No intervention
2021-05-31	2390495	1634516	3349279	89138	No intervention
2021-06-01	2484349	1673346	3529881	93854	No intervention
2021-06-02	2585372	1707609	3766085	101023	No intervention
2021-06-03	2691008	1748717	3946096	105636	No intervention
2021-06-04	2802027	1790734	4165586	111019	No intervention
2021-06-05	2920775	1826588	4429523	118748	No intervention
2021-06-06	3047123	1867520	4694155	126348	No intervention
2021-06-07	3181261	1906793	4930055	134138	No intervention
2021-06-08	3321769	1952065	5278466	140508	No intervention
2021-06-09	3470170	1991265	5579233	148401	No intervention
2021-06-10	3627585	2048049	5933066	157415	No intervention
2021-06-11	3792978	2082776	6294898	165393	No intervention
2021-06-12	3968419	2107567	6679075	175441	No intervention
2021-06-13	4152233	2189543	7046439	183814	No intervention
2021-06-14	4347157	2234084	7442384	194924	No intervention
2021-06-15	4552435	2300252	7897904	205278	No intervention
2021-06-16	4766758	2372852	8375199	214323	No intervention
2021-06-17	4993346	2438163	8823070	226588	No intervention
2021-06-18	5229929	2489876	9368971	236583	No intervention
2021-06-19	5476752	2552204	9815792	246823	No intervention
2021-06-20	5736131	2613175	10476591	259379	No intervention
2021-06-21	6009043	2676988	11056611	272912	No intervention
2021-06-22	6292555	2774268	11646802	283512	No intervention
2021-06-23	6586870	2849954	12235661	294315	No intervention
2021-06-24	6892246	2909376	12902960	305376	No intervention
2021-06-25	7211997	3026035	13557312	319751	No intervention
2021-06-26	7543956	3102485	14319609	331959	No intervention
2021-06-27	7886883	3175164	14979783	342927	No intervention
2021-06-28	8242776	3280317	15848522	355893	No intervention
2021-06-29	8610436	3408709	16590997	367660	No intervention
2021-06-30	8987738	3487223	17353405	377302	No intervention
2021-07-01	9376328	3582163	18290122	388590	No intervention
