stat	value
thetaS_last_obs_p_mean	0.9751513
thetaI_last_obs_p_mean	0.004648132
thetaR_last_obs_p_mean	0.02020058
thetaS_last_obs_p_ci_low	0.9744657
thetaS_last_obs_p_ci_med	0.9751493
thetaS_last_obs_p_ci_up	0.9758467
thetaI_last_obs_p_ci_low	0.004358005
thetaI_last_obs_p_ci_med	0.004645592
thetaI_last_obs_p_ci_up	0.004966897
thetaR_last_obs_p_ci_low	0.01961235
thetaR_last_obs_p_ci_med	0.02019337
thetaR_last_obs_p_ci_up	0.02080857
R0_p_mean	1.55243
R0_p_ci_low	1.302687
R0_p_ci_med	1.521332
R0_p_ci_up	1.99234
gamma_p_mean	0.09472893
gamma_p_ci_low	0.05286266
gamma_p_ci_med	0.09508456
gamma_p_ci_up	0.1339567
beta_p_mean	0.1443305
beta_p_ci_low	0.09806086
beta_p_ci_med	0.1447416
beta_p_ci_up	0.1880192
incidence_mean	0.5439118
incidence_ci_low	0.3419745
incidence_ci_median	0.5437026
incidence_ci_up	0.736559
thetaI_tp1_mean	0.04040191
thetaI_tp1_ci_low	0.01605138
thetaI_tp1_ci_med	0.03798358
thetaI_tp1_ci_up	0.07955272
thetaR_tp1_mean	0.1085016
thetaR_tp1_ci_low	0.05791377
thetaR_tp1_ci_med	0.1047169
thetaR_tp1_ci_up	0.1785915
Y_tp1_mean	0.04040988
Y_tp1_ci_low	0.01617667
Y_tp1_ci_med	0.03813782
Y_tp1_ci_up	0.07961828
R_tp1_mean	0.1085116
R_tp1_ci_low	0.05755869
R_tp1_ci_med	0.1044931
R_tp1_ci_up	0.1785095
thetaI_tp2_mean	0.06410402
thetaI_tp2_ci_low	0.02574998
thetaI_tp2_ci_med	0.05906887
thetaI_tp2_ci_up	0.133185
thetaR_tp2_mean	0.274779
thetaR_tp2_ci_low	0.1290702
thetaR_tp2_ci_med	0.267989
thetaR_tp2_ci_up	0.4460451
Y_tp2_mean	0.06411111
Y_tp2_ci_low	0.02591965
Y_tp2_ci_med	0.05918766
Y_tp2_ci_up	0.1329897
R_tp2_mean	0.2747586
R_tp2_ci_low	0.1282889
R_tp2_ci_med	0.2681825
R_tp2_ci_up	0.4459079
thetaR_max_mean	0.5343455
thetaR_max_ci_low	0.3328074
thetaR_max_ci_med	0.5356022
thetaR_max_ci_up	0.7210513
cumInf_mean	0.5549258
cumInf_ci_low	0.3535081
cumInf_ci_med	0.5545754
cumInf_ci_up	0.7535922
dthetaI_tp1_date	07/02/21
first_tp_mean	07/03/21
first_tp_ci_low	05/05/21
first_tp_ci_med	07/04/21
first_tp_ci_up	07/29/21
dthetaI_tp2_date	08/04/21
second_tp_mean	08/04/21
second_tp_ci_low	07/08/21
second_tp_ci_med	08/05/21
second_tp_ci_up	09/07/21
end_p_mean	10/12/21
end_p_ci_low	10/12/21
end_p_ci_med	10/12/21
end_p_ci_up	10/12/21
begin_str	03/27/2021
