stat	value
thetaS_last_obs_p_mean	0.9929953
thetaI_last_obs_p_mean	0.001633607
thetaR_last_obs_p_mean	0.005371092
thetaS_last_obs_p_ci_low	0.9926428
thetaS_last_obs_p_ci_med	0.9929963
thetaS_last_obs_p_ci_up	0.9933412
thetaI_last_obs_p_ci_low	0.001464513
thetaI_last_obs_p_ci_med	0.001631947
thetaI_last_obs_p_ci_up	0.001812636
thetaR_last_obs_p_ci_low	0.005074551
thetaR_last_obs_p_ci_med	0.005370093
thetaR_last_obs_p_ci_up	0.005672135
R0_p_mean	2.334399
R0_p_ci_low	1.493255
R0_p_ci_med	2.190316
R0_p_ci_up	4.022387
gamma_p_mean	0.06039503
gamma_p_ci_low	0.02164132
gamma_p_ci_med	0.05730768
gamma_p_ci_up	0.1166421
beta_p_mean	0.129002
beta_p_ci_low	0.06936403
beta_p_ci_med	0.127436
beta_p_ci_up	0.1968817
incidence_mean	0.3906606
incidence_ci_low	0.03588236
incidence_ci_median	0.3804859
incidence_ci_up	0.8154497
thetaI_tp1_mean	0.04883647
thetaI_tp1_ci_low	0.002755146
thetaI_tp1_ci_med	0.03392365
thetaI_tp1_ci_up	0.1781493
thetaR_tp1_mean	0.08162943
thetaR_tp1_ci_low	0.01538756
thetaR_tp1_ci_med	0.06486702
thetaR_tp1_ci_up	0.2431577
Y_tp1_mean	0.04883855
Y_tp1_ci_low	0.002747693
Y_tp1_ci_med	0.03390739
Y_tp1_ci_up	0.1782151
R_tp1_mean	0.08163116
R_tp1_ci_low	0.01536
R_tp1_ci_med	0.06488939
R_tp1_ci_up	0.2430866
thetaI_tp2_mean	0.08448841
thetaI_tp2_ci_low	0.003818863
thetaI_tp2_ci_med	0.06742839
thetaI_tp2_ci_up	0.261807
thetaR_tp2_mean	0.2632051
thetaR_tp2_ci_low	0.02819655
thetaR_tp2_ci_med	0.2351691
thetaR_tp2_ci_up	0.6333696
Y_tp2_mean	0.08449026
Y_tp2_ci_low	0.003809983
Y_tp2_ci_med	0.06745499
Y_tp2_ci_up	0.2618727
R_tp2_mean	0.2632005
R_tp2_ci_low	0.02817046
R_tp2_ci_med	0.2352479
R_tp2_ci_up	0.6334013
thetaR_max_mean	0.3103969
thetaR_max_ci_low	0.03215514
thetaR_max_ci_med	0.2905707
thetaR_max_ci_up	0.6906473
cumInf_mean	0.3929759
cumInf_ci_low	0.03942236
cumInf_ci_med	0.382184
cumInf_ci_up	0.8188942
dthetaI_tp1_date	08/10/21
first_tp_mean	08/16/21
first_tp_ci_low	04/30/21
first_tp_ci_med	08/21/21
first_tp_ci_up	10/12/21
dthetaI_tp2_date	09/30/21
second_tp_mean	09/05/21
second_tp_ci_low	05/05/21
second_tp_ci_med	09/16/21
second_tp_ci_up	10/12/21
end_p_mean	10/11/21
end_p_ci_low	10/12/21
end_p_ci_med	10/12/21
end_p_ci_up	10/12/21
begin_str	03/27/2021
