stat	value
thetaS_last_obs_p_mean	0.9837416
thetaI_last_obs_p_mean	0.002746639
thetaR_last_obs_p_mean	0.01351173
thetaS_last_obs_p_ci_low	0.9832257
thetaS_last_obs_p_ci_med	0.9837416
thetaS_last_obs_p_ci_up	0.9842561
thetaI_last_obs_p_ci_low	0.002537633
thetaI_last_obs_p_ci_med	0.002745394
thetaI_last_obs_p_ci_up	0.002962281
thetaR_last_obs_p_ci_low	0.01304253
thetaR_last_obs_p_ci_med	0.01351151
thetaR_last_obs_p_ci_up	0.0139821
R0_p_mean	1.457028
R0_p_ci_low	1.150285
R0_p_ci_med	1.407392
R0_p_ci_up	2.065846
gamma_p_mean	0.07781305
gamma_p_ci_low	0.03056907
gamma_p_ci_med	0.07750893
gamma_p_ci_up	0.127159
beta_p_mean	0.10933
beta_p_ci_low	0.05657807
beta_p_ci_med	0.1092276
beta_p_ci_up	0.1628215
incidence_mean	0.3263658
incidence_ci_low	0.06987824
incidence_ci_median	0.3207444
incidence_ci_up	0.6233943
thetaI_tp1_mean	0.0275476
thetaI_tp1_ci_low	0.005102807
thetaI_tp1_ci_med	0.02311737
thetaI_tp1_ci_up	0.07536211
thetaR_tp1_mean	0.08561534
thetaR_tp1_ci_low	0.02956287
thetaR_tp1_ci_med	0.07722727
thetaR_tp1_ci_up	0.1893796
Y_tp1_mean	0.02754766
Y_tp1_ci_low	0.005082028
Y_tp1_ci_med	0.02310869
Y_tp1_ci_up	0.0753513
R_tp1_mean	0.08561306
R_tp1_ci_low	0.02956081
R_tp1_ci_med	0.07720878
R_tp1_ci_up	0.1893576
thetaI_tp2_mean	0.04538766
thetaI_tp2_ci_low	0.007227466
thetaI_tp2_ci_med	0.03725589
thetaI_tp2_ci_up	0.1317253
thetaR_tp2_mean	0.2353682
thetaR_tp2_ci_low	0.05472193
thetaR_tp2_ci_med	0.2211733
thetaR_tp2_ci_up	0.4908672
Y_tp2_mean	0.04538893
Y_tp2_ci_low	0.007229038
Y_tp2_ci_med	0.03726963
Y_tp2_ci_up	0.1316887
R_tp2_mean	0.235368
R_tp2_ci_low	0.05472307
R_tp2_ci_med	0.2211994
R_tp2_ci_up	0.4906973
thetaR_max_mean	0.2911265
thetaR_max_ci_low	0.06636716
thetaR_max_ci_med	0.2829212
thetaR_max_ci_up	0.5637865
cumInf_mean	0.3343201
cumInf_ci_low	0.07938131
cumInf_ci_med	0.3282603
cumInf_ci_up	0.6315081
dthetaI_tp1_date	07/31/21
first_tp_mean	07/26/21
first_tp_ci_low	04/23/21
first_tp_ci_med	08/02/21
first_tp_ci_up	10/09/21
dthetaI_tp2_date	09/23/21
second_tp_mean	08/24/21
second_tp_ci_low	04/28/21
second_tp_ci_med	09/07/21
second_tp_ci_up	10/11/21
end_p_mean	10/11/21
end_p_ci_low	10/12/21
end_p_ci_med	10/12/21
end_p_ci_up	10/12/21
begin_str	03/27/2021
