date	value	incidence	scenario	lower_ci	upper_ci
2021-03-28	898815	NA	Observed	NA	NA
2021-03-29	899812	997	Observed	NA	NA
2021-03-30	900805	993	Observed	NA	NA
2021-03-31	901989	1184	Observed	NA	NA
2021-04-01	903260	1271	Observed	NA	NA
2021-04-02	904548	1288	Observed	NA	NA
2021-04-03	905946	1398	Observed	NA	NA
2021-04-04	907676	1730	Observed	NA	NA
2021-04-05	909002	1326	Observed	NA	NA
2021-04-06	910943	1941	Observed	NA	NA
2021-04-07	913274	2331	Observed	NA	NA
2021-04-08	915832	2558	Observed	NA	NA
2021-04-09	918597	2765	Observed	NA	NA
2021-04-10	921906	3309	Observed	NA	NA
2021-04-11	925401	3495	Observed	NA	NA
2021-04-12	928664	3263	Observed	NA	NA
2021-04-13	932892	4228	Observed	NA	NA
2021-04-14	937049	4157	Observed	NA	NA
2021-04-15	942135	5086	Observed	NA	NA
2021-04-16	948231	6096	Observed	NA	NA
2021-04-17	955455	7224	Observed	NA	NA
2021-04-18	962037	6582	Observed	NA	NA
2021-04-19	968000	5963	Observed	NA	NA
2021-04-20	976987	8987	Observed	NA	NA
2021-04-21	986703	9716	Observed	NA	NA
2021-04-22	997462	10759	Observed	NA	NA
2021-04-23	1009228	11766	Observed	NA	NA
2021-04-24	1020926	11698	Observed	NA	NA
2021-04-25	1033560	12634	Observed	NA	NA
2021-04-26	1043441	9881	Observed	NA	NA
2021-04-27	1054875	11434	Observed	NA	NA
2021-04-28	1069544	14669	Observed	NA	NA
2021-04-29	1084336	14792	Observed	NA	NA
2021-04-30	1101690	17354	Observed	NA	NA
2021-05-01	1121102	19412	Observed	NA	NA
2021-05-02	1145022	23920	Observed	NA	NA
2021-05-03	1163994	18972	Observed	NA	NA
2021-05-04	1184028	20034	Observed	NA	NA
2021-05-05	1206232	22204	Observed	NA	NA
2021-05-06	1228186	21954	Observed	NA	NA
2021-05-07	1245374	17188	Observed	NA	NA
2021-05-08	1265439	20065	Observed	NA	NA
2021-05-09	1287603	22164	Observed	NA	NA
2021-05-10	1302589	14986	Observed	NA	NA
2021-05-11	1322934	20345	Observed	NA	NA
2021-05-12	1350832	NA	No intervention	1261156	1442597
2021-05-13	1378197	27365	No intervention	1267203	1496328
2021-05-14	1407583	29386	No intervention	1272191	1544035
2021-05-15	1439133	31550	No intervention	1283563	1598526
2021-05-16	1472144	33011	No intervention	1297631	1653451
2021-05-17	1507019	34875	No intervention	1309000	1715768
2021-05-18	1542726	35707	No intervention	1331794	1774021
2021-05-19	1581231	38505	No intervention	1340457	1847680
2021-05-20	1622865	41634	No intervention	1358289	1911536
2021-05-21	1667393	44528	No intervention	1370668	1990637
2021-05-22	1714713	47320	No intervention	1392662	2081413
2021-05-23	1765244	50531	No intervention	1420889	2177560
2021-05-24	1817259	52015	No intervention	1440312	2272629
2021-05-25	1872656	55397	No intervention	1460071	2368855
2021-05-26	1932180	59524	No intervention	1489553	2473160
2021-05-27	1994371	62191	No intervention	1514269	2596822
2021-05-28	2061443	67072	No intervention	1538372	2720850
2021-05-29	2131540	70097	No intervention	1575224	2862848
2021-05-30	2205192	73652	No intervention	1597535	2986360
2021-05-31	2284441	79249	No intervention	1622082	3146532
2021-06-01	2368474	84033	No intervention	1654835	3320963
2021-06-02	2456737	88263	No intervention	1686122	3487502
2021-06-03	2550312	93575	No intervention	1712393	3704539
2021-06-04	2649102	98790	No intervention	1746516	3900278
2021-06-05	2753893	104791	No intervention	1785062	4113464
2021-06-06	2865241	111348	No intervention	1833021	4339384
2021-06-07	2981117	115876	No intervention	1864697	4599492
2021-06-08	3104664	123547	No intervention	1900606	4847926
2021-06-09	3235473	130809	No intervention	1948319	5096550
2021-06-10	3374841	139368	No intervention	1994879	5426742
2021-06-11	3519937	145096	No intervention	2036445	5714648
2021-06-12	3673038	153101	No intervention	2084296	6042565
2021-06-13	3835274	162236	No intervention	2132352	6391864
