stat	value
thetaS_last_obs_p_mean	0.9668339
thetaI_last_obs_p_mean	0.009817153
thetaR_last_obs_p_mean	0.0233489
thetaS_last_obs_p_ci_low	0.9660843
thetaS_last_obs_p_ci_med	0.9668341
thetaS_last_obs_p_ci_up	0.9676335
thetaI_last_obs_p_ci_low	0.009418601
thetaI_last_obs_p_ci_med	0.009810959
thetaI_last_obs_p_ci_up	0.01027727
thetaR_last_obs_p_ci_low	0.0226602
thetaR_last_obs_p_ci_med	0.02335147
thetaR_last_obs_p_ci_up	0.02400771
R0_p_mean	2.360986
R0_p_ci_low	1.832678
R0_p_ci_med	2.29406
R0_p_ci_up	3.246682
gamma_p_mean	0.04824905
gamma_p_ci_low	0.02754612
gamma_p_ci_med	0.04797679
gamma_p_ci_up	0.07139951
beta_p_mean	0.1102919
beta_p_ci_low	0.08229997
beta_p_ci_med	0.1106175
beta_p_ci_up	0.1385149
incidence_mean	0.8129055
incidence_ci_low	0.6927626
incidence_ci_median	0.8154912
incidence_ci_up	0.9117722
thetaI_tp1_mean	0.1170055
thetaI_tp1_ci_low	0.065942
thetaI_tp1_ci_med	0.1144946
thetaI_tp1_ci_up	0.1813398
thetaR_tp1_mean	0.1353545
thetaR_tp1_ci_low	0.07687336
thetaR_tp1_ci_med	0.1323202
thetaR_tp1_ci_up	0.2088926
Y_tp1_mean	0.1170014
Y_tp1_ci_low	0.06634732
Y_tp1_ci_med	0.1146517
Y_tp1_ci_up	0.1804415
R_tp1_mean	0.1353781
R_tp1_ci_low	0.0767339
R_tp1_ci_med	0.1324978
R_tp1_ci_up	0.209048
thetaI_tp2_mean	0.1915776
thetaI_tp2_ci_low	0.109439
thetaI_tp2_ci_med	0.1863357
thetaI_tp2_ci_up	0.3058149
thetaR_tp2_mean	0.3750737
thetaR_tp2_ci_low	0.2142989
thetaR_tp2_ci_med	0.3777893
thetaR_tp2_ci_up	0.5276295
Y_tp2_mean	0.1916004
Y_tp2_ci_low	0.1093066
Y_tp2_ci_med	0.1862238
Y_tp2_ci_up	0.3048331
R_tp2_mean	0.3750662
R_tp2_ci_low	0.2149137
R_tp2_ci_med	0.3776031
R_tp2_ci_up	0.5277297
thetaR_max_mean	0.7782512
thetaR_max_ci_low	0.6529572
thetaR_max_ci_med	0.7836686
thetaR_max_ci_up	0.8653765
cumInf_mean	0.8284664
cumInf_ci_low	0.7069104
cumInf_ci_med	0.8319642
cumInf_ci_up	0.929127
dthetaI_tp1_date	06/29/21
first_tp_mean	07/01/21
first_tp_ci_low	06/19/21
first_tp_ci_med	06/30/21
first_tp_ci_up	07/16/21
dthetaI_tp2_date	07/30/21
second_tp_mean	07/30/21
second_tp_ci_low	07/15/21
second_tp_ci_med	07/29/21
second_tp_ci_up	08/21/21
end_p_mean	10/13/21
end_p_ci_low	10/13/21
end_p_ci_med	10/13/21
end_p_ci_up	10/13/21
begin_str	03/28/2021
