date	value	lower_ci	upper_ci	incidence	scenario
2021-05-12	1459294	1354923	1568826	NA	Cautious return
2021-05-13	1473917	1344576	1610101	14623	Cautious return
2021-05-14	1488481	1344406	1640038	14564	Cautious return
2021-05-15	1503705	1338794	1675886	15224	Cautious return
2021-05-16	1517112	1336880	1704591	13407	Cautious return
2021-05-17	1530353	1341082	1741312	13241	Cautious return
2021-05-18	1544247	1336214	1768507	13894	Cautious return
2021-05-19	1557451	1326099	1797792	13204	Cautious return
2021-05-20	1570587	1321497	1830204	13136	Cautious return
2021-05-21	1583408	1319333	1862405	12821	Cautious return
2021-05-22	1595688	1321994	1878057	12280	Cautious return
2021-05-23	1607503	1323259	1906874	11815	Cautious return
2021-05-24	1619580	1317441	1931364	12077	Cautious return
2021-05-25	1631129	1327886	1960127	11549	Cautious return
2021-05-26	1643049	1324418	1999817	11920	Cautious return
2021-05-27	1654761	1329156	2012019	11712	Cautious return
2021-05-28	1665673	1321074	2037615	10912	Cautious return
2021-05-29	1676697	1325991	2061470	11024	Cautious return
2021-05-30	1687852	1332239	2089553	11155	Cautious return
2021-05-31	1698597	1341526	2109231	10745	Cautious return
2021-06-01	1709703	1345462	2138599	11106	Cautious return
2021-06-02	1719732	1344668	2159786	10029	Cautious return
2021-06-03	1729820	1345343	2161230	10088	Cautious return
2021-06-04	1740295	1353504	2193746	10475	Cautious return
2021-06-05	1750472	1351281	2228290	10177	Cautious return
2021-06-06	1760879	1350457	2226975	10407	Cautious return
2021-06-07	1771085	1355557	2264424	10206	Cautious return
2021-06-08	1782584	1359136	2284578	11499	Cautious return
2021-06-09	1792291	1358128	2306508	9707	Cautious return
2021-06-10	1802629	1357637	2331619	10338	Cautious return
2021-06-11	1812646	1359632	2356232	10017	Cautious return
2021-06-12	1822487	1361885	2379625	9841	Cautious return
2021-06-13	1830773	1362342	2391855	8286	Cautious return
2021-06-14	1839669	1366335	2397502	8896	Cautious return
2021-06-15	1850455	1366516	2434005	10786	Cautious return
2021-06-16	1859755	1379009	2452062	9300	Cautious return
2021-06-17	1870303	1375948	2478811	10548	Cautious return
2021-06-18	1878991	1372343	2509221	8688	Cautious return
2021-06-19	1888826	1372918	2536958	9835	Cautious return
2021-06-20	1897036	1379197	2567898	8210	Cautious return
2021-06-21	1905813	1376913	2566982	8777	Cautious return
2021-06-22	1914024	1385107	2595554	8211	Cautious return
2021-06-23	1923382	1391116	2617988	9358	Cautious return
2021-06-24	1933001	1385394	2633790	9619	Cautious return
2021-06-25	1941785	1406232	2671439	8784	Cautious return
2021-06-26	1949177	1405180	2681353	7392	Cautious return
2021-06-27	1958095	1393753	2695125	8918	Cautious return
2021-06-28	1966506	1397735	2695609	8411	Cautious return
2021-06-29	1974090	1400877	2736423	7584	Cautious return
2021-06-30	1981665	1401623	2766556	7575	Cautious return
2021-07-01	1989061	1399583	2791978	7396	Cautious return
2021-07-02	1997505	1400924	2819224	8444	Cautious return
2021-07-03	2004462	1396460	2851381	6957	Cautious return
2021-07-04	2012778	1396436	2853744	8316	Cautious return
2021-07-05	2021871	1394601	2885463	9093	Cautious return
2021-07-06	2030534	1390195	2907174	8663	Cautious return
2021-07-07	2037680	1394604	2915272	7146	Cautious return
2021-07-08	2046161	1398779	2943013	8481	Cautious return
2021-07-09	2053774	1390807	2973180	7613	Cautious return
2021-07-10	2061542	1398587	2996786	7768	Cautious return
2021-07-11	2068156	1411847	3023057	6614	Cautious return
2021-07-12	2075675	1413951	3053595	7519	Cautious return
2021-07-13	2084148	1414603	3066129	8473	Cautious return
2021-07-14	2091793	1422802	3084365	7645	Cautious return
2021-07-15	2098376	1426990	3097760	6583	Cautious return
2021-07-16	2105619	1423397	3138433	7243	Cautious return
2021-07-17	2112221	1418529	3159671	6602	Cautious return
2021-07-18	2120509	1431468	3175416	8288	Cautious return
2021-07-19	2127513	1433393	3206672	7004	Cautious return
2021-07-20	2133970	1427721	3232254	6457	Cautious return
2021-07-21	2141982	1421418	3254482	8012	Cautious return
2021-07-22	2149885	1426559	3279016	7903	Cautious return
2021-07-23	2158141	1428526	3312170	8256	Cautious return
2021-07-24	2166082	1432732	3303455	7941	Cautious return
2021-07-25	2173541	1436874	3359575	7459	Cautious return
2021-07-26	2180739	1436166	3382853	7198	Cautious return
2021-07-27	2187899	1444050	3460140	7160	Cautious return
2021-07-28	2194887	1432801	3447961	6988	Cautious return
2021-07-29	2202160	1450525	3481404	7273	Cautious return
2021-07-30	2209077	1445263	3494494	6917	Cautious return
2021-07-31	2216575	1437823	3518659	7498	Cautious return
2021-08-01	2222602	1438967	3574113	6027	Cautious return
2021-08-02	2230448	1449477	3607009	7846	Cautious return
2021-08-03	2237813	1444322	3627097	7365	Cautious return
2021-08-04	2244461	1449514	3673732	6648	Cautious return
2021-08-05	2250963	1445008	3716006	6502	Cautious return
2021-08-06	2259839	1441097	3766347	8876	Cautious return
2021-08-07	2267863	1456746	3795558	8024	Cautious return
2021-08-08	2275316	1441866	3802323	7453	Cautious return
2021-08-09	2284074	1446264	3855262	8758	Cautious return
2021-08-10	2291232	1450809	3890875	7158	Cautious return
