stat	value
thetaS_last_obs_p_mean	0.9718353
thetaI_last_obs_p_mean	0.002478799
thetaR_last_obs_p_mean	0.02568587
thetaS_last_obs_p_ci_low	0.9709787
thetaS_last_obs_p_ci_med	0.971837
thetaS_last_obs_p_ci_up	0.9727628
thetaI_last_obs_p_ci_low	0.002213634
thetaI_last_obs_p_ci_med	0.002477508
thetaI_last_obs_p_ci_up	0.002756986
thetaR_last_obs_p_ci_low	0.02484221
thetaR_last_obs_p_ci_med	0.02568656
thetaR_last_obs_p_ci_up	0.02651464
R0_p_mean	1.183679
R0_p_ci_low	0.9094307
R0_p_ci_med	1.16737
R0_p_ci_up	1.574719
gamma_p_mean	0.08331043
gamma_p_ci_low	0.03585832
gamma_p_ci_med	0.08371116
gamma_p_ci_up	0.1258481
beta_p_mean	0.09712679
beta_p_ci_low	0.04586541
beta_p_ci_med	0.09744813
beta_p_ci_up	0.1458947
incidence_mean	0.1124307
incidence_ci_low	0.01610193
incidence_ci_median	0.0823597
incidence_ci_up	0.382111
thetaI_tp1_mean	0.005021206
thetaI_tp1_ci_low	0.00469333
thetaI_tp1_ci_med	0.005023762
thetaI_tp1_ci_up	0.005354992
thetaR_tp1_mean	0.01215868
thetaR_tp1_ci_low	0.01163016
thetaR_tp1_ci_med	0.01216363
thetaR_tp1_ci_up	0.01265101
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.05932311
R_tp1_ci_low	0.02376822
R_tp1_ci_med	0.0431825
R_tp1_ci_up	0.1948816
thetaI_tp2_mean	0.006297641
thetaI_tp2_ci_low	0.005928641
thetaI_tp2_ci_med	0.006292775
thetaI_tp2_ci_up	0.00670698
thetaR_tp2_mean	0.01526074
thetaR_tp2_ci_low	0.01466692
thetaR_tp2_ci_med	0.01525643
thetaR_tp2_ci_up	0.01582498
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.1126907
thetaR_max_ci_low	0.02430035
thetaR_max_ci_med	0.0874688
thetaR_max_ci_up	0.3500272
cumInf_mean	0.124666
cumInf_ci_low	0.02438524
cumInf_ci_med	0.09478633
cumInf_ci_up	0.3969695
dthetaI_tp1_date	04/22/21
first_tp_mean	04/25/21
first_tp_ci_low	04/19/21
first_tp_ci_med	04/22/21
first_tp_ci_up	08/04/21
dthetaI_tp2_date	04/29/21
second_tp_mean	05/01/21
second_tp_ci_low	04/25/21
second_tp_ci_med	04/27/21
second_tp_ci_up	09/03/21
end_p_mean	10/13/21
end_p_ci_low	07/27/21
end_p_ci_med	10/19/21
end_p_ci_up	10/19/21
begin_str	04/03/2021
