stat	value
thetaS_last_obs_p_mean	0.9920268
thetaI_last_obs_p_mean	0.001669258
thetaR_last_obs_p_mean	0.006303991
thetaS_last_obs_p_ci_low	0.9916667
thetaS_last_obs_p_ci_med	0.9920273
thetaS_last_obs_p_ci_up	0.9923964
thetaI_last_obs_p_ci_low	0.001500076
thetaI_last_obs_p_ci_med	0.001669458
thetaI_last_obs_p_ci_up	0.001840605
thetaR_last_obs_p_ci_low	0.005971848
thetaR_last_obs_p_ci_med	0.006299119
thetaR_last_obs_p_ci_up	0.006626694
R0_p_mean	2.216786
R0_p_ci_low	1.440068
R0_p_ci_med	2.072749
R0_p_ci_up	3.948546
gamma_p_mean	0.06431391
gamma_p_ci_low	0.02142311
gamma_p_ci_med	0.05959961
gamma_p_ci_up	0.1290679
beta_p_mean	0.129458
beta_p_ci_low	0.06772155
beta_p_ci_med	0.125761
beta_p_ci_up	0.2012299
incidence_mean	0.7235532
incidence_ci_low	0.3202908
incidence_ci_median	0.7489598
incidence_ci_up	0.9397396
thetaI_tp1_mean	0.08178176
thetaI_tp1_ci_low	0.01169343
thetaI_tp1_ci_med	0.06795726
thetaI_tp1_ci_up	0.2196523
thetaR_tp1_mean	0.1034448
thetaR_tp1_ci_low	0.01777431
thetaR_tp1_ci_med	0.08358907
thetaR_tp1_ci_up	0.2978699
Y_tp1_mean	0.08175755
Y_tp1_ci_low	0.01183303
Y_tp1_ci_med	0.06768186
Y_tp1_ci_up	0.2196906
R_tp1_mean	0.1034814
R_tp1_ci_low	0.01783709
R_tp1_ci_med	0.08370862
R_tp1_ci_up	0.2985277
thetaI_tp2_mean	0.1426614
thetaI_tp2_ci_low	0.02735466
thetaI_tp2_ci_med	0.1254827
thetaI_tp2_ci_up	0.3470224
thetaR_tp2_mean	0.3487933
thetaR_tp2_ci_low	0.04824468
thetaR_tp2_ci_med	0.3413535
thetaR_tp2_ci_up	0.6860283
Y_tp2_mean	0.1426553
Y_tp2_ci_low	0.0267879
Y_tp2_ci_med	0.1249287
Y_tp2_ci_up	0.3474545
R_tp2_mean	0.3488068
R_tp2_ci_low	0.04858766
R_tp2_ci_med	0.3411143
R_tp2_ci_up	0.6858974
thetaR_max_mean	0.6541073
thetaR_max_ci_low	0.2171346
thetaR_max_ci_med	0.6861085
thetaR_max_ci_up	0.8831722
cumInf_mean	0.7271643
cumInf_ci_low	0.3204309
cumInf_ci_med	0.752152
cumInf_ci_up	0.9418415
dthetaI_tp1_date	07/20/21
first_tp_mean	07/31/21
first_tp_ci_low	07/05/21
first_tp_ci_med	07/28/21
first_tp_ci_up	09/21/21
dthetaI_tp2_date	08/24/21
second_tp_mean	08/26/21
second_tp_ci_low	07/23/21
second_tp_ci_med	08/24/21
second_tp_ci_up	10/11/21
end_p_mean	10/19/21
end_p_ci_low	10/19/21
end_p_ci_med	10/19/21
end_p_ci_up	10/19/21
begin_str	04/03/2021
