date	value	lower_ci	upper_ci	incidence	scenario
2021-05-21	23467	21508	25544	NA	No intervention
2021-05-22	23833	21366	26526	366	No intervention
2021-05-23	24190	21382	27247	357	No intervention
2021-05-24	24573	21352	28124	383	No intervention
2021-05-25	24979	21344	29000	406	No intervention
2021-05-26	25411	21494	29945	432	No intervention
2021-05-27	25856	21619	31037	445	No intervention
2021-05-28	26345	21572	31927	489	No intervention
2021-05-29	26866	21748	33208	521	No intervention
2021-05-30	27423	21737	34326	557	No intervention
2021-05-31	28010	21800	35690	587	No intervention
2021-06-01	28611	21983	37129	601	No intervention
2021-06-02	29262	22313	38568	651	No intervention
2021-06-03	29945	22466	39905	683	No intervention
2021-06-04	30679	22475	41795	734	No intervention
2021-06-05	31454	22767	43682	775	No intervention
2021-06-06	32255	22788	45596	801	No intervention
2021-06-07	33144	22774	47592	889	No intervention
2021-06-08	34048	23301	49989	904	No intervention
2021-06-09	35016	23396	52481	968	No intervention
2021-06-10	36054	23610	55229	1038	No intervention
2021-06-11	37131	23746	57730	1077	No intervention
2021-06-12	38298	24087	60621	1167	No intervention
2021-06-13	39529	24008	64251	1231	No intervention
2021-06-14	40836	24481	67540	1307	No intervention
2021-06-15	42223	24594	71147	1387	No intervention
2021-06-16	43688	25051	75051	1465	No intervention
2021-06-17	45235	25304	79503	1547	No intervention
2021-06-18	46858	25646	84122	1623	No intervention
2021-06-19	48576	25963	88896	1718	No intervention
2021-06-20	50420	26157	95560	1844	No intervention
2021-06-21	52373	26651	100020	1953	No intervention
2021-06-22	54449	26854	107458	2076	No intervention
2021-06-23	56645	27298	113574	2196	No intervention
2021-06-24	58939	27254	120231	2294	No intervention
2021-06-25	61370	27777	127222	2431	No intervention
2021-06-26	63948	28124	135179	2578	No intervention
2021-06-27	66643	28575	141965	2695	No intervention
2021-06-28	69469	28794	152274	2826	No intervention
2021-06-29	72457	28823	158820	2988	No intervention
2021-06-30	75649	29467	172499	3192	No intervention
2021-07-01	78976	29861	179936	3327	No intervention
2021-07-02	82508	30456	191943	3532	No intervention
2021-07-03	86206	30696	204816	3698	No intervention
2021-07-04	90075	31572	216478	3869	No intervention
2021-07-05	94142	31966	229398	4067	No intervention
2021-07-06	98426	32450	244114	4284	No intervention
2021-07-07	102879	32639	259267	4453	No intervention
2021-07-08	107510	33409	274912	4631	No intervention
2021-07-09	112386	33617	290605	4876	No intervention
2021-07-10	117503	34006	305298	5117	No intervention
2021-07-11	122851	34580	319785	5348	No intervention
2021-07-12	128413	34827	339288	5562	No intervention
2021-07-13	134164	35379	358556	5751	No intervention
2021-07-14	140131	36194	379900	5967	No intervention
2021-07-15	146332	36741	395555	6201	No intervention
2021-07-16	152764	37378	415132	6432	No intervention
2021-07-17	159395	38020	434774	6631	No intervention
2021-07-18	166276	38218	457408	6881	No intervention
2021-07-19	173398	39038	480460	7122	No intervention
2021-07-20	180668	39225	503256	7270	No intervention
2021-07-21	188207	39740	523539	7539	No intervention
2021-07-22	195976	40119	547388	7769	No intervention
2021-07-23	203972	40971	571631	7996	No intervention
2021-07-24	212189	41409	594728	8217	No intervention
2021-07-25	220543	41476	616252	8354	No intervention
2021-07-26	229080	42691	640926	8537	No intervention
2021-07-27	237837	43368	667624	8757	No intervention
2021-07-28	246728	44255	694475	8891	No intervention
2021-07-29	255782	44804	712312	9054	No intervention
2021-07-30	265026	45682	738036	9244	No intervention
2021-07-31	274398	46361	761250	9372	No intervention
2021-08-01	283911	47486	781745	9513	No intervention
2021-08-02	293689	47261	801778	9778	No intervention
2021-08-03	303523	48261	831764	9834	No intervention
2021-08-04	313416	49015	850929	9893	No intervention
2021-08-05	323410	49907	867712	9994	No intervention
2021-08-06	333439	50684	889915	10029	No intervention
2021-08-07	343592	52005	911240	10153	No intervention
