stat	value
thetaS_last_obs_p_mean	0.9821613
thetaI_last_obs_p_mean	0.0007189013
thetaR_last_obs_p_mean	0.01711977
thetaS_last_obs_p_ci_low	0.9816261
thetaS_last_obs_p_ci_med	0.9821596
thetaS_last_obs_p_ci_up	0.982685
thetaI_last_obs_p_ci_low	0.0006133412
thetaI_last_obs_p_ci_med	0.0007175034
thetaI_last_obs_p_ci_up	0.0008302468
thetaR_last_obs_p_ci_low	0.01658901
thetaR_last_obs_p_ci_med	0.01712153
thetaR_last_obs_p_ci_up	0.0176336
R0_p_mean	1.630544
R0_p_ci_low	0.9729737
R0_p_ci_med	1.477583
R0_p_ci_up	3.244921
gamma_p_mean	0.07050315
gamma_p_ci_low	0.009977812
gamma_p_ci_med	0.05564806
gamma_p_ci_up	0.2133272
beta_p_mean	0.09865781
beta_p_ci_low	0.01915605
beta_p_ci_med	0.08607291
beta_p_ci_up	0.255382
incidence_mean	0.1693238
incidence_ci_low	0.001791832
incidence_ci_median	0.08808977
incidence_ci_up	0.6697816
thetaI_tp1_mean	0.02214402
thetaI_tp1_ci_low	1.846235e-05
thetaI_tp1_ci_med	0.008626527
thetaI_tp1_ci_up	0.1236926
thetaR_tp1_mean	0.07000968
thetaR_tp1_ci_low	0.015117
thetaR_tp1_ci_med	0.0384061
thetaR_tp1_ci_up	0.3099772
Y_tp1_mean	0.02214706
Y_tp1_ci_low	1.797292e-05
Y_tp1_ci_med	0.008724447
Y_tp1_ci_up	0.1227531
R_tp1_mean	0.0699956
R_tp1_ci_low	0.01501987
R_tp1_ci_med	0.03851442
R_tp1_ci_up	0.3099724
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.1454047
thetaR_max_ci_low	0.01551192
thetaR_max_ci_med	0.07862141
thetaR_max_ci_up	0.563321
cumInf_mean	0.1838865
cumInf_ci_low	0.01615597
cumInf_ci_med	0.1046417
cumInf_ci_up	0.6783441
dthetaI_tp1_date	09/08/21
first_tp_mean	08/14/21
first_tp_ci_low	04/15/21
first_tp_ci_med	09/11/21
first_tp_ci_up	10/23/21
dthetaI_tp2_date	09/08/21
second_tp_mean	08/22/21
second_tp_ci_low	04/20/21
second_tp_ci_med	09/29/21
second_tp_ci_up	10/23/21
end_p_mean	10/20/21
end_p_ci_low	09/17/21
end_p_ci_med	10/23/21
end_p_ci_up	10/23/21
begin_str	04/07/2021
