date	value	incidence	scenario	lower_ci	upper_ci
2021-04-07	218925	NA	Observed	NA	NA
2021-04-08	219170	245	Observed	NA	NA
2021-04-09	219451	281	Observed	NA	NA
2021-04-10	219856	405	Observed	NA	NA
2021-04-11	220208	352	Observed	NA	NA
2021-04-12	220791	583	Observed	NA	NA
2021-04-13	221381	590	Observed	NA	NA
2021-04-14	221766	385	Observed	NA	NA
2021-04-15	222265	499	Observed	NA	NA
2021-04-16	222838	573	Observed	NA	NA
2021-04-17	223714	876	Observed	NA	NA
2021-04-18	224353	639	Observed	NA	NA
2021-04-19	225720	1367	Observed	NA	NA
2021-04-20	227371	1651	Observed	NA	NA
2021-04-21	229036	1665	Observed	NA	NA
2021-04-22	230967	1931	Observed	NA	NA
2021-04-23	233351	2384	Observed	NA	NA
2021-04-24	235587	2236	Observed	NA	NA
2021-04-25	237431	1844	Observed	NA	NA
2021-04-26	240568	3137	Observed	NA	NA
2021-04-27	243700	3132	Observed	NA	NA
2021-04-28	246745	3045	Observed	NA	NA
2021-04-29	249824	3079	Observed	NA	NA
2021-04-30	253021	3197	Observed	NA	NA
2021-05-01	256474	3453	Observed	NA	NA
2021-05-02	258859	2385	Observed	NA	NA
2021-05-03	263348	4489	Observed	NA	NA
2021-05-04	267823	4475	Observed	NA	NA
2021-05-05	272649	4826	Observed	NA	NA
2021-05-06	277585	4936	Observed	NA	NA
2021-05-07	283211	5626	Observed	NA	NA
2021-05-08	288967	5756	Observed	NA	NA
2021-05-09	292266	3299	Observed	NA	NA
2021-05-10	298069	5803	Observed	NA	NA
2021-05-11	304327	6258	Observed	NA	NA
2021-05-12	309984	5657	Observed	NA	NA
2021-05-13	315452	5468	Observed	NA	NA
2021-05-14	319530	4078	Observed	NA	NA
2021-05-15	324877	5347	Observed	NA	NA
2021-05-16	328527	3650	Observed	NA	NA
2021-05-17	334921	6394	Observed	NA	NA
2021-05-18	340756	5835	Observed	NA	NA
2021-05-19	346899	6143	Observed	NA	NA
2021-05-20	353472	6573	Observed	NA	NA
2021-05-21	359538	6066	Observed	NA	NA
2021-05-22	366095	NA	No intervention	329387	404424
2021-05-23	372991	6896	No intervention	329174	419561
2021-05-24	380241	7250	No intervention	329490	434701
2021-05-25	387883	7642	No intervention	330332	450222
2021-05-26	395884	8001	No intervention	331364	466660
2021-05-27	404357	8473	No intervention	332925	483857
2021-05-28	413233	8876	No intervention	334601	502392
2021-05-29	422583	9350	No intervention	336230	521384
2021-05-30	432436	9853	No intervention	338981	541912
2021-05-31	442829	10393	No intervention	341042	563476
2021-06-01	453749	10920	No intervention	343432	586260
2021-06-02	465218	11469	No intervention	346434	610913
2021-06-03	477324	12106	No intervention	348919	637387
2021-06-04	490051	12727	No intervention	351969	665903
2021-06-05	503428	13377	No intervention	354792	695732
2021-06-06	517572	14144	No intervention	358007	728411
2021-06-07	532452	14880	No intervention	361176	762340
2021-06-08	548100	15648	No intervention	365258	799029
2021-06-09	564568	16468	No intervention	368918	838657
2021-06-10	581994	17426	No intervention	372832	880426
2021-06-11	600328	18334	No intervention	376456	925550
2021-06-12	619661	19333	No intervention	380560	972796
2021-06-13	640035	20374	No intervention	384581	1024399
2021-06-14	661449	21414	No intervention	389350	1078698
2021-06-15	684036	22587	No intervention	393793	1136848
2021-06-16	707760	23724	No intervention	397781	1199222
2021-06-17	732793	25033	No intervention	403155	1265481
2021-06-18	759099	26306	No intervention	408381	1336672
2021-06-19	786811	27712	No intervention	413367	1411958
2021-06-20	816021	29210	No intervention	417873	1493753
2021-06-21	846779	30758	No intervention	422713	1578622
2021-06-22	879127	32348	No intervention	428549	1672727
2021-06-23	913147	34020	No intervention	434281	1769916
2021-06-24	948974	35827	No intervention	440001	1874652
2021-06-25	986589	37615	No intervention	445931	1983554
2021-06-26	1026177	39588	No intervention	451909	2099811
2021-06-27	1067817	41640	No intervention	457365	2225080
2021-06-28	1111598	43781	No intervention	464026	2357889
2021-06-29	1157561	45963	No intervention	469902	2497767
2021-06-30	1205795	48234	No intervention	476652	2648513
2021-07-01	1256545	50750	No intervention	483387	2809642
2021-07-02	1309794	53249	No intervention	490613	2975585
2021-07-03	1365511	55717	No intervention	497036	3152582
2021-07-04	1423953	58442	No intervention	504016	3338227
2021-07-05	1485145	61192	No intervention	510991	3531134
2021-07-06	1549224	64079	No intervention	518814	3739960
2021-07-07	1616335	67111	No intervention	525955	3955206
2021-07-08	1686500	70165	No intervention	533829	4181017
2021-07-09	1759796	73296	No intervention	541595	4421327
2021-07-10	1836371	76575	No intervention	549887	4670405
2021-07-11	1916292	79921	No intervention	557863	4934324
2021-07-12	1999566	83274	No intervention	566406	5208858
2021-07-13	2086178	86612	No intervention	575662	5490016
