date	value	lower_ci	upper_ci	incidence	scenario
2021-05-22	28680	25386	32146	NA	No intervention
2021-05-23	29719	25707	34018	1039	No intervention
2021-05-24	30833	26092	35977	1114	No intervention
2021-05-25	32026	26510	38071	1193	No intervention
2021-05-26	33307	26986	40366	1281	No intervention
2021-05-27	34681	27509	42832	1374	No intervention
2021-05-28	36156	28067	45500	1475	No intervention
2021-05-29	37737	28681	48397	1581	No intervention
2021-05-30	39432	29319	51554	1695	No intervention
2021-05-31	41250	29996	55039	1818	No intervention
2021-06-01	43208	30726	58747	1958	No intervention
2021-06-02	45304	31449	62822	2096	No intervention
2021-06-03	47557	32249	67327	2253	No intervention
2021-06-04	49970	33078	72146	2413	No intervention
2021-06-05	52561	33989	77391	2591	No intervention
2021-06-06	55343	34899	83157	2782	No intervention
2021-06-07	58328	35900	89502	2985	No intervention
2021-06-08	61527	36902	96221	3199	No intervention
2021-06-09	64960	37955	103723	3433	No intervention
2021-06-10	68642	39059	111997	3682	No intervention
2021-06-11	72589	40260	120802	3947	No intervention
2021-06-12	76818	41447	130334	4229	No intervention
2021-06-13	81355	42757	140929	4537	No intervention
2021-06-14	86212	44086	152334	4857	No intervention
2021-06-15	91410	45450	164419	5198	No intervention
2021-06-16	96976	46899	177841	5566	No intervention
2021-06-17	102929	48349	192102	5953	No intervention
2021-06-18	109299	49964	207846	6370	No intervention
2021-06-19	116108	51585	224536	6809	No intervention
2021-06-20	123385	53321	242892	7277	No intervention
2021-06-21	131151	55055	262272	7766	No intervention
2021-06-22	139431	56924	283779	8280	No intervention
2021-06-23	148261	58956	306413	8830	No intervention
2021-06-24	157662	60942	330699	9401	No intervention
2021-06-25	167665	63106	356630	10003	No intervention
2021-06-26	178304	65330	384613	10639	No intervention
2021-06-27	189595	67613	414285	11291	No intervention
2021-06-28	201572	70031	446076	11977	No intervention
2021-06-29	214253	72461	479820	12681	No intervention
2021-06-30	227678	75091	515289	13425	No intervention
2021-07-01	241867	77847	552945	14189	No intervention
2021-07-02	256831	80613	592380	14964	No intervention
2021-07-03	272600	83553	633662	15769	No intervention
2021-07-04	289189	86709	678082	16589	No intervention
2021-07-05	306611	89811	722947	17422	No intervention
2021-07-06	324876	92989	770353	18265	No intervention
2021-07-07	343978	96459	819271	19102	No intervention
2021-07-08	363933	100099	870358	19955	No intervention
2021-07-09	384742	103768	923557	20809	No intervention
2021-07-10	406406	107454	977634	21664	No intervention
2021-07-11	428899	111502	1032676	22493	No intervention
2021-07-12	452220	115547	1089638	23321	No intervention
2021-07-13	476373	119933	1147530	24153	No intervention
2021-07-14	501297	124213	1205611	24924	No intervention
2021-07-15	526983	128828	1266048	25686	No intervention
2021-07-16	553402	133491	1325964	26419	No intervention
2021-07-17	580528	138566	1387286	27126	No intervention
2021-07-18	608325	143878	1448492	27797	No intervention
2021-07-19	636750	149083	1510132	28425	No intervention
2021-07-20	665760	154667	1572581	29010	No intervention
2021-07-21	695309	160424	1634258	29549	No intervention
2021-07-22	725343	166316	1695307	30034	No intervention
2021-07-23	755808	172375	1756216	30465	No intervention
2021-07-24	786667	178730	1816246	30859	No intervention
2021-07-25	817878	185036	1875328	31211	No intervention
2021-07-26	849363	192050	1934907	31485	No intervention
2021-07-27	881076	198677	1993289	31713	No intervention
2021-07-28	912981	205757	2049193	31905	No intervention
2021-07-29	945003	213246	2104741	32022	No intervention
2021-07-30	977115	220868	2159745	32112	No intervention
2021-07-31	1009247	228231	2213793	32132	No intervention
2021-08-01	1041361	236419	2266651	32114	No intervention
2021-08-02	1073394	244577	2318801	32033	No intervention
2021-08-03	1105292	253141	2368754	31898	No intervention
2021-08-04	1137041	261655	2417375	31749	No intervention
2021-08-05	1168580	270422	2464252	31539	No intervention
2021-08-06	1199899	279313	2509534	31319	No intervention
2021-08-07	1230919	288605	2553017	31020	No intervention
2021-08-08	1261621	297470	2596448	30702	No intervention
2021-08-09	1291985	306550	2638470	30364	No intervention
2021-08-10	1321964	316275	2677921	29979	No intervention
2021-08-11	1351557	325148	2716167	29593	No intervention
2021-08-12	1380713	334500	2753650	29156	No intervention
2021-08-13	1409412	343574	2788955	28699	No intervention
2021-08-14	1437650	353018	2824339	28238	No intervention
2021-08-15	1465392	361313	2856422	27742	No intervention
2021-08-16	1492626	370551	2887660	27234	No intervention
2021-08-17	1519338	378643	2916578	26712	No intervention
2021-08-18	1545524	387301	2946703	26186	No intervention
2021-08-19	1571182	395181	2973257	25658	No intervention
2021-08-20	1596290	403275	2999840	25108	No intervention
2021-08-21	1620849	411809	3025806	24559	No intervention
2021-08-22	1644850	419408	3049762	24001	No intervention
2021-08-23	1668283	427528	3072797	23433	No intervention
2021-08-24	1691173	435391	3094936	22890	No intervention
2021-08-25	1713505	443055	3115570	22332	No intervention
2021-08-26	1735266	450723	3135731	21761	No intervention
2021-08-27	1756472	458403	3154161	21206	No intervention
2021-08-28	1777138	467185	3172722	20666	No intervention
2021-08-29	1797236	474924	3188025	20098	No intervention
2021-08-30	1816822	483609	3203678	19586	No intervention
2021-08-31	1835876	492388	3218935	19054	No intervention
2021-09-01	1854396	501433	3232916	18520	No intervention
2021-09-02	1872391	510678	3246622	17995	No intervention
2021-09-03	1889863	519746	3258400	17472	No intervention
2021-09-04	1906856	529432	3270073	16993	No intervention
2021-09-05	1923359	539345	3282461	16503	No intervention
2021-09-06	1939374	550363	3292871	16015	No intervention
