date	value	incidence	scenario	lower_ci	upper_ci
2021-04-07	690568	NA	Observed	NA	NA
2021-04-08	698005	7437	Observed	NA	NA
2021-04-09	706526	8521	Observed	NA	NA
2021-04-10	714423	7897	Observed	NA	NA
2021-04-11	725197	10774	Observed	NA	NA
2021-04-12	736688	11491	Observed	NA	NA
2021-04-13	750156	13468	Observed	NA	NA
2021-04-14	767438	17282	Observed	NA	NA
2021-04-15	784137	16699	Observed	NA	NA
2021-04-16	803623	19486	Observed	NA	NA
2021-04-17	827998	24375	Observed	NA	NA
2021-04-18	853460	25462	Observed	NA	NA
2021-04-19	877146	23686	Observed	NA	NA
2021-04-20	905541	28395	Observed	NA	NA
2021-04-21	930179	24638	Observed	NA	NA
2021-04-22	956348	26169	Observed	NA	NA
2021-04-23	980679	24331	Observed	NA	NA
2021-04-24	1004782	24103	Observed	NA	NA
2021-04-25	1027715	22933	Observed	NA	NA
2021-04-26	1047916	20201	Observed	NA	NA
2021-04-27	1072065	24149	Observed	NA	NA
2021-04-28	1098051	25986	Observed	NA	NA
2021-04-29	1122286	24235	Observed	NA	NA
2021-04-30	1149333	27047	Observed	NA	NA
2021-05-01	1174552	25219	Observed	NA	NA
2021-05-02	1194946	20394	Observed	NA	NA
2021-05-03	1212989	18043	Observed	NA	NA
2021-05-04	1232942	19953	Observed	NA	NA
2021-05-05	1253902	20960	Observed	NA	NA
2021-05-06	1273035	19133	Observed	NA	NA
2021-05-07	1292867	19832	Observed	NA	NA
2021-05-08	1310231	17364	Observed	NA	NA
2021-05-09	1323567	13336	Observed	NA	NA
2021-05-10	1336218	12651	Observed	NA	NA
2021-05-11	1348699	12481	Observed	NA	NA
2021-05-12	1361986	13287	Observed	NA	NA
2021-05-13	1372475	10489	Observed	NA	NA
2021-05-14	1380981	8506	Observed	NA	NA
2021-05-15	1387411	6430	Observed	NA	NA
2021-05-16	1393867	6456	Observed	NA	NA
2021-05-17	1398391	4524	Observed	NA	NA
2021-05-18	1402873	4482	Observed	NA	NA
2021-05-19	1406719	3846	Observed	NA	NA
2021-05-20	1409950	3231	Observed	NA	NA
2021-05-21	1412959	3009	Observed	NA	NA
2021-05-22	1423147	NA	No intervention	1362475	1485858
2021-05-23	1432260	9113	No intervention	1358089	1513945
2021-05-24	1440784	8524	No intervention	1357786	1532763
2021-05-25	1449777	8993	No intervention	1353357	1551764
2021-05-26	1457693	7916	No intervention	1352988	1570610
2021-05-27	1466474	8781	No intervention	1356032	1590226
2021-05-28	1474110	7636	No intervention	1354120	1605858
2021-05-29	1482876	8766	No intervention	1353821	1621314
2021-05-30	1490822	7946	No intervention	1351105	1640055
2021-05-31	1499923	9101	No intervention	1348944	1656289
2021-06-01	1508186	8263	No intervention	1350388	1668879
2021-06-02	1517084	8898	No intervention	1353352	1683306
2021-06-03	1525488	8404	No intervention	1363226	1697745
2021-06-04	1533712	8224	No intervention	1359482	1719109
2021-06-05	1541854	8142	No intervention	1356214	1736328
2021-06-06	1549619	7765	No intervention	1357297	1750611
2021-06-07	1559029	9410	No intervention	1356143	1766254
2021-06-08	1567723	8694	No intervention	1356434	1787715
2021-06-09	1576041	8318	No intervention	1365246	1807487
2021-06-10	1584017	7976	No intervention	1362397	1823296
2021-06-11	1592492	8475	No intervention	1367175	1829171
2021-06-12	1600512	8020	No intervention	1375230	1853110
2021-06-13	1608664	8152	No intervention	1369770	1877088
2021-06-14	1617843	9179	No intervention	1374386	1890207
2021-06-15	1625735	7892	No intervention	1378633	1914472
2021-06-16	1633791	8056	No intervention	1371860	1926871
2021-06-17	1641722	7931	No intervention	1375357	1939845
2021-06-18	1650406	8684	No intervention	1377113	1960321
2021-06-19	1659385	8979	No intervention	1377689	1981780
2021-06-20	1667373	7988	No intervention	1384067	1999674
2021-06-21	1675567	8194	No intervention	1386507	2014966
2021-06-22	1682837	7270	No intervention	1380738	2039354
2021-06-23	1691725	8888	No intervention	1389334	2052699
2021-06-24	1699797	8072	No intervention	1391606	2061451
2021-06-25	1708624	8827	No intervention	1377717	2074885
2021-06-26	1716424	7800	No intervention	1380671	2097020
2021-06-27	1725290	8866	No intervention	1384181	2124754
2021-06-28	1733678	8388	No intervention	1392439	2155376
2021-06-29	1742232	8554	No intervention	1388000	2173615
2021-06-30	1751162	8930	No intervention	1382065	2193630
2021-07-01	1758935	7773	No intervention	1383656	2208344
2021-07-02	1766844	7909	No intervention	1388190	2236783
2021-07-03	1775141	8297	No intervention	1381820	2244412
2021-07-04	1783710	8569	No intervention	1387732	2269354
2021-07-05	1791491	7781	No intervention	1388001	2297436
2021-07-06	1799625	8134	No intervention	1390632	2314228
2021-07-07	1807929	8304	No intervention	1393399	2335418
2021-07-08	1816348	8419	No intervention	1395180	2364892
2021-07-09	1823514	7166	No intervention	1397929	2375065
2021-07-10	1831613	8099	No intervention	1399730	2392271
2021-07-11	1840147	8534	No intervention	1403974	2426996
2021-07-12	1848331	8184	No intervention	1406243	2449072
2021-07-13	1856078	7747	No intervention	1391739	2469887
2021-07-14	1863508	7430	No intervention	1401531	2480395
2021-07-15	1870940	7432	No intervention	1394015	2514314
2021-07-16	1878057	7117	No intervention	1395228	2524523
2021-07-17	1886071	8014	No intervention	1398176	2538071
2021-07-18	1893819	7748	No intervention	1405793	2554399
2021-07-19	1901674	7855	No intervention	1400206	2581094
2021-07-20	1909296	7622	No intervention	1394767	2607344
2021-07-21	1916763	7467	No intervention	1393822	2618710
2021-07-22	1923764	7001	No intervention	1401612	2663365
2021-07-23	1930937	7173	No intervention	1399336	2669352
2021-07-24	1937929	6992	No intervention	1400621	2694232
2021-07-25	1943981	6052	No intervention	1400323	2709890
2021-07-26	1951407	7426	No intervention	1409312	2724816
2021-07-27	1958924	7517	No intervention	1409950	2741695
2021-07-28	1965010	6086	No intervention	1413725	2762642
2021-07-29	1971712	6702	No intervention	1404940	2789371
2021-07-30	1979516	7804	No intervention	1408426	2807824
2021-07-31	1987210	7694	No intervention	1404220	2857204
2021-08-01	1993905	6695	No intervention	1403124	2853225
2021-08-02	2000561	6656	No intervention	1394650	2888919
2021-08-03	2007842	7281	No intervention	1398754	2902777
2021-08-04	2014921	7079	No intervention	1397810	2916012
2021-08-05	2022027	7106	No intervention	1405554	2928684
2021-08-06	2027777	5750	No intervention	1400698	2948198
2021-08-07	2034484	6707	No intervention	1396544	2969965
2021-08-08	2041236	6752	No intervention	1404097	2991837
2021-08-09	2047993	6757	No intervention	1402643	3029566
2021-08-10	2053638	5645	No intervention	1400961	3050649
2021-08-11	2059686	6048	No intervention	1399583	3049144
2021-08-12	2064915	5229	No intervention	1401063	3059798
2021-08-13	2071302	6387	No intervention	1392108	3075420
2021-08-14	2078394	7092	No intervention	1401762	3108337
2021-08-15	2085671	7277	No intervention	1395709	3113069
2021-08-16	2091790	6119	No intervention	1396974	3149629
2021-08-17	2098958	7168	No intervention	1387678	3172930
2021-08-18	2104603	5645	No intervention	1386349	3179066
2021-08-19	2110275	5672	No intervention	1390203	3195963
2021-08-20	2116832	6557	No intervention	1386734	3208995
2021-08-21	2122371	5539	No intervention	1378499	3222969
2021-08-22	2128955	6584	No intervention	1383080	3227615
2021-08-23	2134486	5531	No intervention	1389387	3257771
2021-08-24	2141124	6638	No intervention	1389391	3310437
2021-08-25	2145689	4565	No intervention	1388604	3310170
2021-08-26	2152434	6745	No intervention	1393607	3339303
2021-08-27	2157946	5512	No intervention	1389533	3351502
2021-08-28	2163166	5220	No intervention	1385623	3365017
2021-08-29	2169307	6141	No intervention	1392192	3398673
2021-08-30	2174847	5540	No intervention	1379132	3421544
2021-08-31	2180248	5401	No intervention	1371297	3432390
2021-09-01	2185027	4779	No intervention	1373144	3432442
2021-09-02	2190899	5872	No intervention	1365782	3463286
2021-09-03	2196171	5272	No intervention	1369204	3474082
2021-09-04	2201679	5508	No intervention	1364663	3489565
2021-09-05	2206570	4891	No intervention	1364289	3503842
2021-09-06	2212438	5868	No intervention	1369712	3530119
2021-09-07	2217420	4982	No intervention	1373133	3544031
2021-09-08	2222421	5001	No intervention	1376838	3543993
2021-09-09	2226422	4001	No intervention	1380661	3548695
2021-09-10	2231700	5278	No intervention	1377778	3558462
2021-09-11	2236234	4534	No intervention	1367356	3590026
2021-09-12	2241269	5035	No intervention	1374240	3596996
2021-09-13	2246048	4779	No intervention	1370047	3612599
2021-09-14	2251430	5382	No intervention	1367017	3621604
2021-09-15	2255759	4329	No intervention	1355865	3643205
2021-09-16	2260758	4999	No intervention	1365034	3659722
2021-09-17	2264743	3985	No intervention	1380066	3679263
